N	3gram	Vinokur_Ku	VLabPisa
1	и т д	21	16
2	в этом отношении	8	14
3	и т п	39	9
4	с другой стороны	12	8
5	не может быть	5	8
6	по отношению к	8	7
7	более или менее	3	6
8	в конечном счете	2	5
9	в то же	4	5
10	в том что	23	5
11	то же время	4	5
12	в зависимости от	7	5
13	хотя бы и	4	5
14	вместе с тем	3	4
15	к тому что	2	4
16	можно сказать что	2	4
17	в связи с	4	4
18	большей или меньшей	2	3
19	для того чтобы	21	3
20	хотя бы в	4	3
21	в этой области	3	3
22	о том как	3	3
23	о том что	6	3
24	по крайней мере	11	2
25	в конце концов	3	2
26	с одной стороны	2	2
27	в противном случае	2	2
28	во всяком случае	8	2
29	или меньшей степени	2	2
30	т е в	3	2
31	этой точки зрения	4	2
32	не только в	4	2
33	мы знаем что	2	2
34	чуть ли не	3	2
35	до сих пор	5	2
36	не в том	5	2
37	что все эти	2	2
38	только в том	5	2
39	таким образом в	2	2
40	в большей или	2	2
41	после того как	2	2
42	в том чтобы	9	2
43	можно было бы	11	2
44	и в другом	2	2
