N	2gram	Tiupa_Vved	VrazhdaK
1	в году	2	18
2	у тургенева	2	11
3	не только	32	9
4	и что	2	8
5	в этом	27	8
6	и в	23	8
7	что в	6	7
8	но и	31	7
9	и все	8	7
10	то что	9	7
11	но в	14	6
12	как и	21	6
13	в котором	11	6
14	в начале	3	6
15	в нем	9	6
16	и с	2	6
17	все же	10	6
18	в романе	6	6
19	и даже	3	6
20	и не	24	5
21	не было	5	5
22	об этом	5	5
23	то же	8	5
24	в то	5	5
25	же время	4	5
26	у него	8	5
27	между тем	3	5
28	для нас	4	4
29	уже в	2	4
30	целый ряд	2	4
31	несмотря на	2	4
32	в своих	5	4
33	это не	7	4
34	в виду	3	4
35	все это	3	4
36	при этом	43	4
37	о том	7	4
38	в ней	5	4
39	как бы	8	4
40	так же	2	4
41	что он	2	4
42	с ним	3	4
43	может быть	25	4
44	человека в	2	3
45	и у	2	3
46	в том	21	3
47	в чем	2	3
48	одним из	5	3
49	далеко не	5	3
50	что у	4	3
51	и во	2	3
52	в своем	9	3
53	том что	16	3
54	в его	9	3
55	и о	4	3
56	и его	9	3
57	и как	2	3
58	в этот	3	3
59	он не	6	3
60	речь идет	3	3
61	связи с	2	3
62	эти слова	2	3
63	к этому	3	3
64	но он	2	3
65	на то	3	3
66	наряду с	2	3
67	в конце	3	3
68	тем что	2	3
69	никогда не	6	2
70	в них	4	2
71	уже не	7	2
72	в мире	9	2
73	одна из	5	2
74	к ним	4	2
75	и т.п	14	2
76	начиная с	3	2
77	место в	2	2
78	в него	2	2
79	нашего времени	2	2
80	в той	5	2
81	для него	5	2
82	и это	2	2
83	на первый	3	2
84	а в	15	2
85	а также	12	2
86	в этой	2	2
87	тогда как	16	2
88	столь же	3	2
89	его с	2	2
90	в своей	10	2
91	как раз	5	2
92	же в	3	2
93	и он	4	2
94	в себе	15	2
95	еще не	8	2
96	о чем	4	2
97	тем более	3	2
98	таким образом	6	2
99	и ее	2	2
100	во время	3	2
101	в период	2	2
102	что я	2	2
103	году в	2	2
104	в свою	5	2
105	так в	5	2
106	их в	3	2
107	о которой	4	2
108	не может	14	2
109	ответ на	2	2
110	не менее	4	2
111	но это	4	2
112	но после	2	2
113	к себе	2	2
114	отнюдь не	14	2
115	от сознания	2	2
116	а с	4	2
117	не мог	2	2
118	на основе	2	2
119	вместе с	2	2
120	отношение к	5	2
