N	2gram	Vygotskiy_	VelikijI
1	и не	24	20
2	и в	55	16
3	так как	28	9
4	то что	47	9
5	еще не	2	8
6	и потому	2	7
7	что они	7	7
8	а не	18	7
9	не есть	4	6
10	человека и	3	6
11	как бы	11	5
12	но и	12	5
13	все это	11	5
14	хотя и	3	5
15	что есть	3	5
16	того что	15	5
17	что все	10	4
18	и все	8	4
19	как и	25	4
20	в котором	5	4
21	потому что	27	4
22	все что	4	4
23	в нем	5	4
24	в ней	3	4
25	что не	2	4
26	что мы	9	4
27	в его	8	4
28	в этом	21	4
29	что он	17	4
30	и есть	5	4
31	так и	6	4
32	никогда не	13	3
33	в жизни	5	3
34	что в	39	3
35	в том	55	3
36	и для	9	3
37	не имеет	3	3
38	тому что	7	3
39	но в	5	3
40	к тому	8	3
41	ни в	9	3
42	их в	4	3
43	то это	3	3
44	они в	2	3
45	но это	3	3
46	бы и	5	3
47	должно быть	2	3
48	оно не	2	3
49	хотя бы	4	3
50	в своей	6	3
51	во всех	4	3
52	их от	3	3
53	к чему	2	3
54	в конце	6	3
55	за ним	2	3
56	по этому	3	3
57	в них	4	3
58	жизни и	5	3
59	как не	2	3
60	в первый	3	3
61	что и	27	3
62	и мы	6	3
63	не было	5	3
64	и что	28	3
65	не в	19	3
66	все эти	7	3
67	первый раз	2	3
68	в этих	6	3
69	что я	4	3
70	должна быть	3	3
71	в чем	5	3
72	тот же	8	3
73	с его	3	3
74	и то	4	2
75	с тем	11	2
76	они и	2	2
77	одна из	5	2
78	не так	2	2
79	но не	5	2
80	не могли	4	2
81	тот кто	2	2
82	ее и	2	2
83	и это	6	2
84	не только	25	2
85	не могут	6	2
86	а в	10	2
87	том что	30	2
88	на том	2	2
89	его к	2	2
90	но мы	3	2
91	и во	3	2
92	от него	2	2
93	во всяком	9	2
94	и тогда	3	2
95	вслед за	10	2
96	уже не	3	2
97	могут быть	15	2
98	я думаю	2	2
99	не к	2	2
100	которые не	3	2
101	один из	6	2
102	т д	10	2
103	не будет	4	2
104	того чтобы	13	2
105	и теперь	2	2
106	тем что	7	2
107	мы не	15	2
108	конечно не	2	2
109	можно было	4	2
110	это все	3	2
111	только в	18	2
112	на нас	2	2
113	а есть	2	2
114	и сам	3	2
115	его и	4	2
116	для нас	5	2
117	в себя	3	2
118	людей и	2	2
119	прежде всего	5	2
120	и т	36	2
121	с ним	2	2
122	его не	3	2
123	это мы	2	2
124	между тем	6	2
125	а с	2	2
