N	2gram	Tiupa_Disk	KulturaY
1	и в	27	84
2	в том	29	74
3	потому что	7	68
4	не только	36	60
5	точки зрения	6	59
6	в этом	29	57
7	и не	25	52
8	может быть	29	47
9	том что	27	44
10	что в	8	44
11	в самом	4	41
12	самом деле	2	37
13	хотя бы	3	37
14	с точки	3	36
15	в области	3	34
16	таким образом	4	33
17	а не	35	33
18	не в	8	30
19	прежде всего	17	30
20	в его	9	30
21	все же	8	29
22	того что	4	28
23	не менее	6	28
24	все эти	2	28
25	в силу	5	26
26	в языке	2	26
27	уже не	7	26
28	не может	17	25
29	то что	10	25
30	вопрос о	2	24
31	еще не	20	24
32	с другой	14	24
33	так и	14	23
34	то же	12	23
35	только в	9	23
36	во всяком	3	20
37	но и	22	20
38	по себе	3	20
39	и что	2	20
40	что он	6	19
41	но в	15	19
42	языка и	3	19
43	речи в	2	19
44	тем что	4	19
45	о том	12	19
46	всяком случае	2	19
47	что же	4	19
48	между тем	5	18
49	связи с	4	18
50	все это	2	18
51	в качестве	45	18
52	к тому	6	18
53	в сущности	3	18
54	как бы	9	18
55	и с	2	18
56	вместе с	3	18
57	это не	5	17
58	как это	2	17
59	можно говорить	2	17
60	другой стороны	5	17
61	в той	2	17
62	слова и	2	17
63	в виду	2	16
64	что не	4	16
65	что и	5	16
66	но не	17	16
67	по отношению	13	15
68	и тем	2	15
69	один из	3	15
70	а в	5	15
71	при этом	22	15
72	в данном	9	15
73	должно быть	2	15
74	целый ряд	2	15
75	лишь в	4	15
76	ни к	11	15
77	том чтобы	2	15
78	именно в	5	15
79	не было	9	15
80	в нашем	2	15
81	в них	6	14
82	хотя и	3	14
83	как мы	2	14
84	сказать что	4	14
85	мы имеем	4	14
86	отношению к	13	14
87	также и	6	14
88	и на	8	14
89	в ней	2	14
90	не могут	2	13
91	это и	2	13
92	крайней мере	3	13
93	по крайней	3	13
94	в пределах	4	13
95	не случайно	2	13
96	в этой	5	13
97	в которых	5	13
98	и его	4	13
99	той же	2	13
100	с этой	2	12
101	как в	16	12
102	того же	5	12
103	могут быть	5	12
104	в рамках	11	12
105	в результате	3	12
106	но также	2	12
107	говорить о	3	12
108	или иной	8	11
109	в их	5	11
110	в своем	11	11
111	речи и	2	11
112	из этих	3	11
113	должна быть	2	11
114	в нем	16	11
115	этом отношении	4	11
116	и то	4	11
117	слова в	2	11
118	в какой	2	11
119	уже в	2	11
120	он не	4	11
121	тем самым	6	10
122	в то	8	10
123	к этому	4	10
124	со стороны	17	10
125	они не	2	10
126	как и	27	10
127	речь идет	2	10
128	того или	3	10
129	с этим	3	10
130	в особенности	5	10
131	в первом	4	10
132	ли не	3	9
133	в целом	5	9
134	в своей	10	9
135	можно сказать	7	9
136	или иного	2	9
137	а также	15	9
138	но это	3	9
139	в которой	2	9
140	но уже	3	9
141	ни в	7	9
142	но для	2	9
143	и есть	2	9
144	в первую	3	8
145	в частности	18	8
146	в своих	6	8
147	состоит в	20	8
148	что на	3	8
149	в чем	2	8
150	не говоря	2	8
151	с одной	12	8
152	и о	4	8
153	в тех	2	8
154	этом случае	3	8
155	с его	9	8
156	своего рода	15	8
157	да и	2	8
158	по преимуществу	2	8
159	и как	9	8
160	об этом	3	8
161	в этих	4	8
162	заключается в	3	8
163	но все	2	8
164	далеко не	10	8
165	не есть	3	8
166	может служить	2	8
167	отнюдь не	11	8
168	тому же	5	8
169	до конца	2	7
170	в свою	3	7
171	идет о	2	7
172	в процессе	6	7
173	свою очередь	3	7
174	и потому	3	7
