N	2gram	Vinokur_Ku	KFilosof
1	может быть	25	45
2	в его	16	42
3	в нем	7	32
4	не может	13	29
5	и не	23	28
6	и в	44	28
7	по отношению	9	26
8	в котором	4	24
9	отношению к	9	22
10	не есть	4	22
11	в себе	4	21
12	и его	8	18
13	только в	15	18
14	в своем	4	17
15	в ее	2	17
16	а не	17	17
17	в этом	31	15
18	не в	18	13
19	для него	2	13
20	точки зрения	25	13
21	но не	11	12
22	и это	3	12
23	ни в	3	12
24	в своей	4	11
25	все эти	17	11
26	это не	13	10
27	в целом	5	10
28	от себя	3	10
29	и для	3	10
30	все это	10	10
31	с точки	16	10
32	и есть	3	10
33	в их	3	9
34	но и	13	9
35	как бы	11	9
36	и все	4	9
37	если бы	21	8
38	не было	6	8
39	лишь в	6	8
40	со стороны	8	8
41	быть только	3	8
42	было бы	28	8
43	в себя	2	8
44	и здесь	8	7
45	должен быть	8	7
46	совершенно не	4	7
47	то что	14	7
48	уже не	13	7
49	отнюдь не	5	7
50	конечно не	3	7
51	и только	2	7
52	что и	5	7
53	вовсе не	18	7
54	на основе	2	7
55	должно быть	6	6
56	отношение к	2	6
57	в том	47	6
58	смысл и	5	6
59	но все	5	6
60	не имеет	6	6
61	в смысле	2	6
62	и их	2	6
63	я не	5	6
64	но это	4	6
65	он не	4	6
66	не значит	2	6
67	никогда не	2	5
68	все же	17	5
69	не только	29	5
70	мы имеем	11	5
71	но как	2	5
72	хотя бы	19	5
73	то же	12	5
74	но ведь	3	5
75	еще не	10	5
76	не знает	4	5
77	а в	7	5
78	но в	11	5
79	есть лишь	3	5
80	в контексте	2	5
81	как и	3	5
82	именно в	7	5
83	что я	4	5
84	в одном	4	5
85	там где	7	5
86	с ним	5	5
87	в каком	6	4
88	что это	11	4
89	тем самым	5	4
90	нет в	2	4
91	но можно	2	4
92	том что	30	4
93	нисколько не	6	4
94	что в	25	4
95	могла бы	2	4
96	не как	2	4
97	о нем	2	4
98	быть в	2	4
99	прежде всего	14	4
100	в чем	2	4
101	здесь мы	2	4
102	к ним	2	4
103	в своих	2	4
104	для нас	6	4
105	с ними	6	4
106	при этом	6	4
107	только как	3	4
108	должна быть	6	4
109	между тем	11	4
110	до конца	3	3
111	или иного	5	3
112	ничего не	6	3
113	того или	6	3
114	в то	4	3
115	на самом	3	3
116	здесь не	5	3
117	всех этих	4	3
118	в каждом	3	3
119	в другом	2	3
120	от того	5	3
121	это и	6	3
122	тем что	9	3
123	и тем	7	3
124	для того	23	3
125	я имею	2	3
126	в современной	3	3
127	самом деле	17	3
128	в виду	7	3
129	себе и	3	3
130	лишь как	3	3
131	и пр	23	3
132	смысл в	2	3
133	для этой	2	3
134	не менее	12	3
135	не должно	2	3
136	а все	2	3
137	о том	10	3
138	что этот	2	3
139	в ней	6	3
140	в свою	4	3
141	меня и	3	3
142	могут быть	5	3
143	но для	4	3
144	этом смысле	8	3
145	тогда когда	7	3
146	но здесь	2	3
147	и на	8	3
148	в данный	2	3
149	что не	10	3
150	того что	11	3
151	данный момент	3	3
152	и может	3	3
153	был бы	4	3
154	рядом с	7	3
155	на язык	4	3
156	целом и	2	3
157	тот же	7	3
158	бы и	6	3
159	а следовательно	2	3
160	ясно что	7	3
161	и то	7	2
162	для этого	6	2
163	в соответствии	6	2
164	смысла и	2	2
165	и мы	2	2
166	или иной	3	2
167	и потому	6	2
168	в данном	8	2
169	его к	5	2
170	ли это	4	2
171	я уже	2	2
172	содержание и	5	2
173	отсюда следует	2	2
174	говорить о	5	2
175	дело в	2	2
176	не потому	6	2
177	то ни	2	2
178	к этому	4	2
179	дело не	4	2
180	вопрос о	11	2
181	это было	2	2
182	в это	3	2
183	к себе	4	2
184	а это	5	2
185	тем не	10	2
186	смысл лишь	2	2
187	как к	2	2
188	и как	3	2
189	то или	3	2
190	были бы	2	2
191	это только	5	2
192	в области	15	2
193	а с	3	2
194	одного и	2	2
195	что он	7	2
196	чтобы дать	2	2
197	из которых	3	2
198	так и	10	2
199	что только	2	2
200	может иметь	3	2
201	с тем	5	2
202	как в	6	2
203	от этого	4	2
204	разве не	2	2
205	тому что	3	2
206	можно ли	6	2
207	дело с	2	2
208	гораздо более	6	2
209	выход из	2	2
210	но есть	2	2
211	другое дело	2	2
212	оно не	5	2
213	говорим о	3	2
214	вся эта	2	2
215	соответствии с	5	2
216	мы говорим	4	2
217	если не	4	2
218	и именно	3	2
219	один из	8	2
220	что за	3	2
221	по себе	10	2
222	мысль и	2	2
223	потому что	40	2
224	и под	3	2
225	действительно ли	2	2
226	того чтобы	25	2
227	чтобы быть	2	2
228	смысле и	2	2
229	содержания и	2	2
230	и того	2	2
231	или иное	2	2
232	сводится к	3	2
233	и когда	2	2
234	слова в	7	2
235	и эти	3	2
236	не следует	6	2
237	лишь с	3	2
238	в качестве	12	2
239	же время	4	2
240	ничего общего	2	2
241	это есть	2	2
242	быть не	2	2
243	этого слова	8	2
244	в этой	8	2
245	что значит	2	2
246	с его	4	2
