N	2gram	Ircho_Kome	EvropaiC
1	таким образом	13	34
2	в том	19	31
3	и в	40	24
4	том что	19	20
5	не может	3	18
6	то что	8	18
7	может быть	16	17
8	до сих	3	15
9	все же	7	15
10	сих пор	3	15
11	точки зрения	7	14
12	в этом	9	13
13	все это	7	13
14	в своем	6	12
15	с этим	5	12
16	между тем	9	12
17	по отношению	5	11
18	но и	14	11
19	отношению к	5	11
20	не только	12	10
21	так и	17	10
22	во всех	4	10
23	мы знаем	5	10
24	как и	12	10
25	все что	3	10
26	как бы	3	10
27	в результате	5	9
28	и не	19	9
29	не в	8	9
30	что в	12	9
31	и все	4	9
32	на то	3	9
33	того же	4	9
34	потому что	8	9
35	при этом	5	9
36	и что	2	9
37	так же	4	8
38	из этих	5	8
39	или менее	2	8
40	если бы	4	8
41	для того	3	8
42	европейской культуры	2	8
43	к тому	15	8
44	в самом	5	8
45	того чтобы	4	8
46	ясно что	9	8
47	для этого	2	7
48	о которых	6	7
49	в сознании	4	7
50	так как	6	7
51	в силу	4	7
52	по своей	2	7
53	что он	11	7
54	не менее	6	7
55	о том	12	7
56	из этого	2	7
57	что и	10	7
58	в этой	9	7
59	вместе с	8	7
60	в мире	3	6
61	только в	6	6
62	еще не	7	6
63	друг от	2	6
64	так что	6	6
65	что касается	5	6
66	в то	14	6
67	и для	4	6
68	с другой	7	6
69	в общем	2	6
70	от друга	2	6
71	и если	2	6
72	и на	9	6
73	мы можем	6	6
74	несмотря на	5	6
75	как на	2	6
76	тому же	14	6
77	и от	2	5
78	его в	6	5
79	но все	4	5
80	в себе	3	5
81	в состоянии	3	5
82	к этому	8	5
83	в которой	9	5
84	на все	3	5
85	и их	3	5
86	многие из	3	5
87	из них	16	5
88	что это	5	5
89	из всех	2	5
90	так или	4	5
91	по своему	5	5
92	у него	6	5
93	но в	6	5
94	столь же	9	5
95	именно в	5	5
96	или иначе	4	5
97	и без	3	5
98	и с	8	5
99	и к	2	5
100	другой стороны	6	5
101	в целом	6	5
102	в его	8	5
103	как будто	3	5
104	в пользу	3	5
105	из того	2	4
106	хотя бы	2	4
107	то ни	4	4
108	тем не	3	4
109	в конце	7	4
110	которых мы	2	4
111	отношение к	3	4
112	и у	3	4
113	целый ряд	2	4
114	конце концов	4	4
115	то же	7	4
116	в их	6	4
117	в области	3	4
118	одним из	3	4
119	в виде	3	4
120	в течение	5	4
121	с тем	5	4
122	в в	8	4
123	из которых	5	4
124	связи с	3	4
125	этой области	2	4
126	он не	5	4
127	хотя и	6	4
128	даже в	3	3
129	представление о	3	3
130	вопрос о	5	3
131	это не	2	3
132	что по	3	3
133	в начале	7	3
134	в тех	5	3
135	каждый из	3	3
136	бы в	3	3
137	ни было	4	3
138	от того	3	3
139	даже если	3	3
140	только что	2	3
141	с этой	3	3
142	в этих	5	3
143	и других	7	3
144	в связи	3	3
145	у нас	3	3
146	прежде всего	8	3
147	отличие от	4	3
148	жизнь и	2	3
149	с одной	5	3
150	образом в	2	3
151	как известно	4	3
152	но не	3	3
153	и это	3	3
154	а в	9	3
155	бы то	4	3
156	может служить	2	3
157	не вполне	2	3
158	в нем	8	3
159	в ней	2	3
160	же не	2	3
161	в эти	2	3
162	по одному	2	3
163	было бы	8	3
164	и по	6	3
165	в истории	10	3
166	в нашем	2	3
167	же как	3	3
168	тот же	5	3
169	как мы	5	3
170	одна из	4	2
171	меньше чем	2	2
172	тех же	4	2
173	то и	3	2
174	независимо от	5	2
175	поставлена в	2	2
176	а к	2	2
177	одну из	2	2
178	и ее	5	2
179	то время	8	2
180	и поэтому	2	2
181	что она	3	2
182	в другом	5	2
183	но если	4	2
184	на него	4	2
185	для себя	2	2
186	ему и	2	2
187	друг друга	2	2
188	либо как	2	2
189	всех остальных	2	2
190	в виду	2	2
191	из двух	2	2
192	в частности	7	2
193	по его	2	2
194	что они	4	2
195	такой же	2	2
196	тем как	2	2
197	или вовсе	3	2
198	в один	2	2
199	как две	2	2
200	никто не	3	2
201	и из	2	2
202	мы видели	2	2
203	именно потому	2	2
204	от них	3	2
205	этом что	2	2
206	в эту	2	2
207	для этой	3	2
208	что у	6	2
209	тому что	4	2
210	к нему	5	2
211	в самой	2	2
212	гораздо более	2	2
213	в котором	6	2
214	тех пор	2	2
215	если это	2	2
216	со временем	2	2
217	время от	4	2
218	только при	3	2
219	ту же	2	2
220	в своих	2	2
221	в свою	2	2
222	что на	4	2
223	одной стороны	5	2
224	в на	3	2
225	между прочим	2	2
226	на этом	3	2
227	что народ	2	2
228	отнюдь не	2	2
229	в них	7	2
230	представить себе	3	2
231	со своей	3	2
232	ко всему	2	2
233	что же	2	2
234	всяком случае	4	2
235	между людьми	2	2
236	жизни и	4	2
237	а затем	4	2
238	с ними	2	2
239	во всяком	4	2
240	и уже	2	2
241	говорить о	3	2
242	не более	2	2
243	и особенно	7	2
244	и его	17	2
245	в сущности	3	2
246	же время	5	2
247	с ее	2	2
248	и сам	5	2
249	не следует	2	2
250	и более	2	2
251	в себя	3	2
252	которую он	3	2
253	только один	2	2
254	той же	3	2
255	вовсе не	3	2
256	тем же	2	2
