N	2gram	Bakhtin_KF	VLabPisa
1	в этом	15	29
2	не только	5	26
3	и в	28	26
4	может быть	45	23
5	хотя бы	5	20
6	и не	28	20
7	в процессе	2	17
8	не может	29	17
9	в том	6	15
10	в его	42	15
11	прежде всего	4	13
12	все это	10	13
13	в качестве	2	12
14	что в	4	11
15	то же	5	10
16	но и	9	10
17	о том	3	10
18	к этому	2	9
19	для него	13	9
20	в своем	17	8
21	том что	4	8
22	не следует	2	8
23	могут быть	3	8
24	все эти	11	8
25	было бы	8	8
26	только в	18	8
27	это не	10	7
28	во всех	11	7
29	по отношению	26	7
30	то что	7	7
31	отношению к	22	7
32	тому что	2	7
33	как и	5	7
34	в нем	32	7
35	не было	8	7
36	а не	17	7
37	не в	13	6
38	в то	3	6
39	в себе	21	6
40	это и	3	6
41	все же	5	6
42	так и	2	6
43	один из	2	6
44	и его	18	6
45	бы и	3	6
46	между тем	4	6
47	никогда не	5	5
48	в одном	5	5
49	в их	9	5
50	как бы	9	5
51	в целом	10	5
52	же время	2	5
53	и есть	10	5
54	на основе	7	5
55	в сознании	2	4
56	и ее	2	4
57	в виду	3	4
58	это только	2	4
59	что он	2	4
60	познания в	2	4
61	с тем	2	4
62	должен быть	7	4
63	в единстве	8	4
64	отнюдь не	7	4
65	в ее	17	4
66	с ними	4	4
67	познания и	4	4
68	в своей	11	4
69	в этой	2	4
70	из его	3	4
71	с его	2	4
72	мы имеем	5	3
73	но как	5	3
74	своем содержании	2	3
75	всех этих	3	3
76	его в	5	3
77	и как	2	3
78	если бы	8	3
79	а значит	2	3
80	для того	3	3
81	и их	6	3
82	всех других	2	3
83	того что	3	3
84	нет и	3	3
85	она не	2	3
86	а в	5	3
87	в котором	24	3
88	именно в	5	3
89	точки зрения	13	3
90	мира и	4	3
91	человека и	3	3
92	что не	3	3
93	действительной жизни	3	3
94	жизни и	8	3
95	того чтобы	2	3
96	что и	7	3
97	сводится к	2	3
98	и мир	2	3
99	момент в	7	3
100	вовсе не	7	3
101	не о	2	2
102	от его	5	2
103	чтобы не	2	2
104	или иной	2	2
105	и потому	2	2
106	того или	3	2
107	автора как	2	2
108	в каждом	3	2
109	должно быть	6	2
110	в другом	3	2
111	от того	3	2
112	ее как	2	2
113	единого и	9	2
114	и весь	4	2
115	а как	2	2
116	бы не	3	2
117	все они	2	2
118	в области	2	2
119	еще не	5	2
120	не по	4	2
121	всех его	2	2
122	а для	2	2
123	в чем	4	2
124	в жизни	2	2
125	к ним	4	2
126	но не	12	2
127	и для	10	2
128	и этот	3	2
129	не менее	3	2
130	только с	3	2
131	но в	5	2
132	он может	2	2
133	могло бы	4	2
134	ли это	2	2
135	в своих	4	2
136	в конкретной	3	2
137	ни одна	2	2
138	себе и	3	2
139	в ней	3	2
140	стороны в	3	2
141	из себя	11	2
142	но для	3	2
143	тогда когда	3	2
144	из которых	2	2
145	он и	2	2
146	можно ли	2	2
147	по себе	2	2
148	и просто	2	2
149	может не	2	2
150	говорить о	2	2
151	и может	3	2
152	он не	6	2
153	во всей	4	2
154	должна быть	4	2
155	не быть	3	2
156	на язык	3	2
157	лишь в	8	2
