N	2gram	Bakhtin_fo	TeoriaLi
1	в качестве	6	33
2	в мире	4	26
3	не только	16	24
4	и в	84	24
5	в частности	11	23
6	то есть	42	22
7	может быть	18	22
8	в том	16	20
9	при этом	8	20
10	и не	19	17
11	а в	6	15
12	но и	14	14
13	так и	17	14
14	а не	7	14
15	в себе	7	14
16	но не	9	13
17	в этом	41	12
18	то же	18	12
19	но в	16	12
20	в его	19	12
21	том что	7	11
22	точки зрения	14	11
23	и его	26	11
24	по отношению	3	10
25	лишь в	8	10
26	отношению к	5	10
27	как это	2	10
28	что в	9	10
29	в данном	4	9
30	не в	10	9
31	с другой	4	9
32	в то	13	9
33	только в	12	9
34	не может	8	8
35	как бы	11	8
36	в своей	2	8
37	же время	13	8
38	или иной	4	7
39	в своем	8	7
40	а также	5	7
41	мы имеем	2	7
42	себя в	2	7
43	отношение к	5	7
44	отличие от	3	7
45	в самом	9	7
46	в отличие	3	7
47	место в	4	7
48	не столько	2	7
49	и т.п	6	7
50	в нем	28	7
51	героя и	7	6
52	еще не	8	6
53	то что	13	6
54	как и	15	6
55	с другими	3	6
56	картина мира	2	6
57	уже не	5	6
58	между ними	5	6
59	в ее	6	6
60	в основе	9	6
61	с его	10	6
62	данном случае	2	5
63	мыслится как	2	5
64	по преимуществу	4	5
65	как в	10	5
66	ни в	9	5
67	в виду	5	5
68	не является	4	5
69	для того	12	5
70	в пределах	8	5
71	для него	5	5
72	за пределами	2	5
73	на почве	2	5
74	могут быть	7	5
75	жизни как	2	5
76	того чтобы	11	5
77	того что	5	5
78	он не	6	5
79	в себя	3	5
80	можно сказать	2	5
81	никогда не	8	4
82	сказать что	4	4
83	в отношении	5	4
84	его в	8	4
85	самим собой	2	4
86	это не	8	4
87	во времени	6	4
88	так в	2	4
89	и ее	4	4
90	в форме	5	4
91	в другом	2	4
92	этого слова	2	4
93	и т.д	2	4
94	в их	9	4
95	одного и	6	4
96	в этих	6	4
97	что он	2	4
98	по своему	3	4
99	в литературе	17	4
100	далеко не	3	4
101	к тому	6	4
102	а только	2	4
103	того же	9	4
104	мира и	6	4
105	входит в	3	4
106	в свою	2	4
107	в целом	2	4
108	личности и	2	4
109	со своей	3	4
110	и того	7	4
111	не на	4	4
112	с ее	7	4
113	и сам	2	4
114	отношения к	7	4
115	в нашем	3	4
116	не знает	4	4
117	хотя и	5	4
118	но он	4	4
119	и то	5	3
120	в соответствии	2	3
121	и потому	4	3
122	во всех	13	3
123	из этих	5	3
124	одной стороны	3	3
125	о чем	4	3
126	в которой	3	3
127	и для	12	3
128	картины мира	2	3
129	и как	12	3
130	в порядке	4	3
131	если бы	6	3
132	роль в	12	3
133	или в	3	3
134	мира в	6	3
135	он должен	2	3
136	в таком	4	3
137	с этой	3	3
138	в эпизоде	6	3
139	и вот	2	3
140	ни к	3	3
141	была бы	2	3
142	в романе	40	3
143	никто не	2	3
144	между собой	5	3
145	с одной	5	3
146	и др	13	3
147	есть в	3	3
148	в жизни	6	3
149	для себя	8	3
150	их в	6	3
151	именно в	5	3
152	потому что	11	3
153	том числе	7	3
154	во втором	2	3
155	имеем в	3	3
156	прежде всего	28	3
157	человеческой жизни	9	3
158	и к	4	3
159	отнюдь не	7	3
160	хронотоп в	6	3
161	с точки	9	3
162	все эти	12	3
163	не обязательно	2	3
164	той или	3	3
165	и по	5	3
166	связи с	14	3
167	в связи	13	3
168	таким образом	14	3
169	во всей	3	3
170	принадлежит к	4	3
171	например в	7	3
172	в этой	3	3
173	имеет место	6	3
174	в одном	10	3
175	как раз	13	3
176	вовсе не	20	3
177	между двумя	6	3
178	одно и	4	2
179	еще и	3	2
180	в каком	2	2
181	только и	5	2
182	но она	2	2
183	не могли	3	2
184	имеет в	2	2
185	не могут	4	2
186	то в	2	2
187	идет о	2	2
188	для всех	3	2
189	так же	7	2
190	жизни на	2	2
191	с чем	2	2
192	тем более	4	2
193	одну из	2	2
194	человека и	15	2
195	ни был	2	2
196	дело в	3	2
197	с их	2	2
198	это было	2	2
199	как уже	3	2
200	в глаза	3	2
201	об этом	3	2
202	но на	4	2
203	и даже	5	2
204	в конце	11	2
205	и здесь	2	2
206	лишь один	2	2
207	и прежде	4	2
208	времени и	10	2
209	жизни в	11	2
210	в значительной	3	2
211	у нас	2	2
212	к своему	2	2
213	только на	3	2
214	и другие	6	2
215	мире и	3	2
216	вследствие этого	4	2
217	своей жизни	6	2
218	у него	8	2
219	самом деле	2	2
220	автора и	4	2
221	этом мире	7	2
222	в чем	3	2
223	вместе с	9	2
224	в одно	3	2
225	не могло	5	2
226	на фоне	3	2
227	в аспекте	2	2
228	игра с	4	2
229	на котором	2	2
230	здесь мы	4	2
231	с человеком	2	2
232	самим собою	5	2
233	одной из	3	2
234	жизни но	7	2
235	и является	2	2
236	числе и	4	2
237	всей его	2	2
238	и это	5	2
239	ее в	2	2
240	могло быть	5	2
241	от всех	2	2
