N	3gram	Vinokur_Ku	Narrotol
1	в том что	23	18
2	не только в	4	13
3	по отношению к	8	11
4	в отличие от	3	11
5	о том что	6	9
6	в то же	4	8
7	тем не менее	9	8
8	в этом отношении	8	8
9	в соответствии с	5	8
10	то же время	4	8
11	не может быть	5	8
12	по большей части	2	8
13	можно сказать что	2	6
14	с одной стороны	2	6
15	состоит в том	4	6
16	на самом деле	3	5
17	для того чтобы	21	5
18	в свою очередь	4	5
19	к тому что	2	4
20	во всяком случае	8	4
21	в конечном счете	2	4
22	внимание на то	2	3
23	речь идет о	3	3
24	точно так же	4	3
25	того или иного	5	3
26	в связи с	4	3
27	с точки зрения	16	3
28	в самом деле	14	3
29	до сих пор	5	3
30	в зависимости от	7	3
31	на то что	3	3
32	а в том	2	3
33	и потому что	4	2
34	но все же	3	2
35	более или менее	3	2
36	а с другой	3	2
37	не в том	5	2
38	одного и того	2	2
39	в той мере	6	2
40	можно было бы	11	2
41	на мой взгляд	2	2
42	мере в какой	6	2
43	так же как	3	2
44	вследствие того что	2	2
45	что иное как	2	2
46	в том смысле	2	2
47	и т п	39	2
48	только потому что	11	2
49	той мере в	6	2
50	в ряде случаев	2	2
51	и того же	2	2
52	сами по себе	2	2
53	и не в	2	2
