N	3gram	Vinokur_Vv	Mirosoze
1	не может быть	10	28
2	в том что	15	9
3	для того чтобы	22	7
4	о том что	13	6
5	вместе с тем	3	6
6	и в этом	4	6
7	может быть и	2	5
8	после того как	2	5
9	до сих пор	7	5
10	по отношению к	4	4
11	в конце концов	2	4
12	и в самом	3	4
13	не что иное	5	4
14	потому что он	2	4
15	можно было бы	4	4
16	что иное как	5	4
17	во всяком случае	5	3
18	с тем что	3	3
19	одной и той	2	3
20	и той же	2	3
21	также и в	3	3
22	есть не что	3	3
23	по своему значению	2	3
24	не до конца	2	3
25	как будто бы	2	3
26	по сравнению с	4	3
27	т е в	4	2
28	в начале xix	2	2
29	уже не только	2	2
30	смысле этого слова	2	2
31	подобно тому как	2	2
32	в этом отношении	4	2
33	не только в	4	2
34	хотя бы и	2	2
35	не могут быть	2	2
36	но также и	10	2
37	что в нем	2	2
