N	3gram	Propp_Isto	Vvedenie
1	и т д	36	39
2	для того чтобы	3	22
3	в том что	4	15
4	о том что	5	13
5	не может быть	6	10
6	тем не менее	6	9
7	до сих пор	7	7
8	в этом случае	13	6
9	на этот вопрос	2	5
10	с другой стороны	10	5
11	в том чтобы	2	5
12	не только в	2	4
13	в данном случае	2	4
14	и в особенности	2	4
15	т е в	6	4
16	но все же	6	4
17	с одной стороны	7	4
18	по отношению к	2	4
19	вместе с тем	7	3
20	как мы видели	2	3
21	и тем не	2	3
22	и то что	3	3
23	одно и то	2	2
24	но вместе с	4	2
25	и то же	2	2
26	т д все	2	2
27	на том что	3	2
28	подобно тому как	2	2
29	этой точки зрения	2	2
30	это еще не	2	2
31	с этой точки	2	2
32	не в том	2	2
33	в этих случаях	7	2
34	точно так же	3	2
35	потому что он	5	2
36	на задний план	3	2
37	после того как	4	2
38	в связи с	6	2
