N	3gram	Propp_Morf	Komedia
1	в том что	4	29
2	о том что	3	13
3	для того чтобы	3	11
4	в то время	3	11
5	по отношению к	7	9
6	то время как	3	9
7	с одной стороны	2	9
8	с другой стороны	5	8
9	то ни было	2	7
10	бы то ни	3	7
11	во всяком случае	2	7
12	в связи с	9	6
13	с точки зрения	6	6
14	и т д	60	5
15	в этом отношении	2	5
16	о том как	2	5
17	в тех же	4	5
18	тем не менее	6	5
19	к тому что	4	4
20	можно было бы	2	4
21	независимо от того	4	4
22	но все же	4	4
23	в обоих случаях	2	4
24	более или менее	2	3
25	наряду с этим	5	3
26	хотя и не	2	3
27	на то что	3	3
28	состоит в том	3	3
29	в тех случаях	2	2
30	мы имеем в	2	2
31	в большинстве случаев	3	2
32	подобно тому как	5	2
33	в первом случае	3	2
34	точно так же	2	2
35	действующих лиц не	2	2
36	тех случаях когда	2	2
37	ни одной из	2	2
38	в этом случае	10	2
39	и таким образом	2	2
40	как и в	3	2
41	друг за другом	2	2
