N	2gram	Savitsky_P	KFilosof
1	может быть	5	45
2	в его	2	42
3	в нем	3	32
4	не может	4	29
5	и не	12	28
6	и в	14	28
7	в котором	4	24
8	в себе	3	21
9	только в	7	18
10	в своем	4	17
11	в ее	2	17
12	а не	2	17
13	в этом	10	15
14	не в	5	13
15	точки зрения	3	13
16	но не	3	12
17	и это	2	12
18	во всех	2	11
19	это не	3	10
20	все это	2	10
21	с точки	3	10
22	и есть	2	10
23	но и	6	9
24	как бы	4	9
25	если бы	4	8
26	не было	2	8
27	со стороны	2	8
28	в мире	2	8
29	было бы	6	8
30	то что	4	7
31	отнюдь не	2	7
32	должно быть	2	6
33	в том	9	6
34	в смысле	6	6
35	не только	17	5
36	хотя бы	8	5
37	то же	9	5
38	а в	4	5
39	но в	9	5
40	именно в	2	5
41	я и	3	5
42	тем самым	3	4
43	том что	4	4
44	что в	4	4
45	прежде всего	3	4
46	для нас	2	4
47	с ними	3	4
48	во всей	2	4
49	между тем	3	4
50	в то	7	3
51	и тем	2	3
52	для того	3	3
53	к чему	2	3
54	и пр	5	3
55	не менее	2	3
56	в ней	6	3
57	могут быть	3	3
58	того что	2	3
59	мы не	3	3
60	тот же	3	3
61	не о	2	2
62	и мы	2	2
63	и потому	4	2
64	говорить о	2	2
65	и как	3	2
66	в виде	2	2
67	и других	2	2
68	в области	11	2
69	отношении к	5	2
70	в жизни	2	2
71	с тем	3	2
72	думать что	2	2
73	только это	2	2
74	еще более	2	2
75	не нужно	2	2
76	по себе	4	2
77	потому что	3	2
78	сводится к	3	2
79	знать что	2	2
80	в качестве	9	2
81	же время	7	2
