N	2gram	Voloshinov	NovoeSre
1	а не	9	17
2	и в	28	16
3	не может	30	16
4	совсем не	6	12
5	и не	34	11
6	и есть	3	10
7	в эпоху	3	9
8	что в	7	9
9	жизни и	7	8
10	как не	3	8
11	в том	10	8
12	он не	10	8
13	может быть	28	7
14	как и	13	7
15	в этом	28	7
16	это есть	2	7
17	никогда не	10	6
18	в высшей	6	6
19	ни в	12	6
20	не в	10	6
21	высшей степени	6	6
22	не знает	5	6
23	но это	4	6
24	с его	9	6
25	не только	10	5
26	в жизни	7	5
27	должен быть	2	5
28	все это	12	5
29	в нем	7	5
30	с ее	4	5
31	в ней	8	5
32	и к	7	5
33	должно быть	2	4
34	по своему	4	4
35	в них	3	4
36	и для	7	4
37	не имеет	2	4
38	всех сторон	2	4
39	прежде всего	26	4
40	не менее	6	4
41	не было	5	4
42	и потому	12	4
43	то что	17	4
44	о том	3	4
45	это не	5	4
46	потому что	4	4
47	и все	13	4
48	большую роль	2	4
49	жизни к	3	4
50	смысле слова	4	3
51	в мире	2	3
52	в прошлом	2	3
53	но и	10	3
54	с другой	2	3
55	в ее	5	3
56	она не	6	3
57	к тому	6	3
58	и пр	29	3
59	что такое	6	3
60	жизни в	3	3
61	в своей	14	3
62	еще не	8	3
63	в истории	4	3
64	человека и	6	3
65	должна быть	2	3
66	как в	4	3
67	конечно не	10	3
68	не есть	2	3
69	за пределы	10	3
70	сказать что	11	3
71	во всех	13	3
72	вопрос о	2	3
73	это было	2	3
74	не существует	4	3
75	в основе	6	3
76	в одну	2	2
77	зависит от	2	2
78	в себе	7	2
79	что она	5	2
80	все они	2	2
81	и с	10	2
82	одна из	4	2
83	формы и	3	2
84	для этого	6	2
85	себя в	3	2
86	но не	7	2
87	нет и	4	2
88	и т.п	4	2
89	что все	7	2
90	думать что	2	2
91	и от	3	2
92	роль в	7	2
93	того чтобы	5	2
94	хотя бы	7	2
95	когда мы	2	2
96	же как	2	2
97	а в	8	2
98	все время	4	2
99	но в	13	2
100	том что	12	2
101	в обществе	3	2
102	не к	2	2
103	и на	9	2
104	с этим	8	2
105	и что	6	2
106	ли это	2	2
107	все эти	15	2
108	мы не	9	2
109	на протяжении	7	2
110	и было	2	2
111	стремление к	2	2
112	это и	4	2
113	связаны с	2	2
114	каждого человека	2	2
115	у него	4	2
116	равно как	2	2
117	центр тяжести	3	2
118	уже не	9	2
119	с их	5	2
120	как это	5	2
121	так же	4	2
122	так и	14	2
123	личность в	2	2
124	такого рода	2	2
125	могут быть	9	2
126	но для	3	2
127	одной стороны	2	2
128	такой же	3	2
129	в то	7	2
130	и начинается	2	2
131	связана с	2	2
132	мысли и	4	2
133	и творчества	2	2
134	этом смысле	2	2
135	с одной	2	2
136	и даже	3	2
137	в центре	3	2
138	ведь и	3	2
139	вместе с	5	2
140	я не	4	2
