N	4gram	Vygotskiy_	Myshleni
1	заключается в том что	7	43
2	в то время как	6	20
3	с этой точки зрения	5	16
4	так же как и	2	16
5	одной и той же	5	15
6	один и тот же	2	12
7	в собственном смысле слова	2	9
8	в силу того что	3	9
9	заключается в том чтобы	4	7
10	то же самое что	2	7
11	не что иное как	2	6
12	точно так же как	3	6
13	приходит к выводу что	2	5
14	представление о том что	2	5
15	все больше и больше	2	5
16	указывает на то что	4	4
17	одни и те же	3	4
18	несмотря на то что	2	4
19	ни в какой мере	2	3
20	с психологической точки зрения	3	3
21	в том что она	4	3
22	в том случае если	2	2
23	не остается ничего другого	2	2
24	так же точно как	3	2
25	остается ничего другого как	2	2
26	с таким образом и	2	2
27	в полном согласии с	2	2
28	с точки зрения социальной	2	2
29	в том и заключается	2	2
30	же как и в	2	2
31	в то же время	2	2
