N	2gram	Vygotskiy_	EvropaiE
1	и в	33	37
2	в отношении	18	32
3	в пределах	6	25
4	точки зрения	27	23
5	что в	33	21
6	не только	28	18
7	с точки	12	17
8	в то	5	16
9	отношении к	2	15
10	хотя бы	5	15
11	то же	12	15
12	в своем	11	14
13	но в	9	14
14	но и	14	14
15	и не	18	14
16	в качестве	13	14
17	в этом	43	12
18	в том	44	11
19	в их	4	11
20	в области	19	11
21	так и	8	10
22	все более	4	9
23	так же	22	9
24	в смысле	3	9
25	не может	31	9
26	отнюдь не	2	9
27	в себе	4	9
28	прежде всего	5	9
29	только в	21	9
30	одной стороны	10	8
31	между тем	5	8
32	было бы	18	8
33	в своей	5	8
34	с одной	10	8
35	к тому	14	8
36	по своему	4	7
37	нам кажется	2	7
38	также и	2	7
39	с другой	11	7
40	как и	13	7
41	так как	20	7
42	того что	34	7
43	том что	41	6
44	вслед за	3	6
45	во всех	3	6
46	и даже	3	6
47	может быть	15	6
48	и на	11	6
49	стороны и	3	6
50	с этой	8	6
51	того чтобы	26	6
52	для того	20	6
53	на то	6	6
54	то что	48	6
55	как бы	11	6
56	вовсе не	2	6
57	к которым	2	5
58	но не	13	5
59	тем самым	13	5
60	и по	5	5
61	и потому	3	5
62	столь же	5	5
63	но если	7	5
64	этой точки	7	5
65	в той	8	5
66	как мы	20	5
67	которую мы	3	5
68	со стороны	3	5
69	не в	10	5
70	в виде	3	5
71	в частности	9	5
72	же как	9	5
73	одной из	5	5
74	сказать что	18	4
75	в каком	2	4
76	лежат в	3	4
77	вопрос о	15	4
78	и притом	2	4
79	не имеет	7	4
80	само по	2	4
81	можно сказать	7	4
82	то в	7	4
83	независимо от	3	4
84	именно в	8	4
85	в процессе	37	4
86	в самом	10	4
87	мы не	6	4
88	в ней	2	4
89	как совокупность	2	4
90	по себе	8	4
91	несмотря на	3	4
92	тем более	5	4
93	на всем	5	4
94	не на	5	4
95	как это	11	4
96	бы то	2	4
97	чем в	6	4
98	никогда не	10	3
99	с тем	9	3
100	и от	2	3
101	и для	3	3
102	ни на	3	3
103	и только	4	3
104	в данной	2	3
105	известном смысле	7	3
106	различия в	2	3
107	о том	13	3
108	очевидно что	2	3
109	к ним	2	3
110	в данном	4	3
111	вообще не	5	3
112	того же	13	3
113	в которых	2	3
114	в сфере	9	3
115	когда он	3	3
116	можно было	11	3
117	этом смысле	5	3
118	в свою	5	3
119	потребность в	4	3
120	и к	7	3
121	в результате	9	3
122	мы можем	15	3
123	но на	2	3
124	этот факт	3	3
125	из них	6	3
126	в известном	9	3
127	в них	3	3
128	с более	3	3
129	всяком случае	2	3
130	место в	2	3
131	мы видели	10	3
132	что и	11	3
133	друг с	10	3
134	во второй	4	3
135	там где	2	3
136	и тем	5	3
137	не дает	2	3
138	тем что	12	3
139	говорит о	4	3
140	этом отношении	7	3
141	не является	7	3
142	потому что	40	3
143	представляет собой	11	3
144	с другом	10	3
145	как в	7	3
146	как на	4	3
147	в известной	3	3
148	в прошлом	2	3
149	ее в	3	3
150	во всяком	4	3
151	есть в	2	2
152	именно потому	3	2
153	данном случае	3	2
154	представление о	2	2
155	на этот	9	2
156	если в	4	2
157	в его	15	2
158	отношений между	4	2
159	не есть	4	2
160	что к	2	2
161	и то	9	2
162	совершенно очевидно	2	2
163	что если	6	2
164	к нему	4	2
165	не могут	7	2
166	как же	2	2
167	она не	2	2
168	а в	5	2
169	с этим	9	2
170	из того	12	2
171	мы должны	13	2
172	в котором	2	2
173	тому чтобы	4	2
174	его на	2	2
175	но как	6	2
176	в своих	5	2
177	от друга	5	2
178	и поэтому	2	2
179	только к	4	2
180	и с	7	2
181	бы в	6	2
182	этот вопрос	8	2
183	не нужно	2	2
184	в случае	2	2
185	что на	2	2
186	во втором	2	2
187	могут быть	7	2
188	в развитии	45	2
189	другой стороны	9	2
190	что все	9	2
191	между ними	5	2
192	тогда когда	10	2
193	их из	2	2
194	по своей	7	2
195	в одном	3	2
196	в сферу	2	2
197	и как	7	2
198	не можем	2	2
199	что же	2	2
200	целый ряд	5	2
201	есть не	3	2
202	если бы	13	2
203	которого мы	2	2
204	иначе говоря	2	2
205	в этих	7	2
206	жизни и	2	2
207	в силу	14	2
208	еще более	5	2
209	и того	8	2
210	в других	2	2
211	а не	14	2
212	и других	7	2
213	мы видим	6	2
214	и что	18	2
215	сказывается в	2	2
216	нас к	6	2
217	и во	2	2
218	происходит в	3	2
219	и наконец	3	2
220	свою очередь	4	2
221	которые они	3	2
222	же в	2	2
223	точка зрения	8	2
224	этот процесс	5	2
225	и все	2	2
226	влияние на	2	2
227	в процессах	3	2
228	друг от	5	2
229	наряду с	3	2
230	по сравнению	9	2
231	таким образом	30	2
232	это значит	5	2
233	в истории	3	2
234	он не	13	2
235	приводит нас	3	2
236	как будто	2	2
237	такой же	4	2
238	на основании	2	2
239	во всей	3	2
240	сравнению с	9	2
241	что эти	4	2
242	в этой	8	2
243	и наиболее	2	2
244	не означает	5	2
245	но с	2	2
246	а тем	2	2
247	между собой	17	2
248	в какой	8	2
249	должна быть	7	2
250	вместе с	9	2
251	заключается в	15	2
252	он сам	2	2
253	на основе	6	2
254	и более	8	2
255	имеет место	4	2
