N	3gram	Bakhtin_Pr	VLabPisa
1	с другой стороны	3	8
2	не может быть	8	8
3	по отношению к	5	7
4	более или менее	3	6
5	в то же	8	5
6	в том что	6	5
7	то же время	8	5
8	в зависимости от	3	5
9	хотя бы и	2	5
10	можно сказать что	6	4
11	мы видели что	2	3
12	большей или меньшей	6	3
13	и др в	3	3
14	и в то	3	3
15	о том что	3	3
16	по крайней мере	2	2
17	в том числе	15	2
18	или меньшей степени	5	2
19	во всех его	2	2
20	и не может	6	2
21	том числе и	13	2
22	до сих пор	8	2
23	в большей или	5	2
24	можно было бы	2	2
