N	3gram	Medvedev_U	Psycholo
1	в том что	2	78
2	в самом деле	2	51
3	то же самое	2	31
4	до сих пор	2	23
5	не может быть	4	23
6	с другой стороны	3	20
7	в этом отношении	2	14
8	в конце концов	2	12
9	в художественном произведении	2	11
10	в конечном счете	4	11
11	и то что	2	10
12	в этом смысле	2	7
13	и в частности	2	5
14	а между тем	2	4
15	и в этой	2	4
16	в этой области	3	4
17	бы то ни	3	3
18	не могут быть	2	3
19	материала и формы	2	3
20	в то же	3	3
21	то же время	3	3
22	то ни было	3	2
23	тех или иных	2	2
24	по крайней мере	2	2
25	на каждом шагу	2	2
