N	3gram	Tiupa_Anal	Formalny
1	с точки зрения	2	40
2	не может быть	2	29
3	то же время	7	20
4	в то же	7	20
5	во всяком случае	6	16
6	по отношению к	9	12
7	в этом отношении	3	11
8	с другой стороны	7	9
9	с одной стороны	3	8
10	в свою очередь	7	7
11	того или иного	5	7
12	сам по себе	2	6
13	в данном случае	11	6
14	не только не	3	6
15	в том что	12	6
16	до известной степени	3	5
17	в значительной степени	3	5
18	в отличие от	5	5
19	тем не менее	3	4
20	подобно тому как	3	4
21	но и в	2	4
22	сама по себе	3	4
23	т е к	2	3
24	в противном случае	2	3
25	так или иначе	5	3
26	в том чтобы	2	3
27	и прежде всего	2	2
28	одной из своих	2	2
29	тот или иной	3	2
30	одних и тех	2	2
31	совершенно очевидно что	2	2
32	как и в	6	2
33	так и не	5	2
34	в таком случае	2	2
35	не только в	5	2
36	и тем самым	2	2
37	в одной из	2	2
38	всех без исключения	3	2
39	и тех же	2	2
40	дело в том	3	2
