N	3gram	Losev_Dial	Hudozhes
1	в том что	12	8
2	в то же	3	7
3	то же время	3	7
4	с другой стороны	3	6
5	той или иной	2	5
6	так или иначе	2	4
7	того или иного	3	4
8	не может быть	12	4
9	одно и то	2	3
10	тот или иной	2	3
11	и то же	2	3
12	с точки зрения	25	3
13	с одной стороны	3	3
14	тем не менее	10	3
15	подобно тому как	5	3
16	в связи с	3	3
17	и прежде всего	6	2
18	бы то ни	2	2
19	коем случае не	4	2
20	в коем случае	4	2
21	и в то	2	2
22	в таком случае	11	2
23	в данный момент	2	2
24	этой точки зрения	4	2
25	в самом деле	6	2
26	к тому что	2	2
27	с этой точки	4	2
28	тех или иных	2	2
29	ни в коем	4	2
30	сама по себе	11	2
