N	2gram	Tiupa_Lite	VeschiIm
1	не есть	2	79
2	и не	19	57
3	не только	29	48
4	то что	14	48
5	не может	10	46
6	и в	26	45
7	и есть	3	40
8	может быть	24	39
9	и т	2	39
10	а не	28	37
11	что я	4	26
12	потому что	5	25
13	было бы	4	24
14	не просто	2	24
15	в себе	8	23
16	только в	8	23
17	и что	2	22
18	что такое	2	20
19	как бы	8	20
20	но и	25	19
21	все же	6	18
22	в этом	19	18
23	есть не	2	17
24	прежде всего	14	17
25	так как	2	17
26	того что	7	16
27	таким образом	4	16
28	как раз	6	16
29	в том	22	15
30	как и	13	15
31	в ней	4	15
32	уже не	9	15
33	не в	11	14
34	и то	3	14
35	но это	2	14
36	том что	19	13
37	в самом	4	13
38	в себя	5	13
39	ничего не	3	12
40	что в	7	12
41	точки зрения	8	12
42	что и	3	12
43	и как	2	12
44	то же	13	12
45	ни было	2	12
46	еще не	4	12
47	и даже	9	12
48	о том	3	12
49	и с	4	12
50	еще и	3	11
51	в то	12	11
52	не менее	11	11
53	что не	3	11
54	вовсе не	3	11
55	себя в	7	11
56	тем не	4	11
57	также и	3	11
58	и только	4	11
59	крайней мере	2	10
60	в чем	2	10
61	с ее	3	10
62	по крайней	2	10
63	это не	4	9
64	со стороны	6	9
65	так что	4	9
66	в своем	12	9
67	то и	5	9
68	хотя бы	3	9
69	в результате	2	9
70	я и	10	9
71	если оно	2	9
72	у нас	5	9
73	на то	2	9
74	но не	8	9
75	и его	7	9
76	с ним	2	9
77	в отношении	2	8
78	его в	4	8
79	что он	8	8
80	но в	5	8
81	мы не	5	8
82	себя и	3	8
83	должна быть	3	8
84	мы имеем	2	8
85	с тем	2	8
86	что есть	2	8
87	для него	6	8
88	не с	2	8
89	с другой	11	8
90	со своим	2	8
91	отнюдь не	4	8
92	в действительности	2	7
93	с чем	3	7
94	и тем	4	7
95	из них	5	7
96	самом деле	2	7
97	а в	5	7
98	все эти	2	7
99	в сущности	5	7
100	я не	8	7
101	относится к	3	7
102	никак не	2	7
103	слова и	6	7
104	тем что	6	7
105	с этой	6	7
106	никогда не	5	6
107	для себя	6	6
108	как я	3	6
109	так или	8	6
110	а если	2	6
111	в нем	4	6
112	в своей	5	6
113	тех или	2	6
114	имени в	3	6
115	как мы	2	6
116	одна из	8	6
117	в данном	7	6
118	можно было	3	6
119	дело в	3	6
120	на почве	2	6
121	или иначе	9	6
122	в сфере	7	6
123	несмотря на	3	6
124	жизни и	6	6
125	с точки	4	6
126	в одном	2	6
127	да и	3	5
128	как к	4	5
129	должен быть	2	5
130	и мы	2	5
131	свою очередь	2	5
132	вместе с	5	5
133	себе в	3	5
134	как это	9	5
135	того же	5	5
136	даже и	2	5
137	то это	2	5
138	один из	7	5
139	на себя	4	5
140	в его	9	5
141	для этого	5	5
142	на это	2	5
143	же это	3	5
144	во всех	4	5
145	в жизни	7	5
146	подобно тому	4	5
147	от всех	2	5
148	что для	2	5
149	все что	3	5
150	в свою	2	5
151	тому как	4	5
152	быть не	2	5
153	к себе	3	4
154	в силу	4	4
155	в конце	6	4
156	в их	3	4
157	так и	7	4
158	в этой	7	4
159	этой точки	3	4
160	то как	2	4
161	в качестве	21	4
162	не было	5	4
163	во всяком	3	4
164	в основе	5	4
165	то в	3	4
166	только то	3	4
167	дело не	2	4
168	в особенности	2	4
169	и вот	2	4
170	во имя	3	4
171	по своей	3	4
172	но только	3	4
173	отношении к	2	4
174	на этом	3	4
175	сводится к	4	4
176	же время	12	4
177	он не	4	4
178	и сам	6	4
179	о которой	2	4
180	однако не	2	4
181	что ему	4	3
182	бы я	2	3
183	из того	3	3
184	а вот	2	3
185	но как	3	3
186	можно и	2	3
187	не является	3	3
188	человека и	2	3
189	но даже	2	3
190	в другом	3	3
191	в уме	4	3
192	который бы	2	3
193	казалось бы	6	3
194	себе не	2	3
195	только на	3	3
196	в частности	18	3
197	а с	2	3
198	по существу	4	3
199	бы на	2	3
200	к тому	3	3
201	а только	2	3
202	и само	3	3
203	одной стороны	8	3
204	другой стороны	5	3
205	быть может	2	3
206	различие между	3	3
207	себя как	2	3
208	в целом	10	3
209	или нет?	3	3
210	же как	3	3
211	тогда как	20	3
212	то с	2	3
213	все еще	2	3
214	из его	2	3
215	ту или	2	3
216	тем более	2	3
217	и нет	4	3
218	а я	2	3
219	я это	3	3
220	но уже	2	3
221	превращается в	2	3
222	жизни в	5	3
223	для того	2	3
224	как в	5	3
225	с одной	9	3
226	не мог	3	3
