N	3gram	Losev_Prob	Tvorches
1	в то же	4	25
2	и т д	12	17
3	в том что	7	11
4	о том что	16	8
5	не может быть	5	6
6	в самом деле	4	5
7	по крайней мере	8	4
8	с точки зрения	3	4
9	с самого начала	2	4
10	до сих пор	6	4
11	дело в том	3	4
12	в таком случае	14	3
13	точно так же	7	3
14	это значит что	3	3
15	в известной мере	2	3
16	ю м лотмана	2	3
17	том что в	2	3
18	хотя и не	2	3
19	с другой стороны	7	3
20	сами по себе	5	3
21	во всяком случае	11	3
22	на самом деле	6	2
23	тем не менее	25	2
24	не только в	3	2
25	для того чтобы	9	2
26	содержит в себе	7	2
27	можно сказать что	6	2
28	в этой области	5	2
29	но отнюдь не	4	2
30	так и в	2	2
31	не то что	2	2
32	в связи с	7	2
33	том числе и	2	2
34	так как он	2	2
35	вместе с тем	2	2
36	заключается в том	2	2
37	в конце концов	11	2
38	так же как	2	2
39	в данном случае	10	2
40	в том числе	2	2
41	и что в	2	2
42	только то что	6	2
43	именно в этом	2	2
44	а может быть	3	2
45	и в самом	2	2
46	не потому что	2	2
