N	3gram	Bakhtin_Pr	KFilosof
1	по отношению к	19	22
2	не может быть	11	11
3	в его целом	5	10
4	с точки зрения	6	10
5	может быть только	3	7
6	в чем не	2	4
7	ни в чем	2	4
8	есть лишь момент	2	3
9	в этом смысле	3	3
10	между тем как	5	3
11	на самом деле	3	3
12	во всех своих	2	3
13	того или иного	2	3
14	то ни было	2	2
15	бы то ни	3	2
16	все эти моменты	2	2
17	всех своих моментах	2	2
18	в том что	3	2
19	в то же	3	2
20	той или иной	2	2
21	и в нем	3	2
22	то же время	3	2
23	только по отношению	4	2
24	то или иное	2	2
25	тем не менее	3	2
