N	2gram	Kanaev_Sov	SlovoVZh
1	не может	17	16
2	точки зрения	12	14
3	может быть	12	14
4	как бы	4	13
5	и в	7	12
6	таким образом	11	12
7	в нашем	2	11
8	и не	6	10
9	так как	4	9
10	прежде всего	5	8
11	для нас	3	7
12	при этом	3	6
13	в том	4	6
14	в нем	3	6
15	с помощью	4	6
16	но в	3	5
17	то же	3	5
18	как и	6	5
19	а не	3	5
20	отнюдь не	3	5
21	в самом	2	4
22	в этом	7	4
23	не только	4	4
24	зависимости от	4	4
25	жизни и	4	4
26	не в	3	4
27	все же	3	4
28	и к	3	4
29	уже не	2	4
30	он должен	2	3
31	все эти	5	3
32	и наконец	5	3
33	то ни	2	3
34	мы не	9	3
35	в себе	3	3
36	еще не	3	3
37	все это	3	3
38	в некоторых	2	3
39	не менее	2	3
40	быть и	2	3
41	и по	2	3
42	самом деле	2	3
43	и пр	2	3
44	тем не	2	3
45	ясно что	3	3
46	конечно в	2	2
47	в его	2	2
48	что в	2	2
49	ничего не	6	2
50	это не	4	2
51	и все	3	2
52	с точки	5	2
53	форма в	2	2
54	но все	2	2
55	в зависимости	4	2
56	но мы	3	2
57	и что	2	2
58	уже в	3	2
59	в условиях	5	2
60	в настоящее	2	2
61	такой же	2	2
62	точку зрения	4	2
63	и потому	3	2
64	если же	2	2
65	мы можем	6	2
66	могут быть	2	2
67	между собой	3	2
68	настоящее время	2	2
69	с одной	2	2
70	же самое	2	2
71	этих двух	2	2
72	вместе с	4	2
