N	3gram	Nazirov_Tv	Problemy
1	то же время	18	26
2	в то же	19	26
3	по отношению к	3	18
4	и т п	4	18
5	на самом деле	2	15
6	не может быть	2	14
7	но в то	5	11
8	в романах достоевского	24	10
9	с самого начала	3	9
10	в самом деле	2	9
11	во всяком случае	2	9
12	в творчестве достоевского	8	9
13	с другой стороны	2	9
14	и не может	2	8
15	в том что	8	8
16	в мире достоевского	2	7
17	и в то	3	7
18	мы уже говорили	2	7
19	и т д	10	7
20	в романе достоевского	5	6
21	в отличие от	2	6
22	по крайней мере	4	5
23	в бедных людях	5	5
24	записок из подполья	4	5
25	на протяжении всего	2	4
26	тем не менее	2	4
27	о том что	6	4
28	так и в	2	4
29	как и в	2	4
30	сами по себе	2	4
31	что у достоевского	2	3
32	в данном случае	2	3
33	на этот вопрос	2	3
34	ивана карамазова и	2	3
35	в братьях карамазовых	6	3
36	это не значит	2	3
37	у достоевского нет	2	3
38	а может быть	2	3
39	можно сказать что	2	3
40	пространстве а не	2	2
41	записках из подполья	5	2
42	у достоевского как	2	2
43	не во времени	2	2
44	но это не	2	2
45	и та же	2	2
46	что все это	3	2
47	б м энгельгардт	2	2
48	не только в	2	2
49	в том же	3	2
50	в записках из	6	2
51	человека и его	2	2
52	дело в том	4	2
53	и иван карамазов	2	2
54	в одном из	2	2
55	а не во	2	2
56	в пространстве а	2	2
57	но у достоевского	3	2
58	в свою очередь	2	2
