N	2gram	Voloshinov	Tvorches
1	и в	12	56
2	как бы	13	41
3	в его	2	37
4	в то	2	30
5	то же	5	25
6	не только	4	24
7	но в	5	24
8	и его	13	23
9	и не	10	23
10	как и	5	23
11	в этом	4	22
12	в том	6	21
13	что в	2	21
14	том что	5	19
15	он не	2	19
16	может быть	14	19
17	то что	5	18
18	все это	3	17
19	и на	4	17
20	таким образом	12	17
21	никогда не	5	16
22	прежде всего	8	16
23	как в	5	16
24	при этом	6	16
25	не может	16	16
26	но и	3	16
27	в творчестве	3	16
28	с его	2	15
29	но это	2	15
30	и с	3	15
31	это не	2	14
32	о том	3	13
33	а не	5	13
34	в котором	3	12
35	все же	4	11
36	в своей	3	11
37	для него	3	11
38	отнюдь не	5	11
39	не в	4	10
40	в основном	2	10
41	так и	4	10
42	уже в	2	10
43	но не	2	10
44	в самом	4	10
45	когда он	3	10
46	только в	6	10
47	по природе	2	9
48	в нем	6	9
49	в душе	2	9
50	так же	3	8
51	в себе	3	8
52	не менее	3	8
53	так как	9	8
54	к этому	2	8
55	еще не	3	8
56	вместе с	2	8
57	влияние на	2	7
58	самом деле	3	7
59	в чем	2	7
60	в этих	2	7
61	уже не	4	7
62	его в	4	6
63	и все	2	6
64	место в	2	6
65	все эти	3	6
66	и ее	3	6
67	хотя бы	5	6
68	если бы	9	6
69	в момент	2	6
70	с ним	3	6
71	бы не	2	5
72	ничего не	2	5
73	до конца	2	5
74	по отношению	11	5
75	это как	3	5
76	в своем	2	5
77	не так	2	5
78	в них	3	5
79	что не	4	5
80	что и	2	5
81	мы не	3	5
82	и по	3	5
83	все время	6	5
84	на него	2	5
85	между тем	3	5
86	героя и	5	5
87	и другие	2	5
88	отношению к	11	5
89	в литературе	4	5
90	с другой	4	5
91	и потому	2	4
92	сливается с	2	4
93	только на	3	4
94	как это	2	4
95	в такой	3	4
96	того что	3	4
97	к нему	4	4
98	точки зрения	14	4
99	могут быть	2	4
100	несравненно более	2	4
101	сих пор	3	4
102	нет ничего	2	4
103	дело в	4	4
104	и наконец	3	4
105	с этой	2	4
106	героев и	2	4
107	такой же	2	4
108	и более	3	4
109	зависит от	2	4
110	с точки	2	4
111	до сих	3	4
112	не есть	2	3
113	ее и	3	3
114	опираясь на	2	3
115	его к	2	3
116	действия и	2	3
117	на самом	4	3
118	в процессе	6	3
119	отношение к	4	3
120	как к	3	3
121	едва ли	2	3
122	в виду	5	3
123	на все	2	3
124	но что	2	3
125	как уже	2	3
126	более того	2	3
127	от этой	2	3
128	связь с	2	3
129	в ней	6	3
130	другой стороны	2	3
131	и др	5	3
132	там где	2	3
133	можно сказать	5	3
134	но зато	2	3
135	да и	3	3
136	сказать что	7	3
137	его как	2	3
138	ни на	2	3
139	кроме того	2	3
140	в жизни	5	3
141	автора и	2	3
142	в себя	2	3
143	и к	4	3
144	по себе	3	3
145	жизни и	4	3
146	и что	2	3
147	тому же	2	3
148	данном случае	2	2
149	в отношении	2	2
150	и притом	2	2
151	но мы	2	2
152	еще раз	2	2
153	нас и	2	2
154	в формах	2	2
155	точку зрения	2	2
156	рождается из	2	2
157	смысл и	2	2
158	но отнюдь	2	2
159	она не	2	2
160	была бы	2	2
161	точка зрения	3	2
162	настоящее время	2	2
163	в художественном	3	2
164	с героем	3	2
165	и та	2	2
166	между собой	2	2
167	нуждается в	3	2
168	и вообще	3	2
169	с автором	3	2
170	имеет в	3	2
171	в данном	2	2
172	с другими	2	2
173	а к	2	2
174	тем не	3	2
175	но этот	2	2
176	художественное произведение	3	2
177	отношении к	3	2
178	с одной	2	2
179	и является	4	2
180	от всех	2	2
181	ни в	3	2
182	и здесь	2	2
183	к его	2	2
184	но для	3	2
185	мы все	4	2
186	из этого	3	2
187	и уже	3	2
188	как на	2	2
189	если же	2	2
190	не к	3	2
191	ясно что	3	2
