N	3gram	Losev_Vlad	Marksizm
1	не может быть	4	25
2	в то же	7	15
3	то же время	7	15
4	в связи с	7	14
5	в том что	13	14
6	бы то ни	2	12
7	для того чтобы	3	11
8	но в то	2	9
9	в настоящее время	2	8
10	как мы знаем	3	7
11	с другой стороны	3	7
12	в свою очередь	2	7
13	во всяком случае	8	6
14	на то что	6	6
15	как мы уже	3	6
16	в этом отношении	2	5
17	том что он	4	4
18	можно сказать что	3	4
19	о том что	9	4
20	как мы сказали	2	4
21	к этому нужно	3	3
22	тем не менее	8	3
23	более или менее	5	3
24	на первый план	4	3
25	и тот же	2	3
26	в конце концов	6	3
27	не только в	3	3
28	один и тот	2	3
29	этому нужно прибавить	3	3
30	тех пор пока	2	2
31	до тех пор	2	2
32	что он не	3	2
33	как мы увидим	2	2
34	к тому же	3	2
35	в последнее время	2	2
36	не то что	2	2
37	и в том	2	2
38	так или иначе	3	2
39	в этом смысле	4	2
