N	3gram	Tiupa_Lite	Myshleni
1	в том что	15	133
2	с точки зрения	4	89
3	по отношению к	4	42
4	с одной стороны	8	39
5	в этом отношении	5	30
6	можно было бы	2	28
7	в этом случае	2	27
8	с другой стороны	5	26
9	о том что	3	25
10	не может быть	5	23
11	из того что	2	19
12	и тем самым	2	19
13	в отличие от	6	18
14	во всяком случае	2	18
15	состоит в том	8	18
16	этой точки зрения	3	17
17	в связи с	4	17
18	с этой точки	3	16
19	в данном случае	6	15
20	и то что	2	15
21	в свою очередь	2	14
22	подобно тому как	4	14
23	а с другой	2	13
24	тем не менее	4	12
25	в том числе	2	10
26	в конечном счете	8	9
27	в равной мере	2	8
28	речь идет о	3	8
29	в целом но	2	8
30	в том же	3	8
31	только в том	2	8
32	ничего общего с	2	6
33	только то что	2	6
34	в то же	12	5
35	едва ли не	5	5
36	прежде всего в	4	5
37	не только в	4	5
38	по аналогии с	3	4
39	мы имеем дело	2	4
40	все же в	2	3
41	в соответствии с	2	3
42	тех или иных	2	3
43	но при этом	2	3
44	то же время	12	3
45	дело в том	2	3
46	в целом ряде	2	3
47	тем что в	2	2
48	в силу своей	3	2
49	ту или иную	2	2
50	за то что	2	2
51	по тем же	2	2
52	по отношению ко	2	2
