N	3gram	Vygotskiy_	VerxiiNi
1	вместе с тем	4	8
2	с одной стороны	15	7
3	с точки зрения	5	6
4	для того чтобы	41	5
5	до сих пор	9	5
6	друг с другом	6	5
7	а с другой	5	5
8	о том что	15	4
9	в конце концов	6	3
10	так же как	3	3
11	и таким образом	3	3
12	в том что	30	3
13	и в этом	2	2
14	должны признать что	2	2
15	мы должны признать	2	2
16	можно сказать что	3	2
17	на то что	25	2
18	заключает в себе	6	2
19	то же самое	8	2
20	таким образом в	2	2
21	то что он	5	2
22	той или иной	2	2
23	может быть и	2	2
24	есть как бы	2	2
25	с самого начала	5	2
26	этой точки зрения	3	2
27	с этой точки	3	2
28	в этом отношении	3	2
29	по сравнению с	4	2
