N	2gram	Nazirov_Tv	Problema
1	и в	40	182
2	то есть	16	165
3	и не	12	152
4	вовсе не	5	145
5	то что	9	144
6	не есть	2	113
7	не только	16	104
8	потому что	10	89
9	в этом	11	88
10	может быть	11	82
11	том что	14	81
12	в том	13	81
13	только в	7	73
14	сказать что	3	72
15	но и	10	70
16	в виде	4	69
17	у нас	2	68
18	и даже	8	66
19	по себе	2	64
20	не менее	8	58
21	о том	9	57
22	так и	5	56
23	тем не	2	56
24	а не	9	56
25	но в	11	55
26	так что	4	52
27	ни в	2	51
28	отнюдь не	9	48
29	в себе	3	48
30	при помощи	4	47
31	было бы	2	46
32	в своей	8	45
33	прежде всего	10	45
34	что в	17	44
35	в его	19	44
36	все эти	3	43
37	не в	3	43
38	таким образом	14	42
39	как раз	2	42
40	то же	19	42
41	так как	6	40
42	что он	11	40
43	и что	2	40
44	не может	9	39
45	в этой	7	39
46	и тем	2	39
47	во всяком	2	39
48	как бы	26	39
49	в данном	2	38
50	хотя бы	5	37
51	того что	3	37
52	в нем	4	37
53	еще не	5	36
54	и все	6	36
55	и т	14	35
56	в виду	3	34
57	и с	9	34
58	указывает на	2	34
59	как и	16	34
60	уже не	6	34
61	не является	3	33
62	в таком	4	33
63	т д	10	33
64	в то	23	32
65	едва ли	2	32
66	но не	7	32
67	в своем	4	31
68	в конце	5	31
69	связи с	2	31
70	все это	14	31
71	так же	6	31
72	но это	10	31
73	с другой	4	30
74	настоящее время	2	30
75	перед нами	3	29
76	все же	9	29
77	об этом	4	29
78	в связи	2	29
79	можно сказать	2	29
80	данном случае	2	28
81	и о	2	28
82	мы не	3	28
83	а в	10	28
84	и как	5	27
85	ничего не	3	27
86	и это	2	27
87	хотя и	5	27
88	по крайней	4	26
89	как будто	5	26
90	вместе с	4	26
91	это не	9	26
92	крайней мере	4	26
93	другой стороны	2	26
94	и его	14	26
95	тем самым	10	25
96	и на	12	25
97	всяком случае	2	25
98	на самом	3	24
99	не имеет	2	24
100	и притом	2	23
101	мы находим	2	23
102	таком случае	2	23
103	есть не	2	23
104	при этом	14	23
105	в качестве	2	23
106	никогда не	13	22
107	и если	3	22
108	его в	2	22
109	и есть	2	22
110	только на	2	22
111	значит что	3	22
112	что и	3	22
113	и от	8	22
114	тоже не	2	22
115	и без	2	21
116	в самом	6	21
117	и только	2	21
118	и потому	4	20
119	именно в	6	20
120	или в	2	20
121	тем что	2	20
122	но если	4	19
123	то в	2	19
124	если бы	4	19
125	но только	3	19
126	то это	2	19
127	если не	4	19
128	он не	10	19
129	с ним	4	19
130	уже в	5	19
131	самом деле	4	19
132	как в	10	19
133	жизни и	3	19
134	того же	2	18
135	не будет	2	18
136	в ее	3	18
137	в этих	2	18
138	не было	3	18
139	не существует	3	18
140	в ней	2	18
141	мы уже	2	17
142	гораздо более	2	17
143	и здесь	2	17
144	но уже	2	17
145	это и	4	17
146	что они	3	17
147	во всех	2	17
148	к тому	2	16
149	в одно	2	16
150	далеко не	3	16
151	как это	2	16
152	точно так	3	16
153	что она	5	16
154	самое время	2	16
155	в чем	4	15
156	и более	2	15
157	всякого рода	2	15
158	казалось бы	4	15
159	в частности	4	15
160	у него	11	15
161	что не	5	15
162	с этим	2	15
163	и сам	5	15
164	не так	5	14
165	что все	4	14
166	говорит о	3	14
167	в дальнейшем	7	14
168	людей и	2	14
169	в котором	8	14
170	который в	4	13
171	дело в	4	13
172	в целях	2	13
173	или даже	2	13
174	в их	5	13
175	действительности и	3	13
176	тому что	2	13
177	же и	2	13
178	сами по	2	13
179	ни на	3	13
180	из них	4	13
181	что этот	2	12
182	в которой	5	12
183	с одной	2	12
184	в целом	7	12
185	для них	2	12
186	в начале	2	12
187	в литературе	4	12
188	на земле	4	12
189	он сам	8	12
190	в нашей	2	11
191	в истории	2	11
192	тот же	3	11
193	у пушкина	5	11
194	в таких	2	11
195	не могут	2	11
196	и у	3	11
197	и тогда	2	11
198	жизни в	9	11
199	и их	2	11
200	что его	4	11
201	в искусстве	3	11
202	свидетельствует о	2	11
203	не имеют	4	10
204	не то	2	10
