N	3gram	Voloshinov	Myshleni
1	в том что	9	133
2	с точки зрения	31	89
3	для того чтобы	7	78
4	по отношению к	9	42
5	с одной стороны	2	39
6	так же как	2	39
7	с самого начала	9	36
8	друг с другом	2	35
9	во внутренней речи	2	31
10	то же самое	8	31
11	в этом отношении	4	30
12	можно было бы	2	28
13	в этом случае	3	27
14	с другой стороны	6	26
15	в собственном смысле	2	26
16	о том что	2	25
17	на то что	2	25
18	не может быть	23	23
19	к тому что	4	22
20	смысле этого слова	6	22
21	в высшей степени	5	22
22	в зависимости от	2	22
23	можно сказать что	4	21
24	в самом деле	13	19
25	в отличие от	7	18
26	во всяком случае	4	18
27	в этом смысле	2	18
28	до сих пор	10	17
29	как мы видели	4	17
30	одного и того	9	17
31	в связи с	12	17
32	же как и	2	17
33	и того же	9	17
34	одной и той	2	15
35	и той же	2	15
36	на этот вопрос	3	14
37	в свою очередь	5	14
38	тем не менее	3	12
39	на первый план	2	12
40	и тот же	3	12
41	одно и то	3	12
42	один и тот	3	12
43	и то же	3	12
44	внутренней речи и	3	12
45	как мы уже	3	11
46	внутренней речи как	2	10
47	в том числе	3	10
48	от того что	2	10
49	том числе и	3	10
50	на самом деле	5	9
51	сама по себе	2	9
52	само по себе	2	9
53	более или менее	3	9
54	ни в какой	2	9
55	том что он	3	9
56	собственном смысле слова	2	9
57	все более и	2	8
58	не могут быть	3	8
59	свое выражение в	2	8
60	более и более	2	8
61	той или иной	5	8
62	в первом случае	3	7
63	вопрос о том	2	7
64	слова и его	2	7
65	ничего общего с	2	6
66	и тем же	2	6
67	лежит в основе	2	6
68	в этом вопросе	2	6
69	и не может	11	6
70	одним и тем	2	6
71	в конце концов	3	5
72	но все же	4	5
73	в то же	7	5
74	между этими двумя	2	5
75	в направлении к	8	5
76	как если бы	6	5
77	есть прежде всего	2	5
78	как мы увидим	2	5
79	не только в	2	5
80	самом деле если	2	4
81	как и все	2	4
82	но и в	3	4
83	одни и те	5	4
84	так и в	2	4
85	если бы он	3	4
86	и те же	5	4
87	далеко за пределы	2	4
88	то же слово	2	4
89	в значительной степени	3	4
90	в какой степени	2	4
91	бы то ни	11	3
92	то ни было	11	3
93	нет и не	2	3
94	связи с этим	3	3
95	но при этом	2	3
96	является одним из	2	3
97	только в процессе	3	3
98	к тому же	2	3
99	в настоящее время	6	3
100	а следовательно и	2	3
101	является как бы	2	3
102	того или иного	2	3
103	то же время	7	3
104	и его значением	2	3
105	так как если	2	2
106	в следующей главе	3	2
107	может быть понято	3	2
108	же самое существительное	2	2
109	до известной степени	2	2
110	для одного и	2	2
111	сводится к тому	2	2
112	прав в том	2	2
113	в этом последнем	2	2
114	не знает ни	2	2
115	какого бы то	2	2
116	или хотя бы	2	2
117	того чтобы понять	2	2
118	тот или иной	2	2
119	в большинстве случаев	7	2
120	а не наоборот	2	2
121	что было бы	2	2
122	на самом же	5	2
123	самом же деле	5	2
124	в той или	3	2
125	является одной из	2	2
126	в чем же	2	2
127	самое существительное но	2	2
128	является для него	2	2
129	точки зрения самого	2	2
130	во всех областях	2	2
131	то что делает	3	2
