N	2gram	Losev_Dial	Russkaja
1	не может	29	22
2	и не	50	19
3	в том	17	17
4	в этом	14	17
5	и в	34	14
6	то что	25	13
7	точки зрения	43	11
8	то же	9	11
9	таким образом	14	11
10	в то	9	10
11	но и	14	10
12	же время	5	10
13	не только	35	9
14	том что	18	9
15	может быть	30	9
16	в себе	8	9
17	с точки	25	9
18	во всяком	5	9
19	как на	6	8
20	прежде всего	20	8
21	и с	10	7
22	к тому	4	7
23	о том	11	7
24	в данном	6	7
25	и если	5	7
26	не будет	5	7
27	отнюдь не	16	7
28	ни к	3	7
29	самом деле	7	7
30	с тем	4	6
31	на самом	2	6
32	и для	5	6
33	в своих	3	6
34	и к	5	6
35	если бы	10	6
36	всяком случае	3	6
37	все это	13	6
38	для того	4	6
39	и при	4	6
40	что он	18	6
41	в своем	7	6
42	для него	4	6
43	вопрос о	9	5
44	или иной	4	5
45	а в	3	5
46	на то	5	5
47	было бы	13	5
48	хотя бы	9	5
49	из которых	4	5
50	и на	6	5
51	потому что	21	5
52	при этом	7	5
53	в нем	7	5
54	он должен	3	5
55	в своей	4	5
56	себя и	3	5
57	конечно не	6	5
58	только в	10	5
59	никогда не	9	5
60	и только	6	5
61	он не	8	5
62	во всех	2	5
63	по существу	2	5
64	и то	7	4
65	что в	12	4
66	но не	3	4
67	его в	2	4
68	все же	4	4
69	себя в	3	4
70	не могут	6	4
71	к этой	2	4
72	не в	11	4
73	как и	14	4
74	тому чтобы	3	4
75	в мире	2	4
76	как бы	19	4
77	все что	3	4
78	идет речь	4	4
79	так как	12	4
80	тогда когда	9	4
81	он будет	3	4
82	что же	12	4
83	жизни и	8	4
84	в его	6	4
85	со стороны	5	4
86	в их	2	4
87	то ни	4	4
88	во всем	5	4
89	в этой	3	4
90	вместе с	3	4
91	от того	9	4
92	бы то	3	4
93	одной из	3	3
94	данном случае	3	3
95	да и	4	3
96	одна из	4	3
97	то это	9	3
98	для этого	3	3
99	о котором	4	3
100	что все	16	3
101	что это	20	3
102	лучшем случае	2	3
103	что для	5	3
104	именно в	5	3
105	из этих	5	3
106	во что	5	3
107	что бы	2	3
108	должно быть	7	3
109	только к	3	3
110	не есть	95	3
111	всех этих	3	3
112	и потому	6	3
113	что оно	9	3
114	при условии	5	3
115	в конце	2	3
116	из них	4	3
117	но если	11	3
118	в самом	9	3
119	и как	13	3
120	можно ли	6	3
121	в лучшем	2	3
122	несмотря на	2	3
123	так чтобы	4	3
124	может не	4	3
125	что и	8	3
126	сил и	2	3
127	или в	4	3
128	из этого	3	3
129	и во	3	3
130	говорить о	13	3
131	той или	3	3
132	и по	2	3
133	связи с	3	3
134	еще не	7	3
135	в виде	11	3
136	того что	22	3
137	что они	2	3
138	друг друга	3	3
139	не было	6	3
140	и ни	3	3
141	и т	41	3
142	тем что	5	3
143	то в	5	3
144	не о	6	2
145	и о	9	2
146	в течение	4	2
147	даже если	3	2
148	и от	4	2
149	но она	4	2
150	с этим	4	2
151	есть и	14	2
152	тем самым	3	2
153	были бы	2	2
154	или иного	3	2
155	следовательно и	2	2
156	ее в	3	2
157	для себя	2	2
158	тому что	5	2
159	к нему	4	2
160	помнить что	2	2
161	она не	10	2
162	но в	3	2
163	того или	6	2
164	ни в	20	2
165	в котором	2	2
166	что такое	25	2
167	так же	7	2
168	их в	2	2
169	на себя	3	2
170	этого не	2	2
171	сама по	11	2
172	людей и	2	2
173	могут не	2	2
174	ни от	6	2
175	даже и	9	2
176	больше чем	2	2
177	в ней	4	2
178	чтобы она	3	2
179	этой личности	2	2
180	уже не	9	2
181	в некоторых	3	2
182	в результате	7	2
183	но для	3	2
184	но даже	4	2
185	даже не	8	2
186	отличается от	9	2
187	если не	3	2
188	вне всякой	3	2
189	в силу	5	2
190	и даже	21	2
191	а не	39	2
192	для нас	2	2
193	себя как	3	2
194	по себе	31	2
195	от него	2	2
196	мы можем	3	2
197	не можем	3	2
198	нисколько не	4	2
199	говоря о	3	2
200	целый ряд	3	2
201	точно так	3	2
202	сами эти	2	2
203	место в	2	2
204	зависит от	4	2
205	бы его	2	2
206	– не	11	2
207	если только	5	2
208	и тем	3	2
209	по самому	2	2
210	и является	2	2
211	к чему	2	2
212	и вот	13	2
213	и что	21	2
214	но это	10	2
215	что с	2	2
216	это учение	3	2
217	все эти	4	2
218	совершенно не	6	2
219	и наконец	2	2
220	и тогда	6	2
221	не просто	20	2
222	в этих	3	2
223	только на	8	2
224	раз навсегда	2	2
225	в частности	3	2
226	в таком	15	2
227	и есть	24	2
228	но совершенно	2	2
229	так что	11	2
230	как будто	3	2
231	на основании	3	2
232	должна быть	11	2
233	отношения к	4	2
234	если же	8	2
235	это есть	19	2
236	с ним	3	2
237	быть и	7	2
238	у него	2	2
239	мы уже	6	2
240	последнее время	2	2
241	культуры и	2	2
242	будет ли	5	2
243	их не	3	2
244	ясно что	16	2
