N	2gram	Tiupa_Teor	FransuaR
1	и в	24	367
2	то есть	22	209
3	в этом	12	112
4	и т.п	7	108
5	и не	17	101
6	таким образом	3	100
7	и его	11	99
8	в его	12	98
9	прежде всего	3	92
10	не только	24	87
11	но и	14	84
12	как бы	8	82
13	все эти	3	79
14	вовсе не	3	77
15	в романе	3	77
16	как и	6	76
17	в нем	7	75
18	но в	12	75
19	и др	3	72
20	и на	2	72
21	в том	20	71
22	то же	12	66
23	так и	14	65
24	в этой	3	65
25	в них	2	65
26	в то	9	63
27	все это	2	62
28	во всех	3	62
29	же время	8	55
30	что в	10	52
31	в своем	7	51
32	только в	9	48
33	том что	11	45
34	в году	2	44
35	то что	6	41
36	у него	2	40
37	в самом	7	38
38	точки зрения	11	37
39	с его	6	36
40	может быть	22	35
41	о том	2	35
42	сказать что	4	34
43	и даже	2	34
44	в себе	14	34
45	в конце	2	32
46	он не	5	32
47	для него	5	32
48	в своей	8	31
49	нового времени	3	31
50	в литературе	4	31
51	так же	2	30
52	никогда не	4	30
53	и потому	3	30
54	один из	2	30
55	потому что	3	30
56	но он	4	30
57	в этих	4	29
58	не может	8	29
59	еще не	6	29
60	его в	4	29
61	не в	9	29
62	при этом	20	29
63	в одном	3	29
64	связи с	3	29
65	что он	4	29
66	в основе	6	28
67	в той	2	28
68	и к	3	28
69	роль в	3	27
70	по своему	4	27
71	и другие	2	27
72	том числе	3	27
73	в эпизоде	3	27
74	в области	7	25
75	мира и	4	25
76	отношение к	7	24
77	того чтобы	5	24
78	в ее	6	24
79	в частности	23	24
80	например в	3	24
81	но не	13	24
82	в большинстве	2	24
83	как в	5	24
84	он и	2	24
85	времени и	2	24
86	своего рода	11	23
87	и для	3	23
88	это не	4	23
89	в их	4	23
90	еще и	2	23
91	и здесь	2	23
92	к нему	2	23
93	и о	5	22
94	даже в	3	22
95	а в	15	22
96	что и	2	22
97	вместе с	2	22
98	именно в	3	21
99	в себя	5	21
100	в качестве	33	21
101	в отношении	4	21
102	ни в	5	21
103	одним из	3	21
104	есть в	3	21
105	и как	3	21
106	а также	7	20
107	как раз	3	20
108	одной из	2	20
109	в виду	5	20
110	в значительной	2	20
111	с точки	3	20
112	самом деле	2	20
113	и это	2	20
114	в связи	3	20
115	в форме	4	19
116	того же	4	19
117	их в	3	19
118	хотя и	4	19
119	за пределы	2	19
120	далеко не	4	19
121	с другой	9	19
122	с ее	4	19
123	на этом	2	18
124	на мир	2	18
125	здесь не	2	18
126	превращается в	2	18
127	это и	2	18
128	перед нами	3	18
129	числе и	2	17
130	для того	5	17
131	того что	5	17
132	и вот	3	17
133	а не	14	17
134	между тем	5	16
135	между ними	6	16
136	в другом	4	16
137	дело в	2	16
138	с одной	3	16
139	и одновременно	5	16
140	никто не	3	15
141	в нашем	4	15
142	и прежде	2	15
143	xix века	2	15
144	а затем	2	15
145	в первой	6	15
146	с их	2	15
147	в которой	3	15
148	от всех	2	15
149	в самой	2	15
150	из этих	3	15
151	в данном	9	14
152	несмотря на	2	14
153	и по	3	14
154	в чем	2	14
155	так в	4	13
156	отличие от	7	13
157	на языке	3	13
158	это было	2	13
159	или в	3	13
160	в жизни	3	13
161	в мире	26	13
162	и сам	4	13
163	мира в	3	13
164	не на	4	13
165	о чем	3	13
166	только на	2	13
167	одной стороны	3	13
168	не знает	4	13
169	лишь в	10	12
170	у нас	2	12
171	не могут	2	12
172	право на	2	12
173	во всей	3	12
174	жизни в	2	12
175	в пределах	5	12
176	и ее	4	12
177	по своей	8	12
178	место в	7	12
179	можно сказать	5	12
180	другой стороны	6	12
181	об этом	2	12
182	на фоне	2	11
183	уже не	6	11
184	и что	4	11
185	в системе	2	11
186	в узком	3	11
187	и особенно	2	11
188	и т.д	4	11
189	культуры в	3	11
190	с ними	2	11
191	той или	3	11
192	что они	2	11
193	в отличие	7	11
194	данном случае	5	10
195	образом и	2	10
196	или иной	7	10
197	значительной степени	2	10
198	на котором	2	10
199	для понимания	2	10
200	по преимуществу	5	10
201	человека и	2	10
202	к тому	4	10
203	во второй	7	10
204	для всех	2	10
205	по отношению	10	10
206	к которому	3	10
207	в целом	4	10
208	не просто	2	10
209	в мировой	2	9
210	но как	2	9
211	как это	10	9
212	и то	3	9
213	на время	2	9
214	отношению к	10	9
215	как к	5	9
216	в формах	2	9
217	в следующей	2	9
218	до известной	2	9
219	известной степени	3	9
220	но на	2	9
221	к жизни	2	9
222	отношения к	4	9
223	с этой	3	8
224	здесь мы	2	8
225	если бы	3	8
226	и мира	2	8
227	включает в	2	8
228	более или	6	8
229	или менее	6	8
230	не менее	6	8
231	речи и	4	8
232	дело не	2	8
233	человека с	3	8
234	времени в	2	7
235	искусства и	3	7
236	в свою	4	7
237	должен быть	2	7
238	тому как	3	7
239	первой части	2	7
240	жить и	2	7
241	себя в	7	7
242	подобно тому	3	7
243	из которых	2	7
244	в таком	3	7
245	в последней	2	7
246	а на	3	7
247	но она	2	7
248	такого рода	13	6
249	свою очередь	3	6
250	в искусстве	9	6
251	входит в	4	6
252	или даже	4	6
253	ее в	2	6
254	жизни как	5	6
255	казалось бы	2	6
256	могут быть	5	6
257	что она	2	6
258	в противоположность	3	6
259	а именно	3	6
260	картины мира	3	6
261	к его	3	6
262	во времени	4	6
263	вещами и	2	6
264	этого слова	4	6
265	не могли	2	6
266	принадлежит к	3	6
267	имеем в	3	6
268	как будто	2	6
269	основе своей	2	6
270	тем же	2	6
271	не столько	7	6
272	ни для	2	6
273	говорить о	4	6
274	тем самым	6	5
275	к своему	2	5
276	своей жизни	2	5
277	этой системе	2	5
278	в первом	2	5
279	тем более	2	5
280	говорит что	2	5
281	не вполне	2	5
282	значения и	2	5
283	не является	5	5
284	всех и	2	5
285	в произведении	3	5
286	с другими	6	5
