N	2gram	Berdyaev_O	Dialekti
1	не есть	2	181
2	т е	4	159
3	и не	13	120
4	по себе	2	79
5	а не	11	78
6	и в	19	77
7	может быть	11	71
8	не только	11	66
9	то что	5	59
10	и есть	3	55
11	ничего не	2	54
12	не может	4	53
13	так как	2	46
14	потому что	9	45
15	как бы	3	43
16	не имеет	2	41
17	в том	5	40
18	в этом	12	39
19	в себе	3	38
20	том что	2	37
21	что он	3	37
22	прежде всего	9	37
23	это не	3	36
24	так что	2	36
25	что в	4	34
26	в нем	10	34
27	и все	10	33
28	того что	3	33
29	но и	13	32
30	все это	6	31
31	сказать что	2	30
32	так и	2	29
33	было бы	3	29
34	как и	6	28
35	никогда не	9	27
36	не в	11	26
37	и то	2	25
38	учение о	2	25
39	и вот	3	23
40	что не	4	21
41	личности и	2	21
42	что все	2	20
43	что и	2	20
44	о том	3	20
45	и с	2	20
46	в своем	2	19
47	в самом	5	19
48	и его	4	19
49	что же	2	18
50	хотя бы	3	18
51	должно быть	2	17
52	в своей	2	16
53	нет ничего	7	16
54	к нему	3	16
55	и о	2	15
56	все же	2	15
57	хотя и	2	15
58	и потому	2	14
59	и ее	3	14
60	ни с	7	14
61	с ним	3	14
62	даже и	2	14
63	же это	2	14
64	не было	9	14
65	но в	2	13
66	он не	7	13
67	что они	2	13
68	и к	2	13
69	вопрос о	10	12
70	могут быть	3	12
71	еще не	3	12
72	все эти	4	12
73	не могут	3	12
74	и ни	2	12
75	а в	5	12
76	всегда есть	4	12
77	и нет	2	12
78	его не	2	11
79	одно из	2	10
80	в душе	2	10
81	в ее	2	10
82	в его	7	10
83	это было	3	10
84	для того	3	10
85	и для	2	10
86	что для	2	10
87	можно ли	2	10
88	в истории	2	9
89	в этих	3	9
90	и от	3	9
91	быть может	3	9
92	и он	8	9
93	ничто не	2	9
94	и на	2	9
95	от него	7	8
96	в этой	5	8
97	только и	4	8
98	и из	2	8
99	что есть	2	8
100	тем что	2	7
101	все что	3	7
102	он всегда	7	7
103	с его	4	7
104	он сам	4	7
105	только одно	3	7
106	но он	7	7
107	в другом	2	6
108	отношение к	5	6
109	с тем	2	6
110	того чтобы	4	6
111	никто не	3	6
112	нем нет	3	6
113	в которой	2	6
114	его в	2	6
115	от самого	2	6
116	для него	5	6
117	ее в	2	6
118	уже в	2	6
119	природы и	2	6
120	свободы и	2	5
121	это за	3	5
122	что у	2	5
123	в своих	3	5
124	когда он	3	5
125	все в	4	5
126	ведь это	2	5
127	к этому	2	5
128	к ней	2	5
129	их не	2	5
130	и все-таки	2	4
131	человека и	10	4
132	же можно	2	4
133	для всякого	2	4
134	в глубине	7	4
135	сразу же	2	4
136	из всего	2	4
137	и очень	2	4
138	человек и	4	4
139	много раз	2	4
140	что человек	3	4
141	в этот	2	4
142	у него	22	4
143	и этим	2	4
144	с чем	2	3
145	всего в	2	3
146	сложнее и	2	3
147	не могли	2	3
148	мысли и	3	3
149	лишь в	7	3
150	никогда и	2	3
151	природы в	2	3
152	момент в	2	3
153	ничего и	2	3
154	всего и	2	3
155	к этой	2	3
156	с которой	2	3
157	у достоевского	19	3
158	совсем не	2	3
159	в глубину	2	3
160	на земле	4	3
161	как к	2	2
162	своей жизни	2	2
163	свобода и	2	2
164	настолько же	2	2
165	самое главное	2	2
166	мысль о	2	2
167	он был	8	2
168	все еще	2	2
169	в других	2	2
170	чем в	2	2
171	в человеке	9	2
172	не очень	2	2
173	тогда уже	2	2
174	него и	4	2
175	человека в	11	2
176	жизни в	2	2
177	достоевского в	3	2
178	ко всем	2	2
