N	2gram	Tiupa_Hudo	formyVre
1	и в	34	148
2	в этом	22	73
3	в нем	5	51
4	прежде всего	12	46
5	и т	15	40
6	и не	15	37
7	в его	17	36
8	и его	8	36
9	вовсе не	2	35
10	но и	13	33
11	то же	14	32
12	т п	10	32
13	не только	22	32
14	в литературе	3	32
15	но в	6	31
16	жизни и	10	31
17	так и	19	29
18	может быть	12	27
19	не в	16	26
20	как мы	5	26
21	как и	16	25
22	как бы	11	25
23	человеческой жизни	9	24
24	мы уже	7	24
25	точки зрения	7	24
26	в то	12	23
27	человека в	10	23
28	времени и	2	23
29	только в	8	23
30	то что	13	22
31	в том	24	22
32	жизни в	12	21
33	все эти	4	21
34	связи с	4	21
35	во всех	2	21
36	же время	11	21
37	в своем	9	19
38	и для	5	19
39	и на	6	19
40	у него	13	18
41	и все	10	18
42	еще не	10	18
43	человека и	4	17
44	с этим	3	17
45	при этом	21	17
46	так как	2	17
47	в пределах	4	17
48	все же	5	16
49	в связи	3	16
50	в основе	3	16
51	не может	10	16
52	никогда не	8	15
53	в них	3	15
54	лишь в	5	15
55	так сказать	3	15
56	в дальнейшем	2	15
57	в одном	3	15
58	с точки	5	15
59	с его	9	15
60	вместе с	2	15
61	так же	3	14
62	его жизни	6	14
63	все это	2	14
64	в конце	5	14
65	и с	10	14
66	как раз	7	14
67	а не	23	14
68	роль в	2	13
69	в их	2	13
70	в частности	10	13
71	а в	11	13
72	того чтобы	6	13
73	же в	3	13
74	для того	3	13
75	как в	11	13
76	в котором	5	13
77	в самом	7	13
78	с ним	6	13
79	ничего не	11	12
80	отнюдь не	4	12
81	не было	8	12
82	но не	7	12
83	потому что	7	12
84	это время	2	12
85	он не	8	12
86	что в	8	12
87	его в	5	11
88	и у	3	11
89	между ними	2	11
90	в ней	6	11
91	хотя и	3	11
92	ни в	5	11
93	романа в	3	11
94	из них	5	11
95	уже в	2	11
96	влияние на	2	10
97	здесь не	2	10
98	в ее	16	10
99	и другие	5	10
100	сих пор	3	10
101	уже не	12	10
102	на основе	2	10
103	до сих	3	10
104	к себе	8	9
105	в других	4	9
106	жизнь и	2	9
107	наряду с	4	9
108	том что	31	9
109	должно быть	2	9
110	и даже	4	9
111	та же	5	9
112	и это	7	9
113	с другой	4	9
114	для него	15	9
115	но все	2	9
116	в самой	2	9
117	их в	2	9
118	до конца	3	8
119	это не	12	8
120	или иной	2	8
121	для себя	9	8
122	и потому	3	8
123	к тому	11	8
124	отношение к	3	8
125	все его	3	8
126	в целом	2	8
127	и т.п	2	8
128	один из	6	8
129	что и	3	8
130	себе самому	4	8
131	и то	2	8
132	а также	4	8
133	характер и	3	8
134	в результате	2	8
135	и по	3	8
136	если бы	7	8
137	героя и	5	8
138	в этих	7	8
139	отношению к	15	8
140	с одной	4	8
141	в жизни	9	8
142	в мире	10	8
143	рядом с	5	8
144	и к	6	8
145	на фоне	5	8
146	во времени	2	7
147	в себе	19	7
148	не как	3	7
149	для других	5	7
150	не знает	2	7
151	картину мира	3	7
152	того что	5	7
153	место в	3	7
154	было бы	8	7
155	себя и	4	7
156	например в	3	7
157	из этих	3	7
158	и он	6	7
159	в которой	2	7
160	поэтому и	2	7
161	с ее	7	7
162	т д	5	7
163	этом отношении	4	7
164	не могло	2	7
165	нет ничего	4	7
166	в форме	2	7
167	в себя	3	7
168	но он	3	7
169	все они	2	6
170	и ее	3	6
171	есть и	3	6
172	а как	2	6
173	с самим	2	6
174	друг от	2	6
175	своей жизни	6	6
176	одной из	5	6
177	одной стороны	4	6
178	характерно что	4	6
179	в качестве	13	6
180	индивидуальной жизни	2	6
181	сказать что	3	6
182	тех же	2	6
183	в начале	3	6
184	особенно в	3	6
185	мы не	2	6
186	в сущности	2	6
187	только для	4	6
188	нет и	2	6
189	автора и	4	6
190	о том	21	6
191	именно в	9	6
192	все что	4	6
193	от друга	2	6
194	что было	3	6
195	в таком	3	6
196	не имеют	3	5
197	о чем	9	5
198	по своей	5	5
199	произведения и	2	5
200	только на	6	5
201	так что	3	5
202	ничем не	3	5
203	одно из	4	5
204	от этого	2	5
205	в него	2	5
206	они не	2	5
207	с другими	2	5
208	что все	3	5
209	там где	2	5
210	с ними	3	5
211	в ряду	3	5
212	что они	4	5
213	в этой	11	5
214	отсюда и	2	5
215	и от	6	5
216	хотя бы	2	5
217	в своей	15	5
218	по преимуществу	6	5
219	в это	4	5
220	об этом	8	5
221	тем что	6	5
222	с этой	3	5
223	чем не	2	5
224	быть только	2	5
225	самим собою	2	5
226	не имеет	2	5
227	да и	5	5
228	человек в	3	5
229	и уже	3	5
230	или в	3	5
231	и только	2	5
232	как его	3	5
233	той же	3	5
234	даже в	4	4
235	перед нами	13	4
236	так в	2	4
237	от него	3	4
238	в одной	3	4
239	по себе	3	4
240	при всей	3	4
241	по отношению	15	4
242	в другом	3	4
243	друг друга	5	4
244	и т.д	3	4
245	у толстого	2	4
246	что он	14	4
247	и о	8	4
248	как он	4	4
249	оно было	2	4
250	жизни на	4	4
251	как у	2	4
252	о которых	2	4
253	они были	2	4
254	бы на	2	4
255	любви и	3	4
256	и тех	3	4
257	в тексте	8	4
258	и было	2	4
259	жизни так	4	4
260	что не	4	4
261	на его	2	4
262	принадлежит к	2	4
263	своей собственной	2	4
264	в данном	3	4
265	на одном	2	4
266	к концу	2	4
267	и смерти	4	4
268	только что	4	4
269	все равно	2	4
270	себе и	3	4
271	же и	3	4
272	и более	2	4
273	раз в	5	4
274	прежде чем	2	4
275	с мотивом	2	4
276	в своих	4	4
277	жизни как	7	4
278	со своей	3	4
279	как она	3	4
280	несмотря на	7	4
281	раз и	2	4
282	к жизни	6	4
283	это и	2	4
284	же самое	4	4
285	одних и	2	4
286	совершенно иной	2	4
287	в нашем	2	4
288	все в	2	4
289	в лице	3	4
290	жизни с	3	4
291	еще и	2	3
292	вопрос о	2	3
