N	2gram	Voloshinov	Sotsiolo
1	все это	12	7
2	в том	10	5
3	в этом	28	5
4	для нас	2	3
5	не только	10	3
6	и только	6	3
7	в его	25	3
8	но ведь	4	3
9	не в	10	3
10	и в	28	3
11	это и	4	2
12	дело не	2	2
13	должна быть	2	2
14	отношению к	11	2
15	по отношению	13	2
16	еще не	8	2
17	только в	11	2
18	что в	7	2
19	том что	12	2
20	было бы	8	2
21	таким образом	34	2
22	то же	12	2
23	только как	4	2
24	и что	6	2
25	конце концов	2	2
26	то что	17	2
27	как бы	19	2
28	но и	10	2
29	главным образом	4	2
30	в конце	2	2
31	за пределы	10	2
32	далеко не	5	2
33	может быть	28	2
34	в результате	3	2
