N	3gram	Vinokur_Ku	EvropaiC
1	в том что	23	16
2	до сих пор	5	15
3	по отношению к	8	11
4	более или менее	3	8
5	с точки зрения	16	8
6	на самом деле	3	7
7	мы знаем что	2	7
8	для того чтобы	21	7
9	на то что	3	7
10	лишь в том	2	5
11	так или иначе	3	5
12	в самом деле	14	5
13	о котором идет	3	5
14	котором идет речь	2	5
15	том случае если	3	4
16	с течением времени	2	4
17	в том случае	3	4
18	тем не менее	9	4
19	с другой стороны	12	4
20	в конце концов	3	4
21	в этом случае	4	4
22	в этой области	3	4
23	о том что	6	4
24	не может быть	5	4
25	вместе с тем	3	3
26	так же как	3	3
27	в настоящее время	2	3
28	естественно поэтому что	2	3
29	и того же	2	3
30	одного и того	2	3
31	таким образом в	2	3
32	в связи с	4	3
33	заключается в том	2	3
34	ничего общего с	2	2
35	с одной стороны	2	2
36	во всяком случае	8	2
37	и в том	2	2
38	в том и	3	2
39	но все же	3	2
40	того чтобы быть	2	2
41	что же касается	4	2
42	рано или поздно	2	2
43	то же время	4	2
44	а с другой	3	2
45	том что он	4	2
46	в то же	4	2
47	а следовательно и	2	2
48	в свою очередь	4	2
