N	2gram	Nazirov_Tv	StatiiOP
1	и в	40	103
2	в том	13	89
3	том что	14	77
4	в этом	11	76
5	что в	17	74
6	не только	16	60
7	и т	14	51
8	о том	9	47
9	у пушкина	5	46
10	но и	10	46
11	то что	9	44
12	что он	11	42
13	в его	19	42
14	и не	12	41
15	может быть	11	38
16	было бы	2	32
17	т д	10	32
18	в этой	7	31
19	вовсе не	5	31
20	все это	14	29
21	тем что	2	29
22	таким образом	14	28
23	а в	10	27
24	а не	9	27
25	но в	11	26
26	так и	5	25
27	и его	14	24
28	все же	9	23
29	не в	3	23
30	так что	4	23
31	потому что	10	23
32	того что	3	22
33	прежде всего	10	22
34	у нас	2	22
35	в которой	5	22
36	как в	10	22
37	это не	9	20
38	т п	4	19
39	в то	23	19
40	в своей	8	19
41	г в	2	19
42	только в	7	19
43	об этом	4	18
44	не может	9	18
45	с другой	4	18
46	в котором	8	18
47	он не	10	18
48	в году	22	17
49	самом деле	4	17
50	в россии	5	17
51	в данном	2	17
52	в самом	6	17
53	как бы	26	17
54	в русской	5	17
55	с этим	2	16
56	сказать что	3	16
57	в ней	2	16
58	если бы	4	16
59	в статье	2	16
60	в этих	2	16
61	как и	16	15
62	для него	9	15
63	например в	3	15
64	другой стороны	2	15
65	я не	5	15
66	и на	12	15
67	у него	11	15
68	как раз	2	15
69	была бы	2	14
70	так например	3	14
71	к тому	2	14
72	между тем	2	14
73	то же	19	14
74	и что	2	14
75	в своем	4	13
76	в конце	5	13
77	а с	4	13
78	тому что	2	13
79	но это	10	13
80	в качестве	2	13
81	в нем	4	13
82	во всяком	2	13
83	дело в	4	13
84	именно в	6	13
85	из них	4	13
86	всяком случае	2	13
87	жизни и	3	13
88	вместе с	4	13
89	не менее	8	12
90	что они	3	12
91	так как	6	12
92	в первой	4	12
93	хотя бы	5	12
94	что у	5	12
95	ни в	2	12
96	в своих	8	12
97	никогда не	13	11
98	и с	9	11
99	своего рода	7	11
100	все эти	3	11
101	и по	5	11
102	не было	3	11
103	на самом	3	10
104	так же	6	10
105	по словам	2	10
106	в виду	3	10
107	а как	2	10
108	в частности	4	10
109	xix века	13	10
110	ничего не	3	10
111	связь с	3	10
112	не столько	4	10
113	в целом	7	10
114	что и	3	10
115	в истории	2	10
116	в начале	2	10
117	во всех	2	10
118	во второй	3	10
119	на эти	2	10
120	но не	7	10
121	же время	18	10
122	но он	3	10
123	в каждом	4	9
124	в чем	4	9
125	место в	6	9
126	он был	2	9
127	во время	2	9
128	можно сказать	2	9
129	вряд ли	2	9
130	в одном	3	9
131	говорит что	2	9
132	не является	3	9
133	с этой	4	9
134	времени и	4	9
135	говорит о	3	9
136	и тем	2	9
137	и это	2	9
138	до конца	2	8
139	при помощи	4	8
140	могут быть	4	8
141	евгения онегина	3	8
142	к которому	3	8
143	в их	5	8
144	и др	2	8
145	той же	4	8
146	по мнению	4	8
147	связи с	2	8
148	к этому	4	8
149	это в	3	8
150	дело не	3	8
151	что она	5	8
152	тем не	2	8
153	и даже	8	8
154	должен был	2	8
155	но ведь	2	8
156	одним из	6	8
157	такой же	4	8
158	и о	2	8
159	и более	2	8
160	не имеет	2	8
161	еще более	3	8
162	в которых	3	8
163	трагедии в	2	7
164	данном случае	2	7
165	вплоть до	2	7
166	уже в	5	7
167	в виде	4	7
168	одной из	7	7
169	что все	4	7
170	гораздо более	2	7
171	того же	2	7
172	точка зрения	2	7
173	говорит об	2	7
174	что этот	2	7
175	а а	4	7
176	как это	2	7
177	в ее	3	7
178	с самого	3	7
179	не все	2	7
180	то в	2	7
181	мы находим	2	7
182	еще не	5	7
183	отношению к	3	7
184	связан с	4	7
185	на этот	3	7
186	что для	3	7
187	года в	7	7
188	по себе	2	7
189	представление о	9	7
190	не мог	3	7
191	даже в	4	6
192	в себе	3	6
193	в одной	5	6
194	по отношению	3	6
195	одном из	2	6
196	говорил что	2	6
197	в в	2	6
198	и все	6	6
199	по крайней	4	6
200	что на	3	6
201	в известном	2	6
202	на его	4	6
203	и я	2	6
204	же как	3	6
205	в литературном	2	6
206	с его	12	6
207	крайней мере	4	6
208	в стихах	2	6
209	что с	2	6
210	его как	2	6
211	мы не	3	6
212	и здесь	2	6
213	он писал	2	6
214	же и	2	6
215	что я	4	6
216	и сам	5	6
217	в жизни	3	6
218	ни на	3	6
219	за то	2	6
220	этот вопрос	4	6
221	в устах	2	6
222	его в	2	5
223	представляет собою	2	5
224	на себя	2	5
225	на эту	4	5
226	но если	4	5
227	не был	4	5
228	давно уже	2	5
229	и далее	4	5
230	это и	4	5
231	том же	3	5
232	и потому	4	5
233	не так	5	5
234	одного из	3	5
235	что не	5	5
236	отношении к	2	5
237	один из	5	5
238	при этом	14	5
239	в двух	2	5
240	хотя и	5	5
241	самого начала	3	5
242	в духе	6	5
243	то это	2	5
244	к ней	3	5
245	как будто	5	5
246	не по	3	5
247	с одной	2	5
248	на протяжении	3	5
249	ее в	3	5
250	столь же	2	5
251	в творчестве	10	5
252	и если	3	5
253	уже не	6	5
254	во многом	8	5
255	если не	4	5
256	это был	4	5
257	и только	2	5
258	о которой	2	5
259	в пользу	2	5
260	начиная с	2	4
261	этого вопроса	2	4
262	г а	3	4
263	не могут	2	4
264	одна из	5	4
265	в биографии	2	4
266	то есть	16	4
267	что оно	2	4
268	и у	3	4
269	нет ни	3	4
270	казалось бы	4	4
271	как у	3	4
272	еще в	3	4
273	в романе	24	4
274	не знает	2	4
275	в такой	2	4
276	только с	3	4
277	он говорит	3	4
278	стремление к	2	4
279	и без	2	4
280	что его	4	4
281	в образе	4	4
282	в процессе	3	4
283	биографии и	2	4
284	в прямом	2	4
285	мы видим	3	4
286	и тогда	2	4
287	в связи	2	4
288	в первом	3	4
289	который в	4	4
290	показывает что	5	4
291	если в	3	4
292	не могли	2	4
293	его времени	2	4
294	сами по	2	4
295	и он	4	4
296	на него	2	4
297	в свете	3	4
298	только что	2	4
299	известно что	4	4
300	что как	2	4
301	и их	2	4
302	и другие	4	4
303	тому же	2	4
304	как известно	3	4
305	нет не	2	4
306	xviii века	2	4
307	а по	3	4
308	это время	2	4
309	не существует	3	4
310	с которым	2	4
311	здесь нет	2	4
312	значит что	3	4
313	уже после	2	4
314	это объясняется	2	4
315	или в	2	4
316	в таком	4	4
317	в основе	3	4
318	связана с	2	4
319	в книге	3	3
320	все более	2	3
321	перед нами	3	3
322	в плане	4	3
323	от него	2	3
324	отношений между	2	3
325	и наконец	3	3
326	как к	2	3
327	и других	5	3
328	в одно	2	3
329	а во	2	3
330	о котором	2	3
331	она не	2	3
332	ли в	2	3
333	это уже	7	3
334	на том	2	3
335	он чувствует	3	3
336	может служить	2	3
337	и как	5	3
338	о жизни	4	3
339	не то	2	3
340	идей и	2	3
341	не будет	2	3
342	а затем	5	3
343	но эта	3	3
344	представляют собой	2	3
345	эти слова	3	3
346	я бы	3	3
347	это еще	2	3
348	в наше	4	3
349	известном смысле	2	3
350	все время	3	3
351	но эти	3	3
352	и до	2	3
353	в нашей	2	3
354	х годов	3	3
355	больше чем	2	3
356	особенно в	3	3
357	наше время	4	3
358	чем у	2	3
359	в рассказе	4	3
360	причем в	2	3
361	во всей	2	3
362	русской литературе	4	3
363	со всеми	3	3
364	не значит	2	3
365	в черновой	3	3
366	я и	3	3
367	когда он	4	3
368	интерес и	2	3
369	в свою	8	3
370	с большой	5	3
371	представляет собой	4	3
372	может не	2	3
373	в один	3	3
374	не к	2	3
375	в таких	2	2
376	тем самым	10	2
377	из всех	5	2
378	опираясь на	3	2
379	его к	2	2
380	а что	2	2
381	не имеют	4	2
382	нуждается в	2	2
383	в движении	2	2
384	в литературе	4	2
385	каких бы	2	2
386	отходит от	2	2
387	очень важно	2	2
388	до уровня	2	2
389	едва ли	2	2
390	него есть	2	2
391	ли не	3	2
392	критики и	2	2
393	которого он	2	2
394	его произведений	2	2
395	этот тип	2	2
396	свою очередь	2	2
397	из жизни	3	2
398	характеров и	2	2
399	в момент	5	2
400	действительности и	3	2
401	не дают	2	2
402	отличие от	3	2
403	сомнений что	2	2
404	всякий раз	2	2
405	мы знаем	2	2
406	в черновиках	6	2
407	быть назван	2	2
408	для этой	2	2
409	и среди	2	2
410	но только	3	2
411	жизнь в	2	2
412	времени в	13	2
413	ту же	4	2
414	на первом	2	2
415	в роман	3	2
416	настоящее время	2	2
417	он с	2	2
418	в комедии	2	2
419	от других	2	2
420	между собой	2	2
421	жизнь и	2	2
422	которой он	2	2
423	точно так	3	2
424	для них	2	2
425	меня не	2	2
426	вот почему	3	2
427	и когда	2	2
428	тогда как	3	2
429	было в	2	2
430	одновременно и	2	2
431	писателя в	2	2
432	тот же	3	2
433	но уже	2	2
434	в которую	2	2
435	но зато	3	2
436	событий и	2	2
437	и от	8	2
438	время в	3	2
439	так сказать	4	2
440	из этой	3	2
441	с каким	2	2
442	и еще	2	2
443	по преимуществу	4	2
444	на свете	3	2
445	с ее	3	2
446	о русских	2	2
447	в изображении	2	2
448	как правило	3	2
449	письма к	3	2
450	мысль о	3	2
451	превращается в	2	2
452	и вот	2	2
453	но у	5	2
454	и лишь	2	2
455	жизни в	9	2
456	как по	2	2
457	по мере	2	2
458	где он	2	2
459	героев и	4	2
460	отказаться от	4	2
461	не означает	4	2
462	в известной	4	2
463	в отличие	3	2
464	в глазах	2	2
465	второй части	2	2
466	следовало бы	2	2
467	несколько раз	2	2
468	значение в	2	2
469	не случайно	6	2
470	далеко не	3	2
471	за собой	4	2
472	справедливо указывает	2	2
473	в письмах	3	2
474	соответствии с	7	2
475	сей день	2	2
476	это прежде	3	2
477	не могу	2	2
478	как она	2	2
479	роль в	2	2
480	свидетельствует о	2	2
481	представлял себе	2	2
482	характера и	3	2
483	но этот	2	2
484	не считать	2	2
485	жизни но	2	2
486	меня в	2	2
487	собой в	2	2
488	первой части	7	2
