N	3gram	Bakhtin_fo	Narrotol
1	в том что	4	18
2	в данном случае	2	17
3	не только в	6	13
4	по отношению к	3	11
5	в отличие от	3	11
6	о том что	2	9
7	к тому же	2	9
8	в то же	10	8
9	той или иной	3	8
10	в этом отношении	5	8
11	в соответствии с	2	8
12	то же время	13	8
13	не может быть	4	8
14	с одной стороны	3	6
15	для того чтобы	11	5
16	но и в	5	5
17	на другой день	2	4
18	к себе самому	7	3
19	существенную роль в	3	3
20	в связи с	12	3
21	с точки зрения	9	3
22	как раз в	4	3
23	а также и	3	3
24	до сих пор	4	3
25	по природе своей	2	3
26	дело в том	2	3
27	не было и	2	3
28	друг на друга	4	3
29	одно и то	4	2
30	все то что	2	2
31	как если бы	2	2
32	и то же	4	2
33	но все же	3	2
34	в нем не	3	2
35	одного и того	6	2
36	не могло быть	3	2
37	так же как	2	2
38	и т п	18	2
39	своей собственной жизни	2	2
40	и того же	6	2
41	времени и пространства	4	2
42	сами по себе	2	2
43	и в то	7	2
44	в той или	2	2
