N	2gram	Vinokur_St	UchenyiS
1	и в	61	14
2	не только	36	10
3	а не	19	10
4	и не	23	8
5	прежде всего	11	8
6	то что	27	7
7	не может	10	7
8	в этом	37	7
9	может быть	16	6
10	и только	3	5
11	то же	7	5
12	хотя бы	8	5
13	все это	13	5
14	но и	28	4
15	в этой	13	4
16	что такое	2	4
17	с другой	11	4
18	в россии	7	4
19	в их	3	4
20	конечно не	2	4
21	не о	2	3
22	у нас	12	3
23	в частности	6	3
24	истории литературы	2	3
25	для этого	2	3
26	это не	8	3
27	только к	2	3
28	вряд ли	8	3
29	и то	6	3
30	в своей	12	3
31	все же	12	3
32	не как	2	3
33	как и	11	3
34	в то	10	3
35	но в	16	3
36	этой области	5	3
37	же время	5	3
38	к сожалению	4	3
39	было бы	21	3
40	в области	16	3
41	бы то	2	3
42	то ни	2	3
43	другой стороны	9	3
44	для него	10	3
45	в самом	14	2
46	в себе	3	2
47	что мы	5	2
48	и у	2	2
49	материала и	2	2
50	о чем	4	2
51	на эту	5	2
52	что он	23	2
53	крайней мере	2	2
54	литературы и	3	2
55	таким образом	16	2
56	но не	5	2
57	и для	4	2
58	если бы	11	2
59	их и	2	2
60	более чем	3	2
61	не все	3	2
62	между тем	7	2
63	самом деле	14	2
64	только в	11	2
65	одним из	2	2
66	этом смысле	2	2
67	что она	5	2
68	ничего не	6	2
69	всех этих	2	2
70	даже и	2	2
71	и с	6	2
72	должна была	6	2
73	что и	8	2
74	по крайней	2	2
75	вопроса о	3	2
76	при таком	2	2
77	могут быть	5	2
78	а между	2	2
79	не приходится	5	2
80	не могут	2	2
81	смысле этого	2	2
82	это было	2	2
83	превращается в	2	2
84	сих пор	12	2
85	по себе	3	2
86	тем что	6	2
87	том что	49	2
88	а как	5	2
89	материал для	6	2
90	в сторону	2	2
91	в его	19	2
92	пишет он	2	2
93	в том	56	2
94	что все	3	2
95	этом отношении	13	2
96	если не	4	2
97	с его	3	2
98	как раз	10	2
99	должна быть	3	2
100	конце концов	2	2
101	но это	9	2
102	по существу	3	2
103	не в	15	2
104	бы и	4	2
105	неудивительно что	2	2
106	в конце	5	2
107	в некоторых	3	2
108	очевидно не	2	2
109	мы не	3	2
110	до сих	13	2
111	не столько	6	2
