N	2gram	Bakhtin_Pr	Sotsiolo
1	все это	12	7
2	в том	17	5
3	в этом	40	5
4	для нас	3	3
5	как же	5	3
6	не только	26	3
7	и только	2	3
8	в его	44	3
9	но ведь	4	3
10	не в	10	3
11	и в	59	3
12	это и	10	2
13	должна быть	4	2
14	отношению к	17	2
15	по отношению	17	2
16	еще не	11	2
17	по природе	4	2
18	только в	15	2
19	что в	14	2
20	тем более	2	2
21	в частности	2	2
22	том что	15	2
23	было бы	10	2
24	таким образом	22	2
25	в смысле	4	2
26	то же	15	2
27	как будто	4	2
28	и что	2	2
29	конце концов	7	2
30	как только	2	2
31	то что	21	2
32	как бы	40	2
33	но и	22	2
34	в конце	9	2
35	за пределы	10	2
36	или даже	2	2
37	далеко не	3	2
38	может быть	38	2
39	по существу	5	2
40	в результате	6	2
41	ведь это	3	2
