N	3gram	Losev_Prob	Formalny
1	с точки зрения	9	40
2	не может быть	5	29
3	на самом деле	5	21
4	в то же	10	20
5	и т д	20	19
6	во всяком случае	8	16
7	в связи с	9	16
8	в настоящее время	4	13
9	так и в	2	11
10	бы то ни	5	10
11	в зависимости от	3	10
12	с другой стороны	11	9
13	как мы видели	2	8
14	для того чтобы	4	8
15	до сих пор	4	8
16	с одной стороны	2	8
17	более или менее	2	7
18	сами по себе	8	7
19	а вовсе не	3	7
20	то ни было	4	7
21	и в этом	6	7
22	того или иного	5	7
23	сам по себе	10	6
24	может быть и	3	6
25	в данном случае	12	6
26	и в то	2	6
27	не только не	5	6
28	в том что	17	6
29	мы не можем	2	5
30	в этом смысле	5	5
31	мы ни взяли	2	5
32	в отличие от	2	5
33	как раз и	5	4
34	и не в	2	4
35	бы она ни	2	4
36	она ни была	2	4
37	в конце концов	4	4
38	тем не менее	23	4
39	подобно тому как	2	4
40	вовсе не является	4	4
41	но и в	2	4
42	сама по себе	11	4
43	то же самое	17	3
44	что же касается	5	3
45	на первый план	3	3
46	ровно ничего не	2	3
47	то или иное	3	3
48	у нас не	2	3
49	ни о каком	2	3
50	только то что	4	3
51	потому что он	6	3
52	на самом же	7	3
53	так или иначе	2	3
54	в том смысле	4	3
55	самом же деле	7	3
56	и во всяком	3	3
57	и в частности	4	3
58	равно как и	2	3
59	и прежде всего	3	2
60	тот или иной	4	2
61	вовсе не в	2	2
62	не выходит за	2	2
63	но отнюдь не	2	2
64	что же такое	3	2
65	иметь в виду	2	2
66	вовсе не есть	12	2
67	так же как	3	2
68	ничего общего с	2	2
69	дело не в	4	2
70	в том или	2	2
71	этой точки зрения	2	2
72	как и в	2	2
73	в отдельности и	2	2
74	даже и не	6	2
75	но даже и	7	2
76	по себе а	3	2
77	в этом понятии	2	2
78	по себе в	2	2
79	в таком случае	7	2
80	друг от друга	3	2
81	не только в	2	2
82	ни в чем	2	2
83	именно потому что	3	2
84	перестал бы быть	2	2
85	могло бы быть	2	2
86	и тем самым	3	2
87	о том как	4	2
88	хотя бы и	2	2
89	и с точки	2	2
90	том смысле что	4	2
91	и в других	2	2
92	в этом случае	8	2
93	так же и	3	2
94	том или ином	3	2
95	что и в	3	2
96	отнюдь не является	3	2
97	вовсе не являются	3	2
98	мы говорим о	2	2
99	дело в том	4	2
100	тех или иных	7	2
101	только в связи	2	2
102	имеем в виду	4	2
