N	3gram	Bakhtin_Pr	formyVre
1	и т п	13	32
2	то же время	3	21
3	в то же	3	18
4	с точки зрения	6	15
5	для того чтобы	2	12
6	но и в	2	12
7	не только в	2	11
8	и в то	2	10
9	и прежде всего	5	8
10	в большинстве случаев	5	8
11	в этом отношении	2	7
12	в отличие от	5	7
13	не может быть	11	7
14	с одной стороны	3	6
15	в том же	2	6
16	в том что	3	5
17	на первый план	2	5
18	той или иной	2	5
19	и во всех	2	4
20	с другой стороны	4	4
21	по отношению к	19	4
22	в его целом	5	4
23	все то что	3	3
24	и в частности	2	3
25	то же самое	2	3
26	в чем не	2	3
27	ни в чем	2	3
28	так и в	2	3
29	может быть только	3	3
30	как мы увидим	3	3
31	со всех сторон	2	2
32	начало и конец	2	2
33	в строгом смысле	2	2
34	можно сказать что	2	2
35	мы здесь не	2	2
36	в основе своей	3	2
37	как и для	2	2
38	не входят в	2	2
39	и др в	2	2
40	во всех своих	2	2
41	в данном случае	4	2
