N	3gram	Potebnia_M	EvropaiC
1	в том что	22	16
2	до сих пор	4	15
3	по отношению к	10	11
4	более или менее	6	8
5	а между тем	6	8
6	с точки зрения	2	8
7	на самом деле	4	7
8	для того чтобы	5	7
9	на то что	3	7
10	друг от друга	2	6
11	с течением времени	2	4
12	в том случае	2	4
13	тем не менее	7	4
14	с другой стороны	4	4
15	в этом случае	2	4
16	о том что	5	4
17	не может быть	7	4
18	вместе с тем	5	3
19	в данном случае	3	3
20	в том же	2	3
21	и того же	2	3
22	не в состоянии	4	3
23	одного и того	2	3
24	и то что	3	3
25	но вместе с	2	2
26	с одной стороны	4	2
27	заключает в себе	10	2
28	во всяком случае	3	2
29	и в том	3	2
30	в то время	7	2
31	в том виде	2	2
32	но так как	2	2
33	рано или поздно	2	2
34	то же время	8	2
35	как и в	3	2
36	том что он	2	2
37	в то же	8	2
38	случае если бы	2	2
39	и может быть	2	2
40	в свою очередь	6	2
41	лишь тогда когда	4	2
