N	2gram	Bakhtin_KF	Myslijsy
1	потому что	2	182
2	и в	28	121
3	может быть	45	107
4	в том	6	103
5	то что	7	83
6	для нас	4	75
7	что в	4	73
8	и не	28	73
9	только в	18	72
10	не только	5	67
11	а не	17	67
12	том что	4	59
13	в этом	15	59
14	но и	9	59
15	то же	5	56
16	не в	13	54
17	если бы	8	53
18	в себе	21	53
19	не может	29	52
20	по себе	2	52
21	того что	3	47
22	в сознании	2	46
23	в нем	32	45
24	было бы	8	45
25	не есть	22	42
26	как и	5	42
27	мы не	3	38
28	что и	7	38
29	так и	2	37
30	при этом	4	37
31	как в	2	37
32	тогда когда	3	36
33	тем что	3	33
34	по отношению	26	30
35	а в	5	30
36	но не	12	29
37	что не	3	29
38	между тем	4	29
39	вовсе не	7	28
40	для него	13	28
41	могут быть	3	27
42	не было	8	26
43	независимо от	3	26
44	отношению к	22	26
45	этого слова	2	25
46	в то	3	24
47	с тем	2	23
48	от того	3	23
49	как бы	9	23
50	но в	5	22
51	не имеет	6	22
52	и потому	2	21
53	не менее	3	21
54	в ней	3	20
55	в одном	5	20
56	это не	10	20
57	тем самым	4	19
58	и как	2	19
59	с ним	5	19
60	и то	2	19
61	что это	4	19
62	но это	6	19
63	должно быть	6	19
64	тем не	2	19
65	о том	3	19
66	в каком	4	18
67	для меня	22	18
68	для того	3	18
69	еще не	5	18
70	бы не	3	18
71	что я	5	18
72	в его	42	17
73	со стороны	8	17
74	точки зрения	13	17
75	слова в	2	17
76	в своем	17	16
77	же с	2	16
78	и на	3	16
79	думать что	2	15
80	и тем	3	15
81	что он	2	15
82	прежде всего	4	15
83	только как	4	15
84	в свою	3	15
85	уже не	7	15
86	там где	5	14
87	в котором	24	14
88	все же	5	14
89	во всех	11	14
90	же время	2	14
91	и все	9	13
92	не следует	2	13
93	и может	3	13
94	в смысле	6	13
95	и его	18	13
96	никогда не	5	12
97	от него	3	12
98	человека и	3	12
99	все это	10	12
100	быть только	8	12
101	оно не	2	12
102	в чем	4	12
103	все остальные	2	12
104	в каждом	3	12
105	того чтобы	2	11
106	из себя	11	11
107	и их	6	11
108	его в	5	11
109	если не	2	11
110	к нему	12	11
111	и это	12	11
112	и только	7	11
113	быть не	2	11
114	бы быть	5	10
115	что только	2	10
116	и для	10	10
117	мы говорим	2	10
118	хотя бы	5	10
119	тому что	2	10
120	только по	2	10
121	и мы	2	10
122	он не	6	10
123	и есть	10	10
124	вопрос о	2	9
125	и других	2	9
126	не будет	2	9
127	это было	2	9
128	с точки	10	9
129	и того	2	9
130	самом деле	3	9
131	один из	2	9
132	в целом	10	9
133	на язык	3	9
134	одного и	2	9
