N	2gram	Voloshinov	Hudozhes
1	в качестве	4	31
2	то есть	5	26
3	в мире	2	24
4	и в	42	23
5	не только	28	20
6	в том	3	20
7	может быть	13	19
8	при этом	9	19
9	в частности	3	18
10	и не	14	16
11	внутренней речи	18	14
12	но и	16	14
13	а в	5	13
14	в себе	10	13
15	но не	2	13
16	а не	7	13
17	то же	16	12
18	в этом	10	12
19	и его	7	12
20	так и	7	12
21	как бы	30	11
22	точки зрения	11	11
23	представляет собой	2	11
24	в его	6	11
25	но в	5	10
26	по отношению	2	10
27	отношению к	2	10
28	не в	6	9
29	в душе	2	9
30	или иной	6	9
31	том что	3	9
32	не может	13	9
33	в то	9	8
34	себя в	4	8
35	в области	6	8
36	в самом	5	7
37	и т.п	25	7
38	по своей	2	7
39	отношение к	2	7
40	я и	2	7
41	лишь в	4	7
42	в своей	2	7
43	только в	7	7
44	же время	7	7
45	как это	5	7
46	в основе	3	7
47	мы имеем	2	6
48	уже не	4	6
49	в нем	6	6
50	можно сказать	4	6
51	в ее	3	6
52	художественного творчества	5	6
53	с его	8	6
54	тем самым	8	5
55	с другими	2	5
56	высказывания в	3	5
57	той или	4	5
58	между ними	3	5
59	место в	2	5
60	для того	9	5
61	того чтобы	7	5
62	в виду	3	5
63	а на	2	5
64	в их	2	5
65	не является	5	5
66	слова как	4	5
67	что он	2	5
68	то что	9	5
69	прежде всего	22	5
70	того что	4	5
71	для него	3	5
72	в слове	4	4
73	и то	5	4
74	сказать что	3	4
75	в отношении	2	4
76	его в	4	4
77	или иного	5	4
78	это не	3	4
79	того или	5	4
80	к тому	4	4
81	речи и	6	4
82	между тем	3	4
83	и т.д	21	4
84	в форме	6	4
85	не знает	3	4
86	однако в	2	4
87	и как	10	4
88	еще не	3	4
89	к которому	2	4
90	и тем	7	4
91	языка в	2	4
92	в этих	2	4
93	он не	2	4
94	отношения к	3	4
95	хотя и	3	4
96	в жизни	2	3
97	к нему	2	3
98	и для	3	3
99	по своему	3	3
100	одно и	6	3
101	как уже	2	3
102	как и	12	3
103	их в	3	3
104	потому что	7	3
105	о чем	2	3
106	слова в	6	3
107	в целом	4	3
108	в свою	6	3
109	и к	4	3
110	во всех	6	3
111	человека с	2	3
112	общения людей	2	3
113	из этих	2	3
114	связи с	3	3
115	и на	7	3
116	если бы	4	3
117	в той	5	3
118	не будет	3	3
119	с точки	5	3
120	он должен	3	3
121	тот или	2	3
122	или даже	2	3
123	в связи	2	3
124	таким образом	8	3
125	и сам	2	3
126	в которой	7	3
127	и внешней	3	3
128	в пределах	2	3
129	в одном	4	3
130	никогда не	7	2
131	о том	4	2
132	одной из	2	2
133	в каком	2	2
134	как в	3	2
135	внутренней и	3	2
136	и это	8	2
137	тому что	5	2
138	и потому	2	2
139	значительной степени	2	2
140	при всем	2	2
141	высказывания и	3	2
142	вследствие этого	3	2
143	еще и	2	2
144	слова не	2	2
145	либо в	2	2
146	что такое	4	2
147	или в	2	2
148	но как	2	2
149	все эти	3	2
150	или иную	4	2
151	не всегда	2	2
152	человека и	2	2
153	мы легко	3	2
154	времени и	2	2
155	или иных	3	2
156	должен быть	2	2
157	высказывания не	2	2
158	с самим	2	2
159	так же	4	2
160	внешней речи	4	2
161	об этом	3	2
162	свою очередь	4	2
163	из которых	3	2
164	между собой	2	2
165	тех или	4	2
166	отнюдь не	10	2
167	один из	4	2
168	несмотря на	3	2
169	роль в	3	2
170	слова и	5	2
171	и больше	2	2
172	все это	4	2
173	между двумя	2	2
174	бы не	2	2
175	что и	3	2
176	ту или	4	2
177	в значительной	2	2
178	во внутренней	4	2
179	художественного высказывания	2	2
180	не просто	4	2
181	к своему	4	2
182	своей жизни	5	2
183	самом деле	5	2
184	между внутренней	2	2
185	этого слова	3	2
186	в нашем	5	2
187	в этой	6	2
188	ни к	2	2
189	а с	5	2
190	с ним	2	2
191	в какой	2	2
192	вовсе не	2	2
193	если мы	4	2
194	при условии	2	2
195	не с	3	2
196	здесь не	2	2
