N	4gram	Vygotskiy_	Problema
1	не что иное как	2	14
2	в то время как	5	12
3	мы должны сказать что	2	8
4	заключается в том что	16	6
5	в том виде как	3	5
6	в том смысле что	2	5
7	одним и тем же	4	4
8	так же как и	6	4
9	в связи с этим	2	4
10	одно и то же	6	4
11	в том числе и	3	4
12	в собственном смысле слова	3	4
13	и вместе с тем	2	3
14	с этой точки зрения	4	3
15	одного и того же	5	3
16	один и тот же	6	2
17	в том что в	3	2
18	заключается в том чтобы	2	2
19	одной и той же	5	2
20	только в том что	4	2
21	к тому или иному	3	2
22	если принять во внимание	2	2
