N	2gram	Propp_Isto	Psycholo
1	то что	12	193
2	и в	41	190
3	в том	14	163
4	что в	21	123
5	потому что	13	114
6	том что	18	113
7	и что	15	108
8	может быть	19	107
9	таким образом	15	102
10	в этом	19	100
11	все время	2	86
12	в самом	2	82
13	как бы	8	80
14	для того	2	78
15	что он	29	76
16	не только	30	75
17	на то	5	73
18	и не	12	73
19	что она	6	71
20	и т	29	69
21	точки зрения	4	69
22	не может	19	68
23	так как	21	63
24	так же	6	63
25	было бы	4	56
26	если бы	3	55
27	совершенно ясно	8	54
28	то же	12	54
29	о том	15	54
30	при этом	7	52
31	как и	8	51
32	что и	13	50
33	а не	9	50
34	что это	6	49
35	только в	10	46
36	сказать что	5	46
37	по себе	2	46
38	к тому	4	45
39	не в	12	45
40	в этой	2	43
41	ясно что	2	43
42	никогда не	16	42
43	и все	6	42
44	вместе с	17	41
45	как это	6	40
46	но и	20	40
47	при помощи	6	39
48	того что	7	39
49	и это	9	37
50	мы видим	14	37
51	и как	3	36
52	с тем	8	35
53	вовсе не	6	34
54	и если	4	34
55	и его	11	34
56	как на	3	34
57	когда он	5	33
58	все же	14	33
59	тому что	2	33
60	все это	9	32
61	в себе	3	32
62	в ней	4	31
63	мы не	10	31
64	в его	4	31
65	он не	8	31
66	для нас	8	31
67	никак не	2	30
68	как будто	4	30
69	мы увидим	6	30
70	как в	17	30
71	с одной	12	29
72	одной стороны	12	29
73	в нем	12	29
74	что мы	3	28
75	и когда	2	28
76	что они	5	28
77	увидим что	2	28
78	и то	3	28
79	мы можем	11	28
80	в основе	2	27
81	с другой	20	27
82	а в	12	27
83	и на	12	27
84	так что	6	26
85	и здесь	13	25
86	жизни и	3	25
87	в целом	2	24
88	до сих	4	24
89	тем что	11	24
90	в своем	3	23
91	сих пор	5	23
92	из этого	2	23
93	что если	2	23
94	могут быть	3	23
95	один из	7	23
96	и даже	3	22
97	т д	25	22
98	что у	6	22
99	когда мы	2	22
100	с этим	3	22
101	из них	2	22
102	в своей	4	21
103	как мы	6	21
104	и вот	2	21
105	в конце	4	21
106	том чтобы	3	21
107	ни в	4	21
108	в котором	3	21
109	в которых	2	21
110	и только	4	21
111	она не	3	20
112	все эти	8	20
113	в то	6	20
114	тот же	2	20
115	это не	14	20
116	дело с	2	20
117	там где	7	20
118	мы имеем	27	20
119	другой стороны	17	20
120	мы должны	7	19
121	в ее	3	19
122	он говорит	4	19
123	у него	16	19
124	в одном	2	19
125	что при	3	19
126	мы уже	10	19
127	перед нами	4	18
128	видим что	4	18
129	но в	7	18
130	но не	8	18
131	в которой	2	18
132	с этой	7	18
133	вслед за	2	18
134	можно было	3	18
135	зависимости от	4	18
136	и есть	2	18
137	одна из	7	17
138	во всяком	3	17
139	у нас	4	17
140	из этих	6	17
141	но это	5	17
142	и о	2	17
143	время как	4	17
144	так и	8	16
145	та же	5	16
146	не имеет	6	16
147	сводится к	3	16
148	говорит о	2	16
149	от того	4	16
150	и тем	4	16
151	из которых	3	16
152	же как	6	16
153	то это	7	16
154	к этому	5	16
155	формы и	2	16
156	мы знаем	4	15
157	в зависимости	3	15
158	еще не	13	15
159	не могут	3	15
160	далеко не	3	15
161	что именно	2	15
162	только на	2	15
163	в частности	3	15
164	в них	4	15
165	во всех	8	15
166	и так	2	15
167	не можем	3	15
168	не просто	3	15
169	должна быть	3	14
170	главным образом	3	14
171	по существу	5	14
172	с ним	9	14
173	прежде всего	6	14
174	в области	3	14
175	того как	5	14
176	показывает что	12	14
177	такой же	3	14
178	в жизни	2	14
179	те же	2	14
180	всяком случае	3	14
181	то время	4	14
182	или в	11	14
183	но он	4	14
184	должен был	2	13
185	как он	11	13
186	а с	3	13
187	именно в	2	13
188	этот вопрос	3	13
189	со стороны	3	13
190	когда она	2	13
191	и он	8	13
192	знаем что	5	13
193	но если	2	12
194	того же	3	12
195	что этот	4	12
196	совершенно очевидно	2	12
197	в этих	16	12
198	их в	3	12
199	ничего не	7	12
200	не менее	5	12
201	и другие	10	12
202	этой точки	3	12
203	тогда когда	3	12
204	что не	3	12
205	и до	2	12
206	например в	6	12
207	что эти	4	12
208	что по	2	12
209	это в	3	12
210	об этом	7	12
211	и другое	4	12
212	что его	2	12
213	и с	4	12
214	как только	5	12
215	образом и	3	11
216	и из	2	11
217	так например	5	11
218	не будет	6	11
219	утверждать что	3	11
220	о смерти	5	11
221	думать что	3	11
222	и других	2	11
223	его в	7	11
224	мы видели	17	11
225	но мы	3	11
226	с его	4	11
227	на этот	4	11
228	уже в	4	11
229	не было	3	11
230	конечно не	2	11
231	данном случае	7	10
232	от него	6	10
233	в тех	8	10
234	в состоянии	4	10
235	в другом	2	10
