N	2gram	Vygotskiy_	VerxiiNi
1	и в	37	26
2	таким образом	39	22
3	с тем	8	18
4	в этом	32	15
5	вместе с	14	15
6	точки зрения	49	13
7	как бы	16	12
8	в том	47	11
9	не только	29	10
10	из этих	6	10
11	и с	10	10
12	может быть	19	10
13	что в	25	9
14	так как	11	9
15	в области	4	9
16	связи с	7	9
17	но и	23	9
18	но не	6	8
19	с другой	16	8
20	в общем	5	8
21	главным образом	2	8
22	и не	15	8
23	как на	5	8
24	но все	3	7
25	потому что	11	7
26	связанные с	2	7
27	одной стороны	15	7
28	из них	4	7
29	то что	32	7
30	с одной	14	7
31	но в	9	7
32	том что	42	7
33	а с	8	7
34	представление о	7	6
35	в отношении	14	6
36	все же	6	6
37	к тому	10	6
38	о том	14	6
39	мы должны	11	6
40	в себе	8	6
41	в конце	2	6
42	несмотря на	6	6
43	всяком случае	5	6
44	что и	3	6
45	с точки	34	6
46	и т.д	15	6
47	все эти	6	6
48	все это	9	6
49	и потому	3	6
50	так и	12	6
51	во всяком	6	6
52	никогда не	8	5
53	одной из	4	5
54	и для	3	5
55	не имеет	5	5
56	так же	18	5
57	том числе	3	5
58	и к	9	5
59	в силу	8	5
60	друг с	6	5
61	того чтобы	23	5
62	лишь в	9	5
63	в его	16	5
64	для того	19	5
65	с другом	6	5
66	а не	5	5
67	сих пор	4	5
68	до сих	4	5
69	на этот	7	4
70	и от	4	4
71	что все	8	4
72	а в	4	4
73	с другими	5	4
74	в котором	6	4
75	в самом	16	4
76	в нем	2	4
77	не может	16	4
78	в смысле	2	4
79	в которых	6	4
80	что оно	6	4
81	из которых	6	4
82	целый ряд	6	4
83	в виде	3	4
84	то же	12	4
85	числе и	3	4
86	и что	11	4
87	и по	3	4
88	в этих	3	4
89	только в	8	4
90	что он	16	4
91	и только	2	4
92	он не	11	4
93	ничем не	3	4
94	в течение	4	4
95	в этой	13	4
96	в то	7	4
97	учение о	4	4
98	что это	8	3
99	на нее	2	3
100	в своем	10	3
101	из всех	3	3
102	с самого	9	3
103	но с	3	3
104	каждая из	2	3
105	к ним	2	3
106	точно так	2	3
107	и если	4	3
108	уже не	2	3
109	хотя бы	7	3
110	к этому	7	3
111	в результате	7	3
112	с ней	3	3
113	в которой	6	3
114	в значительной	2	3
115	представляет собой	13	3
116	и даже	5	3
117	и как	7	3
118	из которого	2	3
119	что эти	3	3
120	за собой	4	3
121	если бы	10	3
122	и те	2	3
123	же как	8	3
124	в других	2	3
125	при этом	6	3
126	всегда и	3	3
127	как о	2	3
128	когда он	5	3
129	в качестве	12	3
130	и при	2	3
131	с этой	7	3
132	в связи	3	3
133	так что	2	3
134	случае не	2	3
135	ясно что	2	3
136	можно сказать	6	3
137	отношению к	11	3
138	и таким	2	3
139	к сожалению	2	3
140	в одном	5	3
141	того что	28	3
142	для него	5	3
143	мы видели	8	2
144	одно из	3	2
145	сказать что	16	2
146	связан с	5	2
147	от них	2	2
148	но вместе	5	2
149	которые в	2	2
150	для этого	7	2
151	этой точки	2	2
152	эти черты	2	2
153	о котором	3	2
154	начиная с	2	2
155	в эту	4	2
156	и является	2	2
157	из этого	6	2
158	по сравнению	10	2
159	и это	3	2
160	или иной	3	2
161	на то	11	2
162	в самой	4	2
163	для всех	8	2
164	этот путь	2	2
165	он в	6	2
166	состоит в	4	2
167	мы имеем	2	2
168	в процессе	19	2
169	мы можем	11	2
170	из этой	2	2
171	между этими	7	2
172	в начале	2	2
173	связь с	2	2
174	между тем	10	2
175	тенденции к	2	2
176	не потому	2	2
177	только что	7	2
178	к его	3	2
179	в свою	4	2
180	именно в	8	2
181	если не	3	2
182	приводит к	8	2
183	тогда когда	8	2
184	поэтому что	5	2
185	еще на	4	2
186	но если	3	2
187	те же	2	2
188	что мы	9	2
189	в них	5	2
190	только не	2	2
191	и на	8	2
192	уже в	8	2
193	к другу	3	2
194	к которому	4	2
195	по своей	9	2
196	все что	4	2
197	наконец в	2	2
198	жизни и	2	2
199	влечет за	2	2
200	в новом	3	2
201	что именно	3	2
202	превращается в	3	2
203	самого начала	9	2
204	к которым	3	2
205	можно назвать	2	2
206	этом отношении	6	2
207	виде в	3	2
208	не в	9	2
209	только для	6	2
210	и наконец	3	2
211	той или	3	2
212	на все	5	2
213	и все	7	2
214	же время	2	2
215	один из	3	2
216	в виду	5	2
217	гораздо менее	3	2
218	со всеми	2	2
219	сравнению с	9	2
220	психической жизни	3	2
221	связано с	3	2
222	должна была	2	2
223	не к	3	2
224	в пользу	6	2
225	прежде всего	12	2
226	признать что	3	2
227	его не	3	2
228	и из	2	2
229	тот же	7	2
230	не могло	5	2
231	связана с	4	2
232	с его	7	2
233	этими двумя	2	2
234	во всех	4	2
235	же самое	4	2
236	вслед за	3	2
237	тем и	3	2
238	не с	2	2
239	по существу	8	2
