N	3gram	Vygotskiy_	FransuaR
1	в то же	2	55
2	то же время	2	55
3	до сих пор	8	27
4	в том что	21	27
5	в этом отношении	7	20
6	с точки зрения	12	20
7	для того чтобы	11	17
8	о том что	9	17
9	в связи с	2	16
10	то есть в	2	15
11	начала и до	2	14
12	на самом деле	6	13
13	не может быть	14	13
14	с одной стороны	6	13
15	с другой стороны	7	12
16	все то что	3	11
17	можно сказать что	2	11
18	в отличие от	4	11
19	в конце концов	6	10
20	таким образом и	3	10
21	как и в	5	10
22	так и в	2	9
23	мы видим что	4	9
24	более или менее	3	8
25	мы видели что	2	8
26	таким образом в	2	8
27	в чем же	2	7
28	в настоящее время	2	7
29	можно было бы	2	7
30	в самом деле	13	7
31	подобно тому как	7	7
32	в то время	6	7
33	в свою очередь	3	6
34	выходит за пределы	2	6
35	и во всех	2	6
36	во всяком случае	7	5
37	то же самое	8	5
38	в основе своей	2	5
39	в применении к	2	5
40	и тот же	2	5
41	и в частности	2	5
42	по сравнению с	3	5
43	только то что	2	5
44	потому что он	2	5
45	один и тот	2	4
46	одной и той	5	4
47	имеет в виду	3	4
48	и в самом	3	4
49	в собственном смысле	3	4
50	что и в	5	4
51	в одном из	2	4
52	и не может	2	4
53	так же как	8	4
54	и той же	5	4
55	таким образом все	2	4
56	сказать что в	3	4
57	и то что	3	4
58	бы то ни	2	3
59	он не только	3	3
60	в этом смысле	3	3
61	что все это	2	3
62	не только не	4	3
63	заключается в том	13	3
64	именно потому что	2	3
65	вместе с тем	3	3
66	леонардо да винчи	2	3
67	и в том	2	3
68	что иное как	2	3
69	те же самые	2	3
70	тех или иных	2	3
71	не что иное	2	3
72	на том же	2	3
73	смысле этого слова	2	3
74	так как они	2	3
75	в целом ряде	2	3
76	сам по себе	4	2
77	том же самом	2	2
78	только тогда когда	4	2
79	что в основе	4	2
80	по тому же	2	2
81	потому что она	2	2
82	в первый раз	2	2
83	мы знаем что	3	2
84	не потому что	2	2
85	никак не может	3	2
86	не могут быть	2	2
87	в конечном счете	6	2
88	там же где	2	2
89	мы не можем	2	2
90	же как и	2	2
91	по этому поводу	3	2
92	том что он	2	2
93	никогда не может	3	2
94	ни в области	3	2
95	все дело в	2	2
96	что у него	3	2
97	в том чтобы	9	2
