N	2gram	Losev_Prob	formyVre
1	и в	62	148
2	в этом	25	73
3	то есть	63	70
4	в нем	13	51
5	прежде всего	13	46
6	и т	20	40
7	и не	56	37
8	в его	10	36
9	и его	12	36
10	вовсе не	62	35
11	но и	20	33
12	то же	23	32
13	не только	33	32
14	в литературе	3	32
15	но в	17	31
16	жизни и	7	31
17	так и	16	29
18	может быть	39	27
19	не в	21	26
20	как мы	12	26
21	как и	15	25
22	как бы	11	25
23	человеческой жизни	4	24
24	мы уже	4	24
25	точки зрения	14	24
26	в то	18	23
27	времени и	4	23
28	только в	33	23
29	то что	42	22
30	в том	35	22
31	все эти	14	21
32	связи с	10	21
33	во всех	4	21
34	в своем	7	19
35	и для	5	19
36	и на	4	19
37	и все	13	18
38	по существу	2	18
39	еще не	12	18
40	таким образом	13	18
41	с этим	5	17
42	при этом	9	17
43	так как	14	17
44	в пределах	3	17
45	все же	10	16
46	того же	2	16
47	и во	5	16
48	в связи	9	16
49	в основе	3	16
50	не может	14	16
51	в условиях	7	16
52	никогда не	7	15
53	в разных	4	15
54	в них	6	15
55	в одном	4	15
56	с точки	9	15
57	вместе с	3	15
58	так же	11	14
59	все это	9	14
60	всех этих	6	14
61	и как	4	14
62	в конце	7	14
63	и с	11	14
64	как раз	11	14
65	а не	28	14
66	в их	2	13
67	в частности	4	13
68	а в	9	13
69	здесь в	3	13
70	того чтобы	4	13
71	же в	6	13
72	во время	3	13
73	для того	5	13
74	как в	10	13
75	в котором	3	13
76	в самом	4	13
77	с ним	11	13
78	ничего не	4	12
79	отнюдь не	16	12
80	в истории	4	12
81	значение и	7	12
82	не было	6	12
83	и до	3	12
84	конечно не	3	12
85	ii гл	2	12
86	и наконец	2	12
87	но не	6	12
88	потому что	40	12
89	он не	10	12
90	что в	11	12
91	его в	4	11
92	и у	2	11
93	в ней	12	11
94	хотя и	9	11
95	ни в	17	11
96	из них	4	11
97	уже в	5	11
98	вещей и	2	10
99	здесь не	11	10
100	в ее	6	10
101	кроме того	5	10
102	и другие	4	10
103	сих пор	4	10
104	также и	22	10
105	входит в	3	10
106	уже не	12	10
107	до сих	4	10
108	могут быть	2	9
109	в других	2	9
110	и следовательно	3	9
111	жизнь и	3	9
112	том что	25	9
113	и даже	21	9
114	и это	11	9
115	с другой	14	9
116	для него	4	9
117	но все	5	9
118	есть в	6	9
119	в самой	4	9
120	их в	2	9
121	отношения к	3	9
122	это не	10	8
123	или иной	20	8
124	для себя	6	8
125	и прежде	3	8
126	здесь на	2	8
127	и потому	13	8
128	к тому	4	8
129	в целом	9	8
130	что и	11	8
131	здесь и	4	8
132	во всяком	14	8
133	здесь мы	5	8
134	и то	17	8
135	а также	6	8
136	время как	6	8
137	в результате	8	8
138	и по	3	8
139	если бы	9	8
140	мы еще	3	8
141	в этих	6	8
142	с одной	3	8
143	значение в	3	8
144	связанные с	2	8
145	и к	9	8
146	в виду	20	8
147	жизни но	2	8
148	для всех	3	7
149	в процессе	2	7
150	в себе	23	7
151	за счет	2	7
152	у них	2	7
153	отличие от	3	7
154	того что	10	7
155	широком смысле	2	7
156	между собой	3	7
157	в той	8	7
158	было бы	14	7
159	к этому	2	7
160	и он	3	7
161	в которой	3	7
162	поэтому и	3	7
163	с ее	5	7
164	т д	20	7
165	ее в	2	7
166	в отличие	2	7
167	еще более	3	7
168	нет ничего	6	7
169	то время	6	7
170	все они	5	6
171	в отношении	4	6
172	и ее	7	6
173	есть и	2	6
174	есть не	13	6
175	но эта	4	6
176	а как	2	6
177	с самим	4	6
178	друг от	3	6
179	самой жизни	2	6
180	с тем	9	6
181	одной стороны	2	6
182	в качестве	10	6
183	во всей	3	6
184	сказать что	24	6
185	только и	9	6
186	в начале	3	6
187	особенно в	2	6
188	за пределы	6	6
189	мы не	15	6
190	мы можем	11	6
191	мы находим	8	6
192	на первый	6	6
193	не является	19	6
194	смысле слова	19	6
195	о том	14	6
196	именно в	4	6
197	имеем в	4	6
198	время и	2	6
199	в эпоху	2	6
200	в которых	3	6
201	от друга	3	6
202	в таком	11	6
203	слова и	3	6
204	во все	3	5
205	стороны и	3	5
206	не имеют	4	5
207	о чем	4	5
208	и вообще	20	5
209	произведения и	2	5
210	только на	6	5
211	так что	21	5
212	ничем не	2	5
213	и ни	5	5
214	и почти	2	5
215	xix века	2	5
216	в него	2	5
217	с другими	6	5
218	что все	2	5
219	с ними	2	5
220	той или	22	5
221	не на	2	5
222	что они	8	5
