N	3gram	Potebnia_M	VeschiIm
1	и т д	6	38
2	не может быть	11	24
3	не что иное	2	12
4	бы то ни	2	12
5	что иное как	2	12
6	тем не менее	10	11
7	по крайней мере	6	10
8	в том что	18	9
9	на то что	3	7
10	сама по себе	4	7
11	то и другое	6	6
12	с точки зрения	3	6
13	может быть только	2	6
14	в то же	3	5
15	подобно тому как	7	5
16	не только в	3	5
17	в свою очередь	8	5
18	с этой точки	2	4
19	не только не	2	4
20	более или менее	6	4
21	сам по себе	5	4
22	в то время	3	4
23	дело в том	3	4
24	само по себе	6	4
25	от того что	5	4
26	то же время	3	4
27	мы не можем	2	3
28	из того что	2	3
29	вбирает в себя	2	3
30	то что мы	2	3
31	в собственном смысле	2	3
32	так что в	2	3
33	с одной стороны	6	3
34	с другой стороны	7	3
35	сами по себе	8	3
36	мы видели что	2	3
37	все то что	2	2
38	как бы ни	4	2
39	во всяком случае	7	2
40	в применении к	3	2
41	но все же	2	2
42	для того чтобы	4	2
43	в себе или	2	2
44	а так как	3	2
45	к тому что	2	2
46	или по крайней	2	2
47	в связи с	2	2
48	хотя бы даже	2	2
49	только тогда когда	5	2
50	в этом смысле	4	2
51	в одном и	3	2
52	и в этом	7	2
