N	3gram	Bakhtin_Pr	EvropaiC
1	в том что	6	16
2	до сих пор	9	15
3	по отношению к	12	11
4	друг с другом	3	9
5	более или менее	4	8
6	с точки зрения	21	8
7	на самом деле	4	7
8	на то что	2	7
9	в самом деле	6	5
10	к тому же	2	5
11	тем не менее	2	4
12	с другой стороны	6	4
13	в конце концов	7	4
14	может быть и	2	4
15	о том что	2	4
16	не может быть	8	4
17	то ни было	2	3
18	бы то ни	3	3
19	в настоящее время	3	3
20	в данном случае	2	3
21	в целом ряде	2	3
22	все же не	3	3
23	во всяком случае	4	2
24	в том и	2	2
25	но все же	3	2
26	в то время	2	2
27	то же время	13	2
28	как и в	3	2
29	том что он	5	2
30	в то же	13	2
31	именно потому что	2	2
32	а следовательно и	2	2
33	как и все	4	2
34	только то что	2	2
35	друг на друга	2	2
