N	2gram	Losev_Dial	KFilosof
1	может быть	30	45
2	в его	4	42
3	в нем	25	32
4	не может	16	29
5	и не	51	28
6	и в	35	28
7	в котором	5	24
8	для меня	5	22
9	не есть	67	22
10	в себе	23	21
11	и его	6	18
12	только в	7	18
13	в своем	7	17
14	в ее	3	17
15	а не	24	17
16	в этом	18	15
17	не в	12	13
18	для него	2	13
19	точки зрения	25	13
20	но не	9	12
21	и это	6	12
22	к нему	12	12
23	ни в	20	12
24	в своей	9	11
25	во всех	3	11
26	все эти	4	11
27	это не	18	10
28	и для	2	10
29	все это	14	10
30	с точки	18	10
31	и есть	20	10
32	в их	5	9
33	для нее	2	9
34	но и	17	9
35	как бы	19	9
36	и все	11	9
37	себя в	2	8
38	если бы	12	8
39	не было	7	8
40	со стороны	2	8
41	быть только	3	8
42	в мире	3	8
43	жизни и	9	8
44	было бы	14	8
45	но лишь	4	7
46	должен быть	2	7
47	совершенно не	13	7
48	то что	25	7
49	уже не	3	7
50	отнюдь не	13	7
51	конечно не	9	7
52	и только	5	7
53	что и	7	7
54	во всем	3	7
55	момент в	2	7
56	вовсе не	19	7
57	должно быть	7	6
58	отношение к	5	6
59	но эта	4	6
60	в том	20	6
61	смысл и	6	6
62	но все	5	6
63	не имеет	15	6
64	в смысле	5	6
65	ко мне	2	6
66	и их	5	6
67	я не	9	6
68	но это	12	6
69	и я	3	6
70	он не	5	6
71	не значит	6	6
72	никогда не	18	5
73	его в	3	5
74	все же	9	5
75	я могу	2	5
76	не только	26	5
77	мы имеем	4	5
78	но как	7	5
79	хотя бы	6	5
80	то же	21	5
81	но ведь	2	5
82	еще не	4	5
83	не знает	2	5
84	а в	8	5
85	но в	8	5
86	как и	10	5
87	ко всему	3	5
88	именно в	4	5
89	что я	5	5
90	время и	2	5
91	в одном	4	5
92	со всем	2	5
93	я и	3	5
94	с ним	9	5
95	в основе	4	5
96	в каком	10	4
97	что это	21	4
98	том что	18	4
99	нисколько не	7	4
100	что в	19	4
101	и жизни	4	4
102	могла бы	2	4
103	не как	4	4
104	не по	2	4
105	ни было	2	4
106	времени и	10	4
107	чем не	2	4
108	быть в	5	4
109	прежде всего	14	4
110	в чем	9	4
111	к ним	3	4
112	мира и	2	4
113	с ними	4	4
114	при этом	2	4
115	только как	3	4
116	должна быть	5	4
117	между тем	3	4
118	ничего не	19	3
119	в то	10	3
120	на самом	5	3
121	от него	4	3
122	сознания и	8	3
123	человека и	2	3
124	всех этих	4	3
125	в каждом	4	3
126	когда я	2	3
127	в другом	6	3
128	от того	2	3
129	а лишь	3	3
130	это и	6	3
131	тем что	2	3
132	и тем	2	3
133	та же	6	3
134	для того	2	3
135	я имею	2	3
136	в современной	2	3
137	самом деле	6	3
138	в виду	9	3
139	бытие и	2	3
140	себе и	5	3
141	лишь как	3	3
142	и пр	7	3
143	не должен	2	3
144	в корне	2	3
145	по своему	4	3
146	нет и	2	3
147	нем и	2	3
148	не менее	5	3
149	и ни	7	3
150	независимо от	2	3
151	только с	3	3
152	о том	8	3
153	в акте	2	3
154	не могу	9	3
155	что этот	3	3
156	в ней	4	3
157	стороны в	2	3
158	меня и	2	3
159	могут быть	6	3
160	но для	2	3
161	этом смысле	4	3
162	во мне	5	3
163	тогда когда	6	3
164	и та	8	3
165	и совершенно	4	3
166	что не	13	3
167	и другого	3	3
168	того что	6	3
169	той или	11	3
170	и может	7	3
171	не быть	3	3
172	но конечно	2	3
173	бы и	4	3
174	быть и	7	3
175	ясно что	11	3
176	не о	5	2
177	и то	15	2
178	чтобы не	6	2
179	для этого	2	2
180	смысла и	3	2
181	и мы	8	2
182	или иной	4	2
183	значило бы	2	2
184	и потому	6	2
185	в данном	5	2
186	ли это	4	2
187	я уже	2	2
188	его с	6	2
189	содержание и	2	2
190	себе а	2	2
191	говорить о	9	2
192	и эта	3	2
193	не потому	5	2
194	к этому	2	2
195	дело не	3	2
196	вопрос о	3	2
197	это было	4	2
198	из нее	2	2
199	а это	2	2
200	тем не	3	2
201	но всегда	2	2
202	и как	14	2
203	себе как	3	2
204	в виде	2	2
205	то или	5	2
206	пространства и	8	2
207	весь мир	2	2
208	все они	2	2
209	были бы	3	2
210	бытие но	2	2
211	это только	3	2
212	в области	2	2
213	не остается	2	2
214	а с	2	2
215	даны в	4	2
216	что он	16	2
217	со всеми	2	2
218	или как	2	2
219	так и	18	2
220	ни к	2	2
221	отношении к	3	2
222	жизнь и	5	2
223	вес и	2	2
224	что есть	2	2
225	может иметь	6	2
226	в жизни	3	2
227	с тем	2	2
228	это уже	2	2
229	как в	3	2
230	при условии	3	2
231	от этого	5	2
232	думать что	3	2
233	в него	2	2
234	одна и	5	2
235	в сознании	3	2
236	тому что	4	2
237	можно ли	3	2
238	она не	10	2
239	он может	3	2
240	гораздо более	3	2
241	и время	4	2
242	на нем	2	2
243	и смысл	3	2
244	но есть	2	2
245	еще более	3	2
246	и бесконечного	2	2
247	оно не	2	2
248	не нужно	2	2
249	мы говорим	6	2
250	это суть	2	2
251	но я	4	2
252	он и	2	2
253	один из	3	2
254	это можно	2	2
255	по себе	39	2
256	потому что	23	2
257	и всех	4	2
258	не будет	2	2
259	есть его	2	2
260	раз и	2	2
261	или иное	5	2
262	и когда	5	2
263	что эта	5	2
264	и эти	2	2
265	ведь это	3	2
266	в качестве	2	2
267	же время	9	2
268	ничего общего	4	2
269	человек и	2	2
270	это есть	13	2
271	в этой	3	2
272	будет ли	2	2
