N	3gram	Propp_Isto	Marksizm
1	не может быть	4	25
2	по отношению к	2	15
3	в связи с	5	14
4	в том что	8	14
5	до сих пор	7	11
6	в большинстве случаев	2	9
7	смысле этого слова	3	7
8	с другой стороны	10	7
9	во всяком случае	2	6
10	на то что	4	6
11	с одной стороны	2	6
12	как мы видели	7	5
13	в этом случае	8	5
14	мы уже знаем	3	4
15	и здесь мы	2	4
16	можно сказать что	2	4
17	о том что	3	4
18	но все же	5	4
19	тем не менее	6	3
20	друг с другом	2	3
21	одной и той	2	3
22	мы не будем	2	3
23	можно было бы	2	3
24	и той же	2	3
25	не только в	3	3
26	но и в	2	3
27	же как и	3	2
28	так же как	7	2
29	и в других	3	2
30	в данном случае	6	2
31	как и в	2	2
32	мы видели как	3	2
33	как мы увидим	2	2
34	мы видели что	6	2
35	к тому же	4	2
36	независимо от того	2	2
37	это и есть	2	2
