N	3gram	Ircho_Kome	VeschiIm
1	то ни было	3	12
2	бы то ни	3	12
3	тем не менее	3	11
4	в том что	15	9
5	т е в	2	7
6	в самом деле	13	7
7	по сравнению с	3	7
8	с точки зрения	6	6
9	так или иначе	3	6
10	в то же	11	5
11	в чем же	2	5
12	в свою очередь	10	5
13	более или менее	2	4
14	то время как	3	4
15	о том как	5	4
16	о том что	7	4
17	в то время	3	4
18	то же время	11	4
19	равно как и	3	4
20	вместе с тем	5	3
21	с одной стороны	4	3
22	с другой стороны	2	3
23	и в то	2	3
24	во всяком случае	3	2
25	в основе своей	2	2
26	но все же	3	2
27	для того чтобы	8	2
28	в этом отношении	2	2
29	в здравом уме	2	2
30	в связи с	3	2
31	в конце концов	3	2
32	друг с другом	3	2
