N	2gram	Tiupa_Narr	UchenyiS
1	и в	22	14
2	не только	50	10
3	а не	27	10
4	и не	34	8
5	прежде всего	7	8
6	то что	14	7
7	не может	16	7
8	в этом	23	7
9	может быть	24	6
10	и только	2	5
11	то же	12	5
12	хотя бы	4	5
13	в конечном	6	4
14	но и	39	4
15	в этой	8	4
16	конечном счете	4	4
17	с другой	6	4
18	не о	2	3
19	у нас	4	3
20	в частности	23	3
21	и т.д	7	3
22	не следует	3	3
23	это не	6	3
24	только к	3	3
25	и то	3	3
26	в своей	8	3
27	все же	10	3
28	как и	15	3
29	в то	9	3
30	но в	10	3
31	же время	7	3
32	было бы	2	3
33	в области	4	3
34	другой стороны	2	3
35	для него	8	3
36	в самом	8	2
37	в себе	14	2
38	что мы	2	2
39	и у	4	2
40	мы и	2	2
41	о чем	6	2
42	нас в	2	2
43	же самое	3	2
44	что он	7	2
45	таким образом	5	2
46	но не	7	2
47	ни от	2	2
48	и для	4	2
49	если бы	9	2
50	более чем	2	2
51	не все	2	2
52	между тем	5	2
53	самом деле	4	2
54	только в	23	2
55	одним из	2	2
56	в противовес	3	2
57	а его	3	2
58	и является	2	2
59	что она	3	2
60	ничего не	8	2
61	и с	3	2
62	не случайно	2	2
63	что и	3	2
64	меньшей степени	2	2
65	и через	2	2
66	это было	3	2
67	превращается в	2	2
68	сих пор	3	2
69	по себе	4	2
70	том что	15	2
71	а как	2	2
72	в его	12	2
73	это уже	3	2
74	сводится к	10	2
75	в том	20	2
76	этом отношении	5	2
77	если не	4	2
78	с его	6	2
79	как раз	9	2
80	должна быть	2	2
81	его и	2	2
82	а о	2	2
83	но это	2	2
84	не в	12	2
85	в конце	4	2
86	мы не	5	2
87	до сих	3	2
88	в итоге	4	2
89	не столько	2	2
