N	2gram	Tiupa_Narr	Poddanst
1	не только	50	17
2	и в	22	14
3	и не	34	12
4	в области	4	11
5	в этом	23	10
6	но в	10	9
7	то же	12	9
8	в том	20	9
9	в качестве	27	9
10	хотя бы	4	8
11	в пределах	2	8
12	в то	9	7
13	только в	23	7
14	же время	7	7
15	но и	39	6
16	было бы	2	6
17	в ней	5	6
18	с другой	6	5
19	не в	12	5
20	и о	4	5
21	может быть	24	5
22	по себе	4	4
23	что в	6	4
24	если бы	9	4
25	и потому	2	4
26	в своем	7	4
27	том что	15	4
28	а также	11	4
29	в котором	3	4
30	в русской	3	4
31	и к	7	4
32	как бы	11	4
33	то что	14	4
34	не может	16	4
35	а в	19	4
36	же в	6	4
37	что мы	2	3
38	и как	4	3
39	но не	7	3
40	тем самым	9	3
41	это не	6	3
42	с точки	2	3
43	сводится к	10	3
44	сами по	2	3
45	столь же	6	3
46	мы не	5	3
47	для того	4	3
48	в себе	14	3
49	точки зрения	8	3
50	потому что	7	3
51	одной стороны	5	3
52	в нем	9	3
53	между тем	5	3
54	вслед за	4	3
55	прежде всего	7	3
56	и т	3	3
57	хотя и	8	3
58	с одной	5	3
59	с ними	5	3
60	наряду с	2	3
61	для нас	2	2
62	переход от	2	2
63	не о	2	2
64	да и	5	2
65	в жизни	9	2
66	в мире	8	2
67	если в	2	2
68	одна из	5	2
69	в е	3	2
70	для них	2	2
71	не к	4	2
72	никак не	5	2
73	более чем	2	2
74	точек зрения	2	2
75	и тем	9	2
76	в его	12	2
77	и вот	2	2
78	не менее	6	2
79	исключительно в	3	2
80	церкви и	2	2
81	со стороны	14	2
82	в последние	2	2
83	именно в	5	2
84	где в	3	2
85	в начале	4	2
86	в виде	2	2
87	тем более	2	2
88	в частности	23	2
89	как на	2	2
90	начала и	5	2
91	а не	27	2
92	не было	3	2
93	например в	2	2
94	и с	3	2
95	во всех	2	2
96	в ее	4	2
97	заключает в	2	2
98	как раз	9	2
99	в сфере	2	2
100	к чему	3	2
101	того что	7	2
102	в силу	5	2
103	из них	4	2
104	не столько	2	2
105	отнюдь не	6	2
