N	2gram	Losev_Dial	Problema
1	и в	34	182
2	и не	50	152
3	вовсе не	18	145
4	то что	25	144
5	не есть	95	113
6	не только	35	104
7	потому что	21	89
8	в этом	14	88
9	может быть	30	82
10	том что	18	81
11	в том	17	81
12	не просто	20	80
13	только в	10	73
14	сказать что	7	72
15	но и	14	70
16	в виде	11	69
17	у нас	7	68
18	также и	6	68
19	и даже	21	66
20	по себе	31	64
21	даже и	9	63
22	не менее	11	58
23	о том	11	57
24	так и	11	56
25	тем не	10	56
26	а не	39	56
27	но в	3	55
28	так что	11	52
29	ни в	20	51
30	для нас	2	50
31	и вообще	7	48
32	отнюдь не	16	48
33	в себе	8	48
34	при помощи	6	47
35	было бы	13	46
36	в своей	4	45
37	прежде всего	20	45
38	что в	12	44
39	в его	6	44
40	все эти	4	43
41	не в	11	43
42	таким образом	14	42
43	как раз	11	42
44	то же	9	42
45	а именно	7	42
46	если мы	5	42
47	так как	12	40
48	что мы	10	40
49	и то	7	40
50	что он	18	40
51	и что	21	40
52	не может	29	39
53	в этой	3	39
54	и тем	3	39
55	во всяком	5	39
56	как бы	19	39
57	той или	3	38
58	в данном	6	38
59	никак не	3	37
60	хотя бы	9	37
61	того что	22	37
62	в нем	7	37
63	еще не	7	36
64	есть нечто	26	36
65	точки зрения	43	36
66	и все	17	36
67	и т	41	35
68	вещи есть	2	35
69	когда мы	3	35
70	в виду	12	34
71	и с	10	34
72	как и	14	34
73	уже не	9	34
74	или иной	4	33
75	в таком	15	33
76	т д	38	33
77	в то	9	32
78	здесь не	2	32
79	едва ли	2	32
80	но не	3	32
81	в своем	7	31
82	в конце	2	31
83	связи с	3	31
84	все это	13	31
85	что такое	25	31
86	так же	7	31
87	но это	10	31
88	ясно что	16	30
89	с другой	5	30
90	и для	5	30
91	как мы	4	29
92	перед нами	5	29
93	все же	4	29
94	об этом	8	29
95	в связи	3	29
96	можно сказать	5	29
97	данном случае	3	28
98	и о	9	28
99	что же	12	28
100	есть только	13	28
101	мы не	11	28
102	а в	3	28
103	и как	13	27
104	ничего не	29	27
105	и это	12	27
106	хотя и	9	27
107	ничего общего	2	27
108	еще и	2	26
109	по крайней	10	26
110	в результате	7	26
111	как будто	3	26
112	вместе с	3	26
113	это не	13	26
114	крайней мере	10	26
115	да и	4	26
116	другой стороны	4	26
117	и его	8	26
118	тем самым	3	25
119	с точки	25	25
120	и на	6	25
121	мы можем	3	25
122	всяком случае	3	25
123	на самом	2	24
124	тем более	5	24
125	не имеет	18	24
126	с тем	4	24
127	и притом	10	23
128	а только	2	23
129	только и	3	23
130	тут же	3	23
131	мы находим	5	23
132	на то	5	23
133	таком случае	11	23
134	содержит в	2	23
135	есть не	11	23
136	при этом	7	23
137	по своему	2	23
138	то и	5	23
139	никогда не	9	22
140	и если	5	22
141	и является	2	22
142	сам по	6	22
143	его в	2	22
144	и есть	24	22
145	только на	8	22
146	нет ничего	14	22
147	значит что	29	22
148	вещи и	3	22
149	что и	8	22
150	можно ли	6	22
151	и от	4	22
152	другими словами	8	22
153	раз и	3	22
154	всех этих	3	22
155	есть в	4	22
156	тоже не	2	22
157	и к	5	22
158	и ее	8	21
159	и без	4	21
160	для себя	2	21
161	разного рода	2	21
162	сама по	11	21
163	в самом	9	21
164	говорить о	13	21
165	и только	6	21
166	и потому	6	20
167	как о	6	20
168	но как	3	20
169	для того	4	20
170	именно в	5	20
171	о чем	2	20
172	несмотря на	2	20
173	или в	4	20
174	тем что	5	20
175	в каком	9	19
176	но если	11	19
177	как нечто	2	19
178	того или	6	19
179	то в	5	19
180	если бы	10	19
181	кроме того	8	19
182	это значит	29	19
183	но только	7	19
184	то это	9	19
185	если не	3	19
186	он не	8	19
187	с ним	3	19
188	самом деле	7	19
189	в них	6	19
190	это есть	19	19
191	как в	2	19
192	жизни и	8	19
193	не будет	5	18
194	в ее	5	18
195	в этих	3	18
196	мы и	4	18
197	и ни	3	18
198	не было	6	18
199	не существует	10	18
200	в ней	4	18
201	ни о	8	17
202	что здесь	3	17
203	мы уже	6	17
204	и здесь	3	17
205	без всякого	2	17
206	это и	12	17
207	что они	2	17
208	тех или	6	17
209	есть именно	6	17
210	совершенно не	6	17
211	во всех	2	17
212	но даже	4	16
213	к тому	4	16
214	же в	2	16
215	между собою	3	16
216	для этого	3	16
217	как это	8	16
218	точно так	3	16
219	случае не	4	16
220	что она	13	16
221	он и	3	16
222	в чем	11	15
223	в частности	3	15
224	у него	2	15
225	что не	8	15
226	с этим	4	15
227	нет никакой	7	14
228	не что	6	14
229	что все	16	14
230	говорит о	5	14
231	за пределы	3	14
232	уже и	3	14
233	людей и	2	14
234	иное как	6	14
235	все равно	5	14
236	что иное	6	14
237	нас в	3	14
238	определенного рода	2	14
239	в котором	2	14
240	а это	2	14
241	об его	3	14
242	то ни	4	14
243	только о	4	14
244	иной раз	3	13
245	в целях	4	13
246	из этого	3	13
247	в их	2	13
248	бы и	2	13
249	тому что	5	13
250	мы имеем	3	13
251	всегда есть	5	13
252	или иного	3	13
253	есть ни	14	13
254	же и	2	13
255	сами по	3	13
256	ни на	5	13
257	из них	4	13
258	учение о	11	13
259	нисколько не	4	12
260	при условии	5	12
261	каком случае	2	12
262	так или	2	12
263	что этот	3	12
264	не говоря	6	12
265	на первый	4	12
266	с одной	4	12
267	или по	4	12
268	что это	20	12
269	время как	6	12
270	в смысле	4	12
271	или иначе	2	12
272	и можно	5	12
273	то время	6	12
274	не о	6	11
275	и следовательно	2	11
276	оказывается что	5	11
277	как именно	2	11
278	и во	3	11
279	в истории	7	11
280	вообще не	3	11
281	или иных	2	11
282	мы говорим	4	11
283	только не	10	11
284	не могут	6	11
285	одной стороны	3	11
286	и у	3	11
287	и тогда	6	11
288	нет никакого	10	11
289	бы то	3	11
290	и другое	2	11
291	к нему	4	11
292	что его	5	11
293	заключается в	3	11
294	и сама	6	10
295	не имеют	2	10
296	состоит из	2	10
297	не то	3	10
298	все еще	2	10
299	быть и	7	10
300	все время	4	10
301	отличается от	9	10
302	быть только	2	10
303	ни с	4	10
304	очень много	3	10
305	что у	2	10
306	что для	5	10
307	собственно говоря	5	10
308	в одном	3	10
309	и всякий	4	10
310	то или	4	10
311	это будет	6	10
312	что оно	9	10
313	представление о	3	10
314	только то	2	10
315	со всеми	2	10
316	есть то	9	10
317	даже если	3	10
318	из которых	4	10
319	однако это	2	10
320	но он	3	10
321	вопрос о	9	9
322	как же	9	9
323	или как	3	9
324	тогда когда	9	9
325	в условиях	2	9
326	только тогда	7	9
327	она не	10	9
328	что тут	8	9
329	был бы	2	9
330	идет речь	4	9
331	миф о	4	9
332	в сравнении	6	9
333	имеется в	5	9
334	и наконец	2	9
335	чем же	3	9
336	не вполне	2	9
337	в своих	3	9
338	их в	2	9
339	на себе	4	9
340	однако не	2	9
341	нет и	5	9
342	это тоже	2	9
343	именно как	3	9
344	что даже	2	9
345	говоря уже	6	9
346	того как	2	9
347	что если	5	9
348	бы в	5	9
349	это было	5	9
350	о котором	4	9
351	не нужно	2	9
352	сравнении с	5	9
353	на небо	2	9
354	д и	8	9
355	не мешает	3	9
356	жизнь и	9	9
357	в жизни	4	9
358	и уж	2	9
359	и тут	5	8
360	были бы	2	8
361	как он	4	8
362	от всего	6	8
363	от этого	5	8
364	а если	5	8
365	иметь в	3	8
366	и по	2	8
367	никто не	4	8
368	для него	4	8
369	и нет	9	8
370	только что	7	8
371	с этой	7	8
372	в силу	5	8
373	если же	8	8
374	идея и	5	8
375	том как	2	8
376	вплоть до	2	8
377	но тогда	11	8
378	а то	2	8
379	тот или	2	8
380	из этих	5	8
381	и больше	5	8
382	и он	3	8
383	же такое	3	8
384	только потому	4	8
385	с ее	10	8
386	но ведь	2	8
387	и при	4	8
388	это уже	2	8
389	не значит	5	8
390	но для	3	8
391	во всем	5	8
392	конечно не	6	8
393	он есть	7	8
394	как только	5	8
395	что на	3	7
396	в понятии	2	7
397	друг друга	3	7
398	одной из	3	7
399	она есть	17	7
400	говорят о	2	7
401	но вот	3	7
402	в основе	6	7
403	своего собственного	2	7
404	сознания и	5	7
405	его как	6	7
406	или других	4	7
407	и так	2	7
408	понимать как	4	7
409	есть по	2	7
410	учения о	2	7
411	оно не	7	7
412	или иное	4	7
413	ни от	6	7
414	все в	3	7
415	что их	2	7
416	не на	7	7
417	из себя	3	7
418	в науке	3	7
419	в это	4	7
420	даже не	8	7
421	но что	11	7
422	была бы	5	7
423	мере в	3	7
424	его от	2	7
425	мира и	3	7
426	уже о	7	7
427	или вообще	3	7
428	к другому	2	7
429	же как	4	7
430	же это	4	7
431	по преимуществу	2	7
432	ее в	3	7
433	вещи или	2	7
434	не можем	3	7
435	тому же	2	7
436	то уже	2	6
437	то мы	3	6
438	уже по	3	6
439	просто как	3	6
440	идеи и	2	6
441	ведь и	3	6
442	если угодно	4	6
443	и самой	2	6
444	имеет никакого	3	6
445	тем или	3	6
446	или не	10	6
447	в зависимости	3	6
448	в вечном	2	6
449	само по	8	6
450	можно только	5	6
451	себе а	2	6
452	только к	3	6
453	есть просто	7	6
454	и ничего	5	6
455	ни к	3	6
456	когда он	3	6
457	есть уже	2	6
458	как таковой	6	6
459	если он	2	6
460	та или	4	6
461	и чисто	6	6
462	и делает	2	6
463	что именно	10	6
464	первый план	4	6
465	не знает	4	6
466	чтобы не	4	6
467	никакого отношения	5	6
468	и об	2	6
469	для меня	2	6
470	есть и	14	6
471	понятия и	2	6
472	не всегда	3	6
473	после этого	2	6
474	только как	7	6
475	по существу	2	6
476	с которой	2	6
477	могут быть	5	6
478	же мы	5	6
479	вещи не	2	6
480	в мифе	18	6
481	содержится в	3	6
482	и может	2	6
483	но когда	2	6
484	бы быть	2	6
485	с его	7	6
486	но она	4	6
487	и уже	5	6
488	и той	4	6
489	независимо от	3	6
490	дело не	2	6
491	на свете	8	6
492	перестает быть	2	6
493	в него	2	6
494	мы еще	2	6
495	зависимости от	4	6
496	прежде чем	2	6
497	этом отношении	2	6
498	природы и	4	6
499	нового времени	2	6
500	от всякого	5	6
501	есть прежде	4	6
502	жизнь в	2	6
503	есть также	3	6
504	как на	6	6
505	не мог	3	6
506	отношения к	4	6
507	но оно	2	6
508	в слове	3	6
509	ровно ничего	9	6
510	в область	2	5
511	не больше	4	5
512	и этого	2	5
513	его на	3	5
514	если оно	4	5
515	человека и	2	5
516	одна из	4	5
517	науки и	2	5
518	самой же	2	5
519	и прежде	6	5
520	бы его	2	5
521	он должен	3	5
522	солнца и	2	5
523	знает что	2	5
524	по одному	3	5
525	но зато	2	5
526	одно и	6	5
527	мы начинаем	3	5
528	сама же	2	5
529	о себе	2	5
530	миф есть	14	5
531	нет ни	5	5
532	себе не	3	5
533	себе что	2	5
534	или на	2	5
535	от его	2	5
536	из самых	3	5
537	тотчас же	3	5
538	тут тоже	2	5
539	все что	3	5
540	если его	2	5
541	или другого	3	5
542	тому как	5	5
543	я не	11	5
544	во внимание	5	5
545	что эта	2	5
546	но еще	2	5
547	в каких	2	5
548	если только	5	5
549	не что-нибудь	2	5
550	есть результат	2	5
551	в собственном	3	5
552	от того	9	5
553	ведь это	2	5
554	ничем не	7	5
555	его не	3	5
556	о нем	6	5
557	говорить об	2	5
558	утверждать что	6	5
559	и чтобы	2	5
560	тех пор	3	5
561	на себя	3	5
562	или иная	3	5
563	без которых	2	5
564	и когда	4	5
565	что с	2	5
566	вещи в	3	5
567	к этому	3	5
568	или другим	3	5
569	больше чем	2	5
570	в противоположность	3	5
571	это же	3	5
572	должно быть	7	5
