N	3gram	Bakhtin_sl	Vladivir
1	в том что	4	29
2	о том что	2	22
3	тем не менее	2	18
4	в то время	2	13
5	во всяком случае	7	12
6	в связи с	2	12
7	более или менее	5	11
8	в то же	15	10
9	с точки зрения	11	10
10	не может быть	11	10
11	то же время	15	9
12	а также и	3	8
13	в данном случае	3	6
14	в отличие от	12	6
15	как мы видели	2	6
16	с другой стороны	5	6
17	и в этом	2	6
18	то время как	2	5
19	он никогда не	2	5
20	и в то	6	5
21	не только в	3	5
22	и в том	2	5
23	как мы уже	4	4
24	в этом отношении	2	4
25	можно было бы	2	4
26	с одной стороны	7	4
27	и т д	7	4
28	уже не только	2	3
29	не только не	2	3
30	к тому что	2	3
31	хотя бы и	5	3
32	мы уже сказали	3	3
33	не только на	2	3
34	в свою очередь	3	3
35	сих пор не	2	2
36	и то же	2	2
37	оно не может	3	2
38	но и здесь	3	2
39	так и в	5	2
40	может быть и	2	2
41	для нас в	2	2
42	но в то	6	2
43	как мы сказали	6	2
44	в том и	2	2
45	до сих пор	4	2
46	до конца и	3	2
47	не может не	5	2
48	одно и то	2	2
49	одной стороны и	2	2
50	те или иные	4	2
51	а следовательно и	2	2
52	необходимо отметить что	2	2
53	на том же	2	2
54	в этом случае	4	2
