N	2gram	Trubetskoy	Mirosoze
1	и в	26	97
2	может быть	10	64
3	не только	10	63
4	в этом	15	55
5	но и	9	54
6	он не	4	53
7	а не	5	53
8	в нем	4	49
9	не может	4	49
10	и не	8	39
11	никогда не	5	38
12	потому что	7	37
13	не было	2	36
14	не в	2	34
15	для него	3	31
16	прежде всего	2	29
17	но в	7	27
18	в мире	5	27
19	и это	2	25
20	и все	2	24
21	в своем	3	23
22	что в	9	23
23	что он	4	22
24	в самом	4	21
25	в себе	6	20
26	бога и	4	20
27	отношение к	5	20
28	в россии	2	19
29	как бы	12	19
30	в его	5	18
31	и потому	6	17
32	того что	3	17
33	в том	11	16
34	том что	7	16
35	то что	7	16
36	в этой	4	15
37	в котором	4	15
38	в конце	6	14
39	так как	9	14
40	в русском	2	13
41	русский народ	3	13
42	и на	2	13
43	добра и	2	12
44	и у	8	12
45	к нему	7	12
46	в них	2	12
47	все это	6	12
48	но не	8	12
49	с тем	18	11
50	хотя бы	3	11
51	в которой	3	11
52	только в	4	11
53	и для	5	11
54	уже не	3	11
55	и к	5	11
56	жизни и	2	11
57	не могут	2	10
58	так же	5	10
59	один из	2	10
60	то же	4	10
61	связана с	2	10
62	не имеет	5	10
63	в самой	2	10
64	а в	4	9
65	к тому	6	9
66	что и	6	9
67	то есть	4	9
68	русского народа	3	9
69	все что	2	9
70	в свою	2	9
71	лишь в	5	9
72	вместе с	15	9
73	в этих	4	8
74	того чтобы	5	8
75	в отношении	6	8
76	человек должен	2	8
77	с его	2	8
78	для того	5	8
79	о том	6	8
80	и с	10	8
81	уже в	2	8
82	те же	2	7
83	но если	2	7
84	что все	4	7
85	он в	2	7
86	точки зрения	13	7
87	к богу	3	6
88	когда человек	2	6
89	не как	2	6
90	на пути	2	6
91	на все	2	6
92	у них	3	6
93	людей и	2	6
94	его не	2	6
95	и те	3	6
96	в образе	2	6
97	должен был	4	6
98	быть и	2	6
99	и от	4	6
100	что это	3	6
101	и нет	3	6
102	к концу	3	6
103	к другу	2	6
104	если бы	3	6
105	с этой	3	6
106	по своей	2	6
107	на то	2	6
108	и здесь	2	6
109	в которых	4	6
110	не к	2	6
111	и если	3	5
112	в то	4	5
113	к которому	2	5
114	так и	6	5
115	связано с	2	5
116	и вместе	4	5
117	от человека	2	5
118	к культуре	2	5
119	сказать что	2	5
120	тот же	2	5
121	во всяком	6	5
122	и мир	2	5
123	одно из	2	5
124	отличается от	2	5
125	и как	3	5
126	для этого	2	5
127	еще не	2	5
128	сих пор	5	5
129	культуры и	3	5
130	когда он	3	5
131	до сих	5	5
132	как о	3	4
133	конце концов	3	4
134	не всегда	2	4
135	так что	3	4
136	может ли	2	4
137	в разных	2	4
138	а с	7	4
139	по своему	2	4
140	по сравнению	2	4
141	душа его	2	4
142	тогда когда	2	4
143	в начале	2	4
144	все эти	6	4
145	и тогда	4	4
146	у всех	2	4
147	и люди	2	4
148	с ней	3	4
149	и даже	3	4
150	и по	4	4
151	заключает в	2	4
152	и только	4	4
153	особенно в	2	4
154	отношению к	3	4
155	путь к	3	4
156	в эпоху	7	4
157	и что	4	4
158	к его	2	3
159	этот путь	2	3
160	одним из	2	3
161	все же	6	3
162	русской интеллигенции	2	3
163	мы должны	6	3
164	европейской культуры	3	3
165	между тем	2	3
166	в виду	2	3
167	что оно	4	3
168	же как	3	3
169	из этой	2	3
170	к этому	3	3
171	конечно не	2	3
172	в значительной	3	3
173	мысль о	2	3
174	превращается в	2	3
175	в путях	2	3
176	со всеми	2	3
177	из него	2	3
178	во всех	2	3
179	не с	2	3
180	на этот	4	3
181	не вполне	3	3
182	приводит к	2	3
183	в одном	3	3
184	всяком случае	6	3
185	но когда	2	3
186	религиозной жизни	3	3
187	без бога	3	3
188	сравнению с	2	3
189	и перед	2	3
190	и после	2	3
191	но с	3	3
192	учение о	4	3
193	богу и	2	2
194	или иной	2	2
195	из всех	3	2
196	если в	3	2
197	не потому	2	2
198	оказывается что	3	2
199	за собой	3	2
200	его от	2	2
201	от них	2	2
202	которые в	2	2
203	не менее	3	2
204	друг за	3	2
205	того же	6	2
206	с того	2	2
207	ему в	2	2
208	культурных ценностей	4	2
209	богом и	2	2
210	к жизни	5	2
211	связи с	9	2
212	во время	4	2
213	чем все	2	2
214	относится к	2	2
215	этом отношении	2	2
216	нее не	2	2
217	он один	2	2
218	целый ряд	4	2
219	только для	2	2
220	и о	3	2
221	на западе	3	2
222	этими двумя	2	2
223	с другой	8	2
224	всем и	2	2
225	русской жизни	4	2
226	ни один	2	2
227	в смысле	4	2
228	из себя	2	2
229	ни у	2	2
230	если не	2	2
231	что мы	2	2
232	и действительно	2	2
233	ко всему	2	2
234	к религии	2	2
235	и другой	2	2
236	за друга	3	2
237	народной стихии	6	2
