N	3gram	Medvedev_V	Istorich
1	и т д	16	142
2	с другой стороны	8	46
3	до сих пор	2	30
4	с одной стороны	2	28
5	мы знаем что	2	26
6	в том что	5	25
7	не может быть	8	24
8	вместе с тем	4	23
9	о том что	3	22
10	не только в	2	19
11	в связи с	4	17
12	мы видели что	3	16
13	после того как	2	15
14	о том как	3	15
15	по отношению к	7	14
16	во всех этих	2	11
17	т е в	2	11
18	можно было бы	2	10
19	более или менее	6	9
20	подобно тому как	3	8
21	в зависимости от	5	8
22	во всяком случае	2	7
23	этой точки зрения	2	6
24	для того чтобы	3	5
25	в том числе	2	5
26	в другом месте	2	5
27	в том чтобы	2	5
28	иметь в виду	2	4
29	это и есть	3	4
30	можно сказать что	4	4
31	только то что	2	4
32	ни один из	2	4
33	можно утверждать что	4	3
34	не только не	2	3
35	в одном из	4	3
36	таким образом в	2	3
37	одной стороны и	2	3
38	по этому поводу	7	3
39	к тому что	4	3
40	не в том	2	3
41	большей или меньшей	3	2
42	и др в	3	2
43	хотя бы в	3	2
44	в этом и	2	2
45	в конечном итоге	2	2
46	из них не	2	2
47	в том отношении	2	2
48	не могут быть	4	2
49	и не может	2	2
50	то же говорит	2	2
51	и т п	9	2
52	только в том	2	2
53	следует понимать как	2	2
54	в частности в	2	2
55	по этому вопросу	2	2
56	не только для	2	2
57	том числе и	2	2
58	том отношении что	2	2
59	равно как и	4	2
