N	3gram	Bakhtin_Pr	formyVre
1	то же время	10	21
2	в то же	10	18
3	как мы уже	2	15
4	с точки зрения	21	15
5	друг с другом	4	13
6	для того чтобы	3	12
7	не только в	2	11
8	до сих пор	3	10
9	и в то	3	10
10	мы уже говорили	2	9
11	в большинстве случаев	3	8
12	человека и его	2	8
13	в этом отношении	7	7
14	в отличие от	3	7
15	не может быть	8	7
16	друг от друга	2	6
17	и в этом	8	6
18	имеем в виду	2	6
19	в том что	10	5
20	на протяжении всего	2	5
21	мы имеем в	2	5
22	то есть в	10	5
23	в то время	3	5
24	то есть не	3	5
25	той или иной	3	5
26	человеческой жизни и	2	4
27	с самим собою	2	4
28	то время как	2	4
29	с другой стороны	3	4
30	в пределах отдельных	2	4
31	но все же	3	4
32	во всяком случае	3	4
33	по отношению к	17	4
34	в его целом	8	4
35	все то что	3	3
36	и как бы	3	3
37	друг к другу	4	3
38	в зависимости от	5	3
39	о том что	5	3
40	как раз и	2	3
41	но в то	5	3
42	бы он ни	2	3
43	так же как	4	3
44	протяжении всего романа	2	3
45	с самого начала	3	3
46	может быть только	3	3
47	сами по себе	4	3
48	же как и	3	3
49	он ни был	2	3
50	и в сущности	2	3
51	по сравнению с	2	3
52	в той или	2	3
53	как мы сказали	2	2
54	по природе своей	2	2
55	но он не	2	2
56	потому что они	2	2
57	можно сказать что	3	2
58	каждом из них	2	2
59	в разрезе одного	2	2
60	для него самого	3	2
61	в данном случае	3	2
62	зрения на мир	7	2
63	тем более что	2	2
64	в одном времени	2	2
65	во всей его	2	2
66	жизни и смерти	7	2
67	не сливается с	2	2
68	и до конца	4	2
69	то что было	3	2
70	в его мире	3	2
71	или иной степени	2	2
72	совершенно так же	2	2
