N	2gram	Bakhtin_Pr	Myslijsy
1	потому что	9	182
2	то есть	86	142
3	и в	83	121
4	может быть	23	107
5	в том	22	103
6	то что	14	83
7	в слове	2	78
8	что в	5	73
9	и не	41	73
10	только в	10	72
11	не только	14	67
12	а не	19	67
13	таким образом	9	64
14	том что	9	59
15	так как	12	59
16	в этом	24	59
17	но и	16	59
18	то же	10	56
19	не в	10	54
20	в себе	10	53
21	не может	18	52
22	по себе	3	52
23	в сознании	2	46
24	в нем	21	45
25	было бы	6	45
26	как и	13	42
27	вместе с	5	39
28	мы не	7	38
29	что и	4	38
30	так и	9	37
31	при этом	6	37
32	как в	10	37
33	что мы	2	36
34	тем что	2	33
35	и что	3	32
36	по отношению	6	30
37	а в	4	30
38	но не	9	29
39	между тем	2	29
40	вовсе не	12	28
41	мы можем	9	28
42	могут быть	5	27
43	с этим	3	27
44	не было	5	26
45	отношению к	5	26
46	этого слова	3	25
47	между собою	2	24
48	в то	8	24
49	того как	4	23
50	как бы	27	23
51	но в	12	22
52	по мере	3	22
53	с другой	4	22
54	то это	4	22
55	и потому	6	21
56	не менее	4	21
57	в ней	8	20
58	в одном	4	20
59	это не	10	20
60	тем самым	2	19
61	мысли и	2	19
62	с ним	3	19
63	и то	2	19
64	сказать что	12	19
65	что это	2	19
66	из этих	3	19
67	но это	7	19
68	должно быть	4	19
69	тем не	2	19
70	о том	3	19
71	того же	5	19
72	еще не	10	18
73	не могут	4	18
74	в самом	7	18
75	что я	2	18
76	в таком	3	18
77	в его	15	17
78	слова и	5	17
79	по крайней	2	17
80	крайней мере	2	17
81	точки зрения	17	17
82	во всяком	2	17
83	уже в	3	17
84	слова в	3	17
85	в своем	2	16
86	к тому	2	16
87	а только	2	16
88	в которой	2	16
89	так же	4	16
90	если б	7	16
91	в них	4	16
92	на то	2	16
93	и на	27	16
94	и по	5	15
95	в этих	8	15
96	и тем	4	15
97	что он	6	15
98	прежде всего	20	15
99	с другими	6	15
100	уже не	5	15
101	мы должны	4	14
102	и без	4	14
103	должны быть	2	14
104	в истории	4	14
105	там где	3	14
106	так сказать	8	14
107	в котором	8	14
108	все же	3	14
109	во всех	15	14
110	же время	8	14
111	смысле этого	3	13
112	что все	3	13
113	и все	14	13
114	образом в	2	13
115	например в	8	13
116	а между	3	13
117	в смысле	2	13
118	из них	7	13
119	и его	13	13
120	никогда не	10	12
121	от него	3	12
122	человека и	10	12
123	друг друга	7	12
124	и при	2	12
125	мысли о	3	12
126	что на	2	12
127	не то	3	12
128	все это	11	12
129	как мы	12	12
130	есть в	7	12
131	тем более	2	12
132	сих пор	8	12
133	быть только	2	12
134	или менее	3	12
135	это последнее	2	12
136	хотя и	10	12
137	все остальные	2	12
138	другой стороны	3	12
139	в каждом	5	12
140	более или	3	12
141	до сих	8	12
142	к одному	2	11
143	и притом	2	11
144	той же	6	11
145	и вообще	3	11
146	только на	3	11
147	которые мы	3	11
148	и если	4	11
149	и их	6	11
150	его в	4	11
151	указывает на	2	11
152	мы видели	2	11
153	к нему	3	11
154	речи и	3	11
155	к ней	3	11
156	и это	3	11
157	и для	5	10
158	мы говорим	2	10
159	хотя бы	6	10
160	в других	2	10
161	если же	5	10
162	слово в	5	10
163	мы видим	2	10
164	и от	4	10
165	в словах	2	10
166	бы в	2	10
167	он не	5	10
168	если мы	5	10
169	и с	10	10
170	и других	12	9
171	нам кажется	4	9
172	зрения и	2	9
173	могли бы	2	9
174	во многих	2	9
175	это было	3	9
176	и даже	5	9
177	на него	2	9
178	и о	3	9
179	далеко не	4	9
180	с точки	13	9
181	один из	7	9
182	в целом	3	9
183	можно сказать	12	9
184	на язык	4	9
185	что она	2	9
186	ко всем	2	9
187	на самом	2	8
188	так например	2	8
189	в более	5	8
190	нельзя сказать	2	8
191	тот же	2	8
192	отношений между	2	8
193	не как	5	8
194	и слово	2	8
195	что они	2	8
196	все равно	6	8
197	и более	3	8
198	в самой	2	8
199	их в	3	8
200	именно в	3	8
201	в которых	2	8
202	во всем	5	8
203	слова не	2	8
204	влияние на	14	8
205	и той	4	8
206	от них	2	8
207	с какою	2	8
208	между ними	14	8
209	на все	4	8
210	с ними	2	8
211	словом и	2	8
212	которые не	2	8
213	мы в	2	8
214	говорить о	2	8
215	или в	7	8
216	слова но	3	7
217	к другим	4	7
218	а как	4	7
219	самого начала	5	7
220	в эту	3	7
221	она не	4	7
222	с самого	4	7
223	связь с	4	7
224	и во	6	7
225	себя и	3	7
226	из одного	2	7
227	значение и	2	7
228	место в	3	7
229	его с	2	7
230	все эти	9	7
231	в собственном	3	7
232	за пределы	7	7
233	и тот	4	7
234	превращается в	5	7
235	в своих	4	7
236	вряд ли	2	7
237	все в	3	7
238	но как	2	7
239	что именно	2	7
240	не всегда	3	7
241	в разных	4	7
242	для понимания	3	7
243	даже и	3	7
244	бы и	3	7
245	к этому	5	7
246	сама по	2	7
247	этот образ	2	7
248	в жизни	14	7
249	этом смысле	5	7
250	несмотря на	3	7
251	но если	4	6
252	в виду	3	6
253	как он	4	6
254	оно должно	2	6
255	друг от	2	6
256	в один	3	6
257	человеческой мысли	4	6
258	на его	4	6
259	могло бы	3	6
260	слова то	2	6
261	в образе	3	6
262	в ее	3	6
263	в своей	5	6
264	в этой	3	6
265	слово и	2	6
266	в мире	8	6
267	у нас	2	6
268	прежде чем	2	6
269	от друга	2	6
270	главным образом	3	6
271	образом и	3	6
272	все более	2	6
273	и к	13	6
274	для всех	2	6
275	в их	7	6
276	может стать	4	6
277	между двумя	4	6
278	к слову	3	6
279	и до	6	6
280	в сущности	15	6
281	да и	3	6
282	к ним	5	6
283	об этом	3	6
284	и самое	2	6
285	но на	2	6
286	жизни и	13	6
287	и уже	2	6
288	у него	5	6
289	мы уже	9	6
290	но он	3	6
291	предмет и	2	5
292	в процессе	4	5
293	можно было	2	5
294	они не	5	5
295	как слово	3	5
296	рядом с	2	5
297	если в	2	5
298	одна из	9	5
299	нет ничего	3	5
300	но только	2	5
301	отношение к	14	5
302	здесь только	2	5
303	на которой	2	5
304	этот вопрос	3	5
305	о которых	2	5
306	чем в	2	5
307	даже в	3	5
308	перед нами	17	5
309	оно и	2	5
310	на предмет	5	5
311	а это	2	5
312	и у	8	5
313	в области	6	5
314	в произведении	3	5
315	человеческой жизни	3	5
316	все то	4	5
317	но при	2	5
318	но эти	3	5
319	мы имеем	4	5
320	в начале	2	5
321	времени и	4	5
322	собою и	2	5
323	человека в	6	5
324	одним из	6	5
325	отношении к	2	5
326	но уже	2	5
327	и здесь	4	5
328	время и	3	5
329	в той	2	5
330	можно назвать	2	5
331	конечно не	11	5
332	не к	3	5
333	следовательно и	2	4
334	с духом	2	4
335	начиная с	4	4
336	здесь как	3	4
337	к своему	4	4
338	ту же	2	4
339	от своих	2	4
340	и они	4	4
341	кажется что	3	4
342	дело в	3	4
343	его как	3	4
344	но во	2	4
345	все они	2	4
346	если оно	3	4
347	остановимся на	5	4
348	видели что	2	4
349	он может	2	4
350	ни в	4	4
351	еще более	6	4
352	но с	2	4
353	не дает	3	4
354	ничего не	8	4
355	между этими	2	4
356	есть и	4	4
357	проявляется в	4	4
358	но эта	2	4
359	не знает	8	4
360	связанная с	2	4
361	по своему	6	4
362	или по	3	4
363	он в	2	4
364	все его	3	4
365	мы находим	8	4
366	на них	2	4
367	над собою	2	4
368	в связи	2	4
369	с его	4	4
370	некоторое время	2	4
371	но она	3	4
372	и между	5	4
373	бытия и	5	4
374	ведет к	3	4
375	что касается	2	4
376	и так	4	4
377	эти отношения	3	4
378	перейти к	2	4
379	во многом	3	4
380	на этом	4	4
381	и какое	2	4
382	между людьми	5	4
383	в некоторых	7	4
384	других в	2	4
385	я и	2	4
386	собственном смысле	3	4
387	как человек	2	3
388	что уже	2	3
389	и ее	8	3
390	в отношении	3	3
391	и поэтому	2	3
392	мы и	4	3
393	и прежде	6	3
394	и всегда	2	3
395	эти явления	3	3
396	в формах	2	3
397	действительности и	2	3
398	идеи и	5	3
399	и др	18	3
400	здесь мы	3	3
401	одной из	6	3
402	к самому	5	3
403	в известной	3	3
404	идеи в	2	3
405	для них	2	3
406	не была	2	3
407	несколько слов	3	3
408	которой мы	3	3
409	для этого	2	3
410	время в	2	3
411	в развитии	5	3
412	языка а	2	3
413	о влиянии	2	3
414	кроме того	6	3
415	и наконец	4	3
416	себе и	2	3
417	и из	3	3
418	связанные с	3	3
419	его жизни	2	3
420	этом мы	3	3
421	как будто	3	3
422	именно на	2	3
423	в себя	8	3
424	мы будем	3	3
425	которые в	3	3
426	в одной	4	3
427	но для	2	3
428	и человека	5	3
429	в свое	4	3
430	ничем не	3	3
431	как это	2	3
432	к этой	3	3
433	в общем	2	3
434	большинстве случаев	9	3
435	и совершенно	3	3
436	здесь не	5	3
437	человек и	2	3
438	в двух	3	3
439	в результате	2	3
440	из своих	3	3
441	единство и	2	3
442	и мысли	4	3
443	и которые	2	3
444	человека с	3	3
445	в самых	2	3
446	ее в	4	3
447	или наоборот	3	3
448	жизни не	2	3
449	в большинстве	9	3
450	нам по	3	3
451	он сам	5	3
452	в форме	6	3
453	в большей	5	3
454	есть здесь	2	2
455	еще и	4	2
456	свое время	4	2
457	развития но	2	2
458	имеет и	2	2
459	и человеческой	2	2
460	образов и	7	2
461	художественного образа	3	2
462	еще раз	6	2
463	не будем	4	2
464	затем в	2	2
465	во все	5	2
466	уже на	4	2
467	людей и	6	2
468	на ее	2	2
469	к человеку	2	2
470	значение для	5	2
471	тоже не	2	2
472	внешней форме	2	2
473	например как	2	2
474	показать в	2	2
475	же не	2	2
476	формы и	3	2
477	по одному	2	2
478	того и	3	2
479	строгом смысле	2	2
480	этом не	2	2
481	быть и	2	2
482	не могли	2	2
483	словами в	2	2
484	в первой	2	2
485	с их	3	2
486	могли быть	2	2
487	каждого из	2	2
488	и формы	2	2
489	вовсе нет	2	2
490	нет ни	2	2
491	пространство и	2	2
492	по своей	12	2
493	как у	5	2
494	равно и	2	2
495	или на	3	2
496	с человеком	3	2
497	мы еще	4	2
498	от всех	2	2
499	тому же	3	2
500	есть из	2	2
501	есть если	2	2
502	когда он	2	2
503	имеем в	3	2
504	и могут	2	2
505	со своей	2	2
506	раз и	2	2
507	и другой	4	2
508	с высоты	3	2
509	при всей	3	2
510	в слово	3	2
511	него как	4	2
512	для других	2	2
513	а на	2	2
514	мы старались	3	2
515	смысле совокупности	2	2
516	себе самом	2	2
517	о нем	2	2
518	но конечно	3	2
519	только с	3	2
520	бы очень	2	2
521	может служить	2	2
522	вообще в	2	2
523	и другого	2	2
524	них в	3	2
525	своего развития	3	2
526	не за	3	2
527	я не	6	2
528	слово то	2	2
529	он как	2	2
530	истории и	2	2
531	они могут	3	2
532	и еще	2	2
533	всех этих	2	2
534	друг в	4	2
535	с ее	3	2
536	но этот	2	2
537	и прямо	2	2
538	в самое	3	2
539	близки к	2	2
540	отличается от	2	2
541	ко второму	2	2
542	человека из	2	2
543	это положение	2	2
544	человека к	3	2
545	нет и	3	2
546	всей своей	2	2
547	во сне	7	2
548	внешнюю форму	3	2
549	и чувствовать	2	2
550	отличны от	2	2
551	к его	2	2
552	есть от	2	2
553	так можно	2	2
554	из которых	2	2
555	не могу	3	2
556	или точнее	2	2
557	зависимости от	3	2
558	смысле и	3	2
559	всего его	2	2
560	как его	2	2
561	по своим	2	2
562	этих двух	5	2
563	ровно ничего	2	2
564	а следовательно	2	2
